ливмя|Очень сильно литься  
ливнесток|Сток для ливневых вод  
ливр|Денежная единица во Франции до 1795 года, равная 20 су, одной четверти луидора  
ливрея|Одежда с галунами и шитьем для швейцаров, лакеев, кучеров  
ливский|Относящийся к ливам, к их языку, национальному характеру, образу жизни, культуре, а также к территории их проживания, внутреннему устройству; такой, как у ливов  
ливы|Малочисленный народ, составляющий коренное население Вентспилсского и Талсинского районов Латвии  
лита|Союз, объединение лиц, организаций, государств  
лита|Группа команд, примерно равных по мастерству и соревнующихся друг с другом  
лигатура|Примесь других металлов к золоту, серебру для придания им большей твердости  
лигатура|Вспомогательный сплав с легирующими элементами, добавляемый к металлу в плавильной печи  
лигатура|Нить для перевязывания кровеносных сосудов при операции  
лигатура|Знак, составленный из элементов двух или более письменных знаков  
лидер|Глава, руководитель политической партии, общественно-политической организации или вообще какой–нибудь группы людей; человек, пользующийся авторитетом и влиянием в каком–нибудь коллективе  
лидер|Спортсмен или спортивная команда, идущие первыми в состязании  
лидер|Корабль, возглавляющий колонну, группу судов  
лидировать|Быть лидером в спортивном состязании  
лизать|Проводить языком по чему–нибудь  
лизать|Подхалимничать перед кем–нибудь  
лизоблюд|Человек, который прислуживается к кому–нибудь, подхалим  
лизоблюдничать|Быть лизоблюдом  
лизунец|Соль в комках, используемая для подкормки животных  
лик|Лицо, а также изображение лица на иконах  
лик|Внешние очертания, видимая поверхность чего–нибудь  
лик|Единое множество, сонм  
ликбез|Ликвидация безграмотности, обучение неграмотных взрослых и подростков, а также школа, осуществляющая такое обучение  
ликбез|Сообщение самых необходимых, начальных сведений о чем–нибудь, обучение элементарным навыкам  
ликвидатор|Тот, кто ликвидирует, ликвидировал что–нибудь  
ликвидация|Прекращение деятельности чего–нибудь  
ликвидация|Уничтожение кого–чего–нибудь  
ликвидировать|Произвести или проводить ликвидацию кого–чего–нибудь  
ликвидироваться|Прекратить свою деятельность  
ликёр|Сладкий пряный спиртной напиток из фруктовых и ягодных соков, настоев трав  
ликовать|Торжествовать, восторженно радоваться  
лилейный|Нежный и белый, как лилия  
лилипут|Человек неестественно маленького роста, карлик  
лилипут|О предмете очень маленького размера  
лилия|Луковичное растение с прямым стеблем и крупными красивыми цветками в виде колокола  
лиловеть|Становиться лиловым, лиловее  
лиловеть|О чем–нибудь лиловом: виднеться  
лилово-|Первая часть сложных слов со значением: лиловый, с лиловым оттенком; лиловый, в сочетании с другим отдельным цветом  
лиловый|Цвета фиалки или темных соцветий сирени, фиолетовый  
лиман|Залив, образованный морем в низовьях реки, а также соленое озеро вблизи моря, обычно богатое целебными грязями  
лимит|Предельная норма  
лимита|Люди, приехавшие работать по лимиту на въезд  
лимитировать|Установить лимит чего–нибудь, ограничить  
лимитчик|Человек, приехавший работать по лимиту на въезд  
лимон|Цитрусовое дерево, а также сочный кислый плод его с твердой ароматной кожурой  
лимонад|Сладкий прохладительный напиток, обычно с лимонным соком  
лимонка|Ручная граната, по форме напоминающая лимон  
лимонник|Древесная лиана, стебли, корни и плоды которой имеют запах лимона  
лимоннокислый|Содержащий лимонную кислоту или полученный из лимонной кислоты  
лимонный|Светло-желтый, цвета лимона  
лимузин|Большой легковой автомобиль с закрытым кузовом, снабженным остекленной перегородкой  
лимфа|Бесцветная жидкость в теле человека и позвоночных животных, образующаяся из плазмы крови и заполняющая межклеточные пространства  
лимфатический|Безжизненный, вялый  
лингвист|Специалист по лингвистике, языковед  
лингвистика|Наука о языке, языкознание  
линейка|Прямая черта на бумаге или на какой–нибудь поверхности, помогающая писать прямыми ровными строками  
линейка|Планка для вычерчивания прямых линий, для измерений  
линейка|Одна из дорожек внутри военного или военизированного лагеря, разделяющих его на прямоугольные участки  
линейка|Строй в шеренгу  
линейка|Сбор, на котором участники выстроены шеренгами  
линейка|Многоместный открытый экипаж с боковыми продольными сиденьями  
линейный|Расположенный в линию, по линии  
линейный|Напоминающий по форме линию, узкий и длинный  
линейный|Регулярный, составляющий основу каких–нибудь соединений  
линейный|О военном корабле: большой, хорошо вооруженный, для крупных боевых операций  
линейный|Военнослужащий, высылаемый для указания линии и построения войск  
линейчатый|Покрытый линиями или бороздками в одном направлении  
линёк|Короткая веревочная плеть
