лунатик|То же, что сомнамбула  
лунатичка|То же, что сомнамбула  
лунка|Небольшое углубление в чем–нибудь, ямка  
луночка|Небольшое углубление в чем–нибудь, ямка  
луночный|Относящийся к луночке  
лунный|Наполненный светом луны  
луноход|Автоматический самоходный аппарат с дистанционным управлением, передвигающийся по Луне  
луноходный|Относящийся к луноходу  
лунь|Хищная птица семейства ястребиных с серовато-белым оперением у самца  
лупа|Увеличительное стекло (выпуклая или двояковыпуклая линза) в оправе  
лупить|Обдирать кору, скорлупу, лузгу с чего–нибудь или очищать от коры, скорлупы, лузги  
лупить|Сильно бить, хлестать, лупцевать  
лупить|Обозначать быстрые, энергичные действия, дуть, жарить  
облупить|Обдирать кору, скорлупу, лузгу с чего–нибудь или очищать от коры, скорлупы, лузги  
слупить|Обдирать кору, скорлупу, лузгу с чего–нибудь или очищать от коры, скорлупы, лузги  
облупить|Знать кого–нибудь как облупленного — очень хорошо знать  
отлупить|Сильно бить, хлестать, лупцевать  
лупиться|То же, что шелушиться  
лупиться|Отпадать, отваливаться кусочками  
облупиться|Отпадать, отваливаться кусочками  
отлупиться|Отпадать, отваливаться кусочками  
лупоглазый|С выпуклыми глазами, пучеглазый  
лупоглазость|Свойство быть с выпуклыми глазами  
лупцевать|Сильно бить, хлестать, лупцевать  
отлупцевать|Сильно бить, хлестать, лупцевать  
лупцовка|Сильно бить, хлестать, лупцевать  
луч|Узкая полоса света, исходящая от яркого светящегося предмета  
луч|Остронаправленный поток частиц энергии  
луч|Часть прямой линии, лежащая по одну сторону от какой–нибудь ее точки  
лучевой|Относящийся к остронаправленному потоку частиц энергии  
лучевой|Имеющий форму расходящихся лучей  
лучезарный|Сверкающий, сияющий  
лучезарность|Свойство быть сверкающим, сияющим  
лучина|Тонкая длинная щепка от сухого полена  
лучинка|Тонкая длинная щепка от сухого полена  
лучинушка|Тонкая длинная щепка от сухого полена, освещающая избу  
лучинный|Относящийся к лучине  
лучистый|Светящийся, исходящий лучами  
лучистый|Возникающий вследствие излучения какой–либо энергии  
лучистость|Свойство быть светящимся, исходящим лучами  
лучить|Охотиться на кого–нибудь ночью при специальном ярком освещении  
лучение|Охота на кого–нибудь ночью при специальном ярком освещении  
лучиться|Испускать лучи  
лучковый|Об инструментах: по форме сходный с луком  
лучник|Стрелок из лука  
лучник|Спортсмен, занимающийся стрельбой из лука  
лучница|Женщина, занимающаяся стрельбой из лука  
лучок|Дугообразное приспособление для ловли птиц сетью  
лучше|Об улучшении состояния больного  
лучше|Предпочтительнее, вернее  
лучший|Самого высокого качества, самого хорошего свойства  
лущёный|Очищенный от шелухи, скорлупы, лузги  
лущить|Очищать от скорлупы, шелухи, лузги  
лущить|Разрыхлять поверхность почвы  
облущить|Очищать от скорлупы, шелухи, лузги  
взлущить|Разрыхлять поверхность почвы  
лущение|Процесс очищения от шелухи, скорлупы, лузги  
лущевка|Процесс разрыхления поверхности почвы  
лущильный|Относящийся к процессу лущения  
лыжероллер|Спортивный снаряд в виде коротких лыж на роликах  
лыжи|Плоские деревянные или пластиковые полозья для хождения, бега по снегу  
лыжи|Вид спорта — хождение, бег на таких полозьях  
лыжный|Относящийся к лыжам  
лыжник|Спортсмен, занимающийся лыжным спортом, а также вообще тот, кто ходит, идет на лыжах  
лыжница|Женщина, занимающаяся лыжным спортом, а также та, кто ходит, идет на лыжах  
лыжня|След, накатанный лыжами  
лыко|Луб молодой липы, ивы и некоторых других деревьев, разделяемый на слои и узкие полосы  
лычко|Луб молодой липы, ивы и некоторых других деревьев, разделяемый на слои и узкие полосы  
лыковый|Изготовленный из лыка  
лыжки|Узкие поперечные нашивки на погонах  
лычко|Луб молодой липы, ивы и некоторых других деревьев, разделяемый на слои и узкие полосы  
лысеть|Становиться лысым, лысее  
облысеть|Становиться лысым  
полысеть|Становиться лысым  
облысение|Процесс становления лысым  
полысение|Процесс становления лысым  
лысина|Место на голове, где вылезли и не растут волосы, а также место, где вылезла, не растет шерсть  
лысина|Прогалина в растительном покрове  
лысина|Белое пятно в шерсти на лбу у животного  
лысинка|Маленькая лысина  
лысый|Имеющий лысину  
лысый|Лишенный растительности  
ль|То же, что ли (употребляется после слов, оканчивающихся на гласный)  
львёнок|Детёныш льва  
львица|Самка льва  
львица|Дама высшего света, пользующаяся в нем особым успехом  
льгота|Преимущественное право, облегчение, предоставляемое кому–нибудь как исключение из общих правил  
льготный|Относящийся к льготе  
льготник|Человек, пользующийся льготой, льготами  
льготница|Женщина, пользующаяся льготой, льготами  
льдина|Глыба льда  
льдинка|Маленький кусочек льда  
льдистый|Обильный льдами, покрытый льдом  
льдистость|Свойство быть обильным льдами  
льдо|Первая часть сложных слов со значением: относящийся ко льду  
льдо|Первая часть сложных слов со значением: содержащий лед  
лье|Старинная французская мера длины, равная приблизительно 4,5 км  
льно|Первая часть сложных слов со значением: относящийся к разведению, обработке льна  
льно|Первая часть сложных слов со значением: льняной, из льна  
льновод|Специалист по льноводству  
льноводство|Возделывание льна как отрасль растениеводства  
льноводческий|Относящийся к льноводству
