люлька|Курительная трубка  
люмбаго|Острая боль, прострел в пояснице  
люмпен|Деклассированный слой людей (преступники, бродяги, нищие), а также человек, принадлежащий к такому слою  
люмпен-пролетариат|Деклассированный слой людей из пролетариев  
люнет|Арочный проем в своде, сцене  
люнет|Род полевого укрепления  
люпин|Травянистое растение семейства бобовых, выращиваемое как кормовая культура и как декоративное  
люстра|Висячий светильник из нескольких подсвечников для ламп  
люстрин|Тонкая темная ткань с глянцем  
лютеранин|Последователь лютеранства  
лютеранство|Крупнейшее направление протестантизма, возникшее в шестнадцатом веке на основе учения Лютера и распространенное в Германии, скандинавских и прибалтийских странах, в США  
лютик|Травянистое растение с едким и ядовитым соком и обычно желтыми цветками  
лютня|Старинный струнный щипковый музыкальный инструмент  
лютовать|Зверствовать, проявлять лютость  
лютовать|О морозах: быть очень сильными  
лютый|Злой, свирепый, беспощадный  
лютый|Очень сильный, тяжкий, причиняющий мучения  
люфа|Южное растение семейства тыквенных  
люфа|Губка из высушенного волокнистого плода этого растения  
люцерна|Кормовое травянистое растение семейства бобовых  
люцерник|Поле, засеянное люцерной  
лягать|О копытных животных: бить, ударять ногой или обеими задними ногами  
лягать|Оскорблять придирками, грубыми насмешками  
лягаться|О копытных животных: иметь повадку лягать  
лягаться|Лягать кого–нибудь или друг друга  
лягушатник|Вместилище для лабораторного содержания лягушек  
лягушатник|Неглубокий детский бассейн  
лягушка|Бесхвостое земноводное с длинными задними ногами, приспособленными для прыгания  
лягушонок|Лягушка, недавно вышедшая из личинки  
ляд|Зачем, для чего, на кой черт  
лядунка|У кавалеристов: сумка для патронов, носимая на перевязи через плечо  
ляжка|Мышечный покров бедренной кости, бедро  
лязг|Звук, производимый ударом металла о металл или о камень, кости о кость  
лязгать|Производить лязг  
ля–ля|Заниматься пустой болтовней  
лямзить|Слямзить  
лямка|Широкий ремень, полоса ткани или веревка, перекидываемая через плечо для тяги или переноски тяжестей  
ляп|Грубая ошибка, промах  
ляпать|Говорить что–нибудь некстати, бестактно  
ляпать|Делать наспех, плохо  
ляпис|Азотнокислое серебро, бесцветный кристаллический порошок, употребляемый в медицине, фотографии  
ляпис-лазурь|То же, что лазурит  
ляпсус|Ошибка, обмолвка, упущение  
лярд|Топленое свиное сало  
лясы|Заниматься пустыми разговорами, болтовней  
мавзолей|Большое надгробное мемориальное сооружение  
мавританский|Относящийся к маврам, к их языку, образу жизни, культуре, а также к территории их проживания, ее внутреннему устройству, истории; такой, как у мавров  
мавританский|Относящийся к маврам и к мавританцам, к их языку, образу жизни, культуре, а также к Мавритании, ее территории, внутреннему устройству, истории; такой, как у мавров, как у мавританцев, как в Мавритании  
мавританцы|Население Мавритании  
мавры|Древнее название коренного населения африканского государства Мавретании, а также средневековое название мусульманского населения Пиренейского полуострова и западной части Северной Африки  
мавры|Название части населения Мавритании  
маг|Человек, который владеет тайнами магии, чародей  
маг|Волшебник  
маг|О человеке, который все может, все умеет  
маг|Шутливо: человек, который все может  
маг|Первоначально жрец  
маг|Магнитофон  
магазин|Учреждение, производящее розничную торговлю, а также помещение, в котором производится такая торговля  
магазин|Склад для хранения чего–нибудь  
магазин|Коробка в аппарате, приборе для вкладывания однородных штучных изделий, частей чего–нибудь, а также набор однотипных элементов, заключенных в общий корпус  
магараджа|В Индии: высший титул князей, а также лицо, носящее этот титул  
магарлыч|Угощение как вознаграждение за что–нибудь, по случаю какого–нибудь приятного события  
магистр|В некоторых странах: ученая степень, средняя между бакалавром и доктором наук, а также лицо, имеющее эту степень  
магистр|В дореволюционной России: первая ученая степень, дающая право на занятие университетской кафедры, а также лицо, имеющее эту степень  
магистр|В средневековой Европе: глава духовно–рыцарского католического ордена  
магистраль|Основное направление, главная линия в системе какой–нибудь коммуникации, сети  
магистраль|Широкая и прямая городская улица  
магистрат|В некоторых странах: городское управление
