мазурик|Плут, мошенник, вор
мазурка|Польский народный, сценический и бальный танец, а также музыка в ритме этого танца
мазут|Густые маслянистые остатки, получаемые после перегонки нефти
мазь|Наружное лекарство — мягкая смесь жиров с лечебными веществами
мазь|Густое вещество для смазки чего–нибудь
маис|То же, что кукуруза
май|Пятый месяц календарного года
май|То же, что Первомай
майдан|На Украине и в южных областях России: базар, базарная площадь
майка|Трикотажная, обычно нижняя, рубашка без рукавов и воротника
майка|То же, что футболка
майна|У такелажников, строителей выражение: в значении опускай вниз
майолика|Керамические изделия, покрытые непрозрачной глазурью
майолика|Искусство изготовления таких изделий
майонез|Соус из растительного масла, уксуса, яичного желтка и различных приправ
майор|Офицерское звание или чин рангом выше капитана и ниже подполковника, а также лицо, носящее это звание или имеющее этот чин
майорат|Система наследования, при которой недвижимое имущество (земельное владение) переходит безраздельно к старшему сыну или к старшему в роде
майорат|Недвижимое имущество, на которое распространяется такое право наследования
майя|Индейский народ в Мексике, создатель одной из древнейших американских цивилизаций
майя|Относящийся к этому народу, к его языку, национальному характеру, образу жизни, культуре, а также к территории его проживания, ее внутреннему устройству, истории; такой, как у майя
майя|Легкая хлопчатобумажная ткань
мак|Травянистое растение с длинным стеблем и крупными, чаще красными, цветками
мак|Семена этого растения, идущие в пищу
макака|Небольшая узконосая обезьяна
макар|Каким макаром? — как, каким образом. Таким макаром — так, таким образом
макаронина|Одна трубочка макарон
макаронник|Запеканка из макарон
макароны|Изделие из пшеничной муки в виде длинных высушенных трубочек
макать|Опускать во что–нибудь жидкое
македонский|Относящийся к древним македонцам, их культуре, территории, истории
македонский|Относящийся к македонцам, к их языку, национальному характеру, образу жизни, культуре, а также к Македонии, ее территории, внутреннему устройству, истории; такой, как у македонцев, как в Македонии
македонцы|Народ, населявший Древнюю Македонию
македонцы|Народ, составляющий основное население Македонии и живущий в Республике Македонии, Болгарии, Греции и некоторых других странах
макет|Модель, предварительный образец
макетчик|Специалист по изготовлению макетов
макинтош|Пальто или плащ из прорезиненной ткани
макияж|Искусство оформления лица с помощью косметических средств — красок, кремов, теней, а также само такое оформление
макияж|Косметическое средство (краски, кремы, тени) для придания лицу красоты, свежести
маклак|Посредник при мелких торговых сделках, а также торговец подержанными вещами
маклер|Посредник при заключении торговых сделок; вообще посредник при заключении каких–нибудь сделок
макнуть|Опускать во что–нибудь жидкое
маковка|Плод мака, его семенная коробочка
маковка|Конфета из мака
маковка|Купол церкви
маковка|То же, что макушка
макраме|Художественное изделие из толстых плетеных нитей
макраме|Искусство такого плетения
макраме|Об изделии: сплетенный из таких нитей
макрель|То же, что скумбрия
макро...|Первая часть сложных слов со значением относящийся к большим размерам, величинам
макрокосм|Вселенная, весь мир; противоположно микрокосм
макрокосмос|Вселенная, весь мир; противоположно микрокосм
макроскопический|Видимый невооруженным глазом
макси|Юбка, платье, пальто максимальной длины
макси|О юбке, платье, пальто: максимально длинный
максимализм|Крайность в каких–нибудь требованиях, взглядах; чрезмерность
максималист|Человек, проявляющий в чем–нибудь максимализм
максимальный|Наибольший в ряду других, предельный; противоположно минимальный
максимум|Максимальное, наибольшее количество, наибольшая величина в ряду данных; противоположно минимум
максимум|Самое большее (при словах, обозначающих количество)
максимум|То же, что максимальный
макулатура|Использованные бумажные, картонные изделия и бумажные отходы, идущие на переработку
макулатура|О бездарном литературном произведении
макуха|Жмыхи семян масличных растений
макушка|Верхняя оконечность, вершина чего–нибудь
макушка|Верхняя часть головы
малага|Десертное виноградное вино, род ликера
малайский|Относящийся к малайцам, к их языку, национальному характеру, образу жизни, культуре, а также к странам их проживания, их внутреннему устройству, истории; такой, как у малайцев
малайцы|Группа народов, живущих в Малайзии, Индонезии, Сингапуре
малахай|Род старинного крестьянского головного убора — большая шапка на меху с наушниками
малахай|Род старинной крестьянской одежды — широкий кафтан без пояса
