медяк|Медная монета  
медяница|Змеевидная ящерица медно-серого цвета  
медянка|Змея семейства ужей бурого или серого цвета  
медяшка|Медный предмет, кусок меди  
меж|То же, что между  
меж|Предлог; обозначает положение или проявление действия между кем–нибудь или чем–нибудь  
меж...|Первая часть сложных слов со значением между  
межа|Граница земельных участков  
междометие|Неизменяемое слово, непосредственно выражающее эмоциональную реакцию, чувство, ощущение  
междоусобие|Несогласие, раздор между какими–нибудь общественными группами в государстве  
междоусобица|Несогласие, раздор между какими–нибудь общественными группами в государстве  
между|Обозначает положение предмета или лица посредине, среди кого–нибудь или чего–нибудь, проявление действия в промежутке времени  
между|Служит для указания на нахождение, совершение, утверждение чего–нибудь в среде, группе  
между...|Первая часть сложных слов со значением между  
междуведомственный|Происходящий между разными ведомствами  
междуведомственный|Объединяющий деятельность разных ведомств  
междугородный|Действующий, существующий между городами  
междугородний|Действующий, существующий между городами  
международник|Специалист по вопросам международной политики, международного права  
международный|Касающийся отношений между народами, государствами, связей между ними  
международный|Существующий между народами, распространяющийся на многие народы, интернациональный  
междупутье|Расстояние, пространство между двумя железнодорожными путями  
междуречье|Местность между двумя или несколькими реками, включающая водоразделы и прилегающие склоны долин  
междурядье|Пространство, расстояние между рядами посаженных растений  
междусобойчик|Приятельская встреча, пирушка в узком кругу  
межусобица|Несогласие, раздор между какими–нибудь общественными группами в государстве  
межевать|Проводить межи, границы земельных участков  
межевой|То же, что граница земельных участков  
межень|Низкий уровень воды в реке, озере, а также период, когда сохраняется такой уровень  
межеумок|Недалекий, во всем посредственный человек  
межеумочный|Лишенный четкости, точности, половинчатый или промежуточный  
межпланетный|Находящийся, происходящий между планетами, в космическом пространстве  
межреберный|Находящийся между ребрами  
мессезонье|Промежуток между двумя сезонами  
мезга|Мягкий внутренний слой коры дерева  
мезга|Измельченная масса зерен, ягод, овощей, картофеля, предназначенная для переработки или оставшаяся после обработки  
мездра|Слой подкожной клетчатки на невыделанной коже, шкуре  
мезозойский|Относящийся к мезозойской эре геологической истории Земли  
мезонин|Надстройка над средней частью небольшого жилого дома  
мекать|Об овцах, козах: издавать характерные звуки, напоминающие "ме-е"  
мекать|Говорить неясно, с остановками, растягивая слова  
мексиканский|Относящийся к мексиканцам, к их языку, национальному характеру, образу жизни, культуре, а также к Мексике, её территории, внутреннему устройству, истории  
мексиканцы|Латиноамериканский народ, составляющий основное население Мексики  
мел|Мягкий белый известняк, используемый в промышленности, для окраски, писания  
меланж|Пряжа из смеси окрашенных в разные цвета волокон  
меланхолик|Человек меланхолического темперамента  
меланхолик|Человек, склонный к меланхолии, к грусти, к мрачным мыслям  
меланхолический|Относящийся к меланхолии  
меланхолический|Темперамент, характеризующийся слабой возбудимостью, глубиной и длительностью эмоций  
меланхоличный|Склонный к меланхолии, выражающий меланхолию  
меланхолия|Болезненно-угнетенное состояние, тоска, хандра  
мелеть|Делаться мелким, мельче  
мелиоратор|Специалист по мелиорации  
мелиорация|Улучшение плодородия земель путем их осушения или орошения  
мелить|Натирать мелом  
мелкий|Состоящий из небольших по величине однородных частиц  
мелкий|Небольшой, незначительный по величине, размеру  
мелкий|Небольшой и экономически маломощный  
мелкий|Малозначительный по общественному положению  
мелкий|Не имеющий большого значения, несущественный; не требующий больших затрат, усилий  
мелкий|Ничтожный, низменный  
мелкий|Небольшой по глубине  
мелко...|Первая часть сложных слов со значением: с мелким, мелкий, с малым, маленьким и др.  
мелкобуржуазный|Относящийся к мелкой буржуазии, отражающий её идеологию, интересы  
мелководный|О водоемах: неглубокий, мелкий
