мелить|Натирать мелом  
мелкий|Состоящий из небольших по величине однородных частиц  
мелкий|Небольшой, незначительный по величине, размеру  
мелкий|Небольшой и экономически маломощный  
мелкий|Малозначительный по общественному положению  
мелкий|Не имеющий большого значения, несущественный; не требующий больших затрат, усилий  
мелкий|Ничтожный, низменный  
мелкий|Небольшой по глубине  
мелко...|Первая часть сложных слов со значением: с мелким, с малым, маленьким; относящийся к мелким, незначительным, небольшим  
мелкобуржуазный|Относящийся к мелкой буржуазии, отражающий ее идеологию, интересы  
мелководный|О водоемах: неглубокий, мелкий  
мелководье|Низкий уровень воды в реке, водоеме  
мелкокалиберный|То же, что малокалиберный  
мелкопоместный|О дворянах: владеющий небольшим поместьем; относящийся к их жизни  
мелкосидящий|О судах: имеющий небольшую осадку  
мелкособственнический|Принадлежащий, свойственный мелким собственникам  
мелкота|Мелочь, мелкие существа, предметы  
мелкотемье|Незначительная мелкая тематика, не затрагивающая существенных вопросов  
мелкотоварный|Принадлежащий, свойственный мелким производителям  
мелкотравчатый|То же, что мелкий; ничтожный, низменный  
мелодекламация|Декламация стихов или прозы, сопровождаемая музыкой  
мелодекламатор|Артист, занимающийся мелодекламацией  
мелодика|Учение о мелодии  
мелодика|Основанное на определенной мелодии построение музыкального произведения, стиха  
мелодичный|Благозвучный, приятный для слуха  
мелодия|Благозвучная последовательность звуков, образующая музыкальное единство, напев  
мелодрама|Драма с острой интригой, с резким противопоставлением добра и зла, с преувеличенной эмоциональностью  
мелодрама|Событие, поведение, окрашенное преувеличенным драматизмом  
мелодраматичный|Мелодраматический, являющийся мелодрамой или похожий на нее  
мелок|Кусочек мела для писания, черчения, рисования  
меломан|Страстный любитель пения и музыки  
мелочевка|То же, что мелочь  
мелочить|Заниматься мелкими делами, пустяками, вести себя мелочно  
мелочный|Придающий значение пустякам, мелочам  
мелочный|Пустяковый, ничтожный, мелкий  
мелочь|Мелкие, менее крупные предметы  
мелочь|Разный мелкий товар, недорогие предметы  
мелочь|Мелкие монеты  
мелочь|Ничтожное обстоятельство, пустяк  
мель|Мелководное место в реке, водоеме  
мельзавод|(Мукомольный) завод-мельница  
мелькать|Являться, показываться на короткое время, появляться и исчезать, сменяясь другим  
мелькать|Прерывисто светиться, мерцать  
мельком|В самое короткое время, бегло  
мельник|Владелец мельницы или работник на мельнице  
мельница|Предприятие, здание с приспособлениями для размола зерна  
мельница|Ручная машинка для размола зерна  
мельница|Аппарат для тонкого помола каких-нибудь материалов  
мельтешить|Надоедливо мелькать перед глазами; виднеться (о мелькающем)  
мельхиор|Серебристо-белый сплав меди с никелем и некоторыми другими элементами  
мельчать|Становиться мелким  
мельчить|Делать мелким, дробить  
мельчить|Лишать глубины, значительности  
мелюзга|О живых существах: то же, что мелкота  
мембрана|Упругая перепонка, тонкая пленка или пластинка, способная совершать колебания  
меморандум|Вручаемый представителю другой страны дипломатический документ с изложением взглядов правительства на какой-нибудь вопрос  
мемориал|Мемориальное архитектурное сооружение, мемориальный комплекс  
мемориал|Спортивное соревнование в память выдающихся спортсменов  
мемориальный|Служащий для увековечения памяти кого-либо или чего-либо  
мемуарист|Автор мемуаров  
мемуары|Записки, литературные воспоминания о прошлых событиях, сделанные современником или участником этих событий  
мена|Договор об обмене одного имущества на другое  
менеджер|Специалист по управлению производством, работой предприятия  
менеджмент|Искусство управления интеллектуальными, финансовыми, материальными ресурсами  
менее|То же, что меньше  
менее|В сочетании с прилагательными и наречиями обозначает сравнение
