механичный|То же, что механический
механичность|То же, что механичность
механо|Первая часть сложных слов со значением относящийся к механизмам, механике, например, механовооруженность, механосборочный, механогидравлический, механотерапия
меховщик|Специалист по обработке мехов, а также торговец мехами
меховщица|Специалист по обработке мехов, а также торговец мехами
меценат|Богатый покровитель наук и искусств; вообще тот, кто покровительствует какому-нибудь делу, начинанию
меценатка|Богатый покровитель наук и искусств; вообще тот, кто покровительствует какому-нибудь делу, начинанию
меценатский|Богатый покровитель наук и искусств; вообще тот, кто покровительствует какому-нибудь делу, начинанию
меццо-сопрано|Женский голос, средний по высоте между сопрано и контральто
меццо-сопрано|Певица с таким голосом
меч|Холодное оружие с обоюдоострым длинным прямым клинком
меченосец|В средние века: воин, вооруженный мечом, а также слуга рыцаря, носящий за ним его меч
меченый|Подвергшийся метке, помеченный
мечеть|Мусульманский храм
меч-рыба|Крупная морская рыба с похожим на меч отростком на вытянутой верхней челюсти
мечта|Нечто, созданное воображением, мысленно представляемое
мечта|Предмет желаний, стремлений
мечта|О чем-нибудь очень хорошем
мечтание|То же, что мечта
мечтатель|Человек, который предается мечтам, склонен к мечтательности
мечтательница|Человек, который предается мечтам, склонен к мечтательности
мечтательный|Склонный мечтать, присущий мечтателю
мечтательность|Склонный мечтать, присущий мечтателю
мечтать|Предаваться мечтам о ком-нибудь, чем-нибудь
мешалка|Палка или какой-нибудь предмет, которым перемешивают что-нибудь
мешанина|Смесь чего-нибудь разнородного, путаница
мешать|Создавать препятствия в чем-нибудь, служить помехой
мешать|Переворачивать, взбалтывать круговым движением с помощью чего-нибудь
мешать|Смешивать что-нибудь с чем-нибудь
мешаться|Служить помехой кому-нибудь
мешаться|То же, что вмешиваться
мешаться|Переставать различаться, путаться
мешаться|Смущаться, конфузиться
мешкать|Медлить, не торопиться что-нибудь делать
мешковатый|Об одежде: слишком широкий
мешковатый|Медлительный и неловкий, неуклюжий
мешковатость|Медлительный и неловкий, неуклюжий
мешковина|Грубая ткань для мешков
мешкотный|Медлительный, вялый
мешкотный|Кропотливый, требующий много времени
мешкотность|Медлительный, вялый или кропотливый, требующий много времени
мешок|Сделанное из мягкого материала вместилище для чего-нибудь сыпучего, для различных мелких предметов
мешок|Старая русская обиходная мера сыпучих тел
мешок|Окружение вражескими войсками
мешок|Вместилище в теле животного, в растении
мешок|О неповоротливом, неуклюжем человеке
мешочек|Сделанное из мягкого материала вместилище для чего-нибудь сыпучего, для различных мелких предметов; вместилище в теле животного, в растении
мешочный|Сделанное из мягкого материала вместилище для чего-нибудь сыпучего, для различных мелких предметов; вместилище в теле животного, в растении
мешочник|Человек, занимающийся скупкой, перевозкой вручную и продажей каких-нибудь товаров
мешочница|Человек, занимающийся скупкой, перевозкой вручную и продажей каких-нибудь товаров
мешочнический|Человек, занимающийся скупкой, перевозкой вручную и продажей каких-нибудь товаров
мещанин|В царской России: лицо податного сословия, состоящего из мелких домовладельцев, торговцев, ремесленников
мещанин|Человек с мелкими, сугубо личными интересами, с узким кругозором и неразвитыми вкусами, безразличный к интересам общества
мещанка|В царской России: лицо податного сословия, состоящего из мелких домовладельцев, торговцев, ремесленников; человек с мелкими, сугубо личными интересами, с узким кругозором и неразвитыми вкусами, безразличный к интересам общества
мещанский|В царской России: лицо податного сословия, состоящего из мелких домовладельцев, торговцев, ремесленников; человек с мелкими, сугубо личными интересами, с узким кругозором и неразвитыми вкусами, безразличный к интересам общества; сословие мещан, мещанское звание; психология и поведение мещанина
мещанство|В царской России: сословие мещан, мещанское звание
мещанство|Психология и поведение мещанина
мёд|Сладкое густое вещество, вырабатываемое пчелами из нектара
мёд|Старинный легкий хмельной напиток
медовый|Сладкое густое вещество, вырабатываемое пчелами из нектара; старинный легкий хмельной напиток
мёрзлый|Затвердевший от мороза
мёрзлый|Испорченный морозом
мерзлость|Затвердевший от мороза; испорченный морозом
мёрзнуть|Превращаться в лед, а также застывать, коченеть от холода
мёрзнуть|Очень сильно зябнуть
мёрзнуть|Приходить в негодность от мороза, холода
мёрзнуть|Погибать от холода
мёртвый|Умерший, лишенный жизни
мёртвый|Лишенный жизненности, оживления
мёртвый|Бесплодный, бесполезный
мёртвый|Ни к чему не применяемый, лишний
мёртвый|Никак не используется, лежит мертвым грузом
мёртвый|Постоянно лежащий на дне и служащий для установки плавучих маяков, буев, причалов (мертвый якорь)
мертвец|Умерший, лишенный жизни
мзда|Награда, плата (устаревшее), а также взятка
мздоимец|Стяжатель, взяточник
миазмы|Гнилостные испарения, запахи
миазматический|Гнилостные испарения, запахи
миг|Мгновение, очень короткий промежуток времени
мигалка|Яркий мигающий фонарь
мигалка|Коптилка со слабым мигающим огоньком
мигать|То же, что моргать
мигать|Мелькать, мерцая
мигание|То же, что моргать; мелькать, мерцая
мигательный|То же, что моргать
мигом|Очень быстро, скоро или сразу
миграция|Переселение, перемещение (о многих, многом)
миграционный|Переселение, перемещение (о многих, многом)
мигрень|Приступы боли в одной половине головы
мигреневый|Приступы боли в одной половине головы
