мортира|Короткоствольное артиллерийское орудие  
морфема|В языкознании: минимальная значимая часть слова (корень, приставка, суффикс, постфикс)  
морфий|Наркотическое и болеутоляющее вещество, добываемое из млечного сока опиумного мака  
морфин|Наркотическое и болеутоляющее вещество, добываемое из млечного сока опиумного мака  
морфиизм|Болезненное пристрастие к морфину, морфию как наркотику  
морфинист|Наркоман, страдающий морфинизмом  
морфология|В названиях некоторых естественных наук: строение, форма  
морфология|Раздел грамматики – наука о частях речи, об их категориях и о формах слов  
морфология|Принадлежащая языку система частей речи, их категорий и форм слов  
морфонология|Раздел языкознания – наука о фонемном строении слов и морфем и об ударении  
морщина|Складка, бороздка на коже лица, тела, а также складка, неровность на поверхности чего–нибудь  
морщинка|Маленькая складка, бороздка на коже лица, тела, а также маленькая складка, неровность на поверхности чего–нибудь  
морщинистый|С глубокими или многими морщинами  
морщинистость|Состояние поверхности с глубокими или многими морщинами  
морщиниться|То же, что морщиться во втором значении  
морщить|Сдвигать в морщины; собирать складками какие–нибудь части лица  
морщит|Об одежде, ткани: лежать не гладко, с морщинками  
морщиться|Морщить лоб, лицо  
морщиться|Об одежде, ткани: покрываться морщинками, складками  
моряк|Человек, который служит во флоте  
моряк|Человек, опытный в морском деле  
москали|На Украине и в Белоруссии: прозвище русских, а также солдат  
москатель|Краски, клей, непищевое масло и другие химические вещества как предмет торговли  
москит|Мелкое двукрылое насекомое южных стран, причиняющее болезненные укусы  
мослак|То же, что мосол  
мосол|Кость, обычно большая, выступающая под кожей  
мост|Сооружение для перехода, переезда через реку, овраг, железнодорожный путь, какие–нибудь препятствия  
мост|Линия дальней воздушной радио– или телевизионной связи, сообщения  
мост|Вытянутое изогнутое положение тела, обращенного грудью вверх и опирающегося на поверхность ступнями и ладонями  
мост|Часть шасси автомобиля  
мост|Зубной протез: планка с искусственными зубами, укрепленная на коронках  
мостик|Высоко расположенная огражденная площадка на судне или на больших машинах, агрегатах для управления, наблюдения  
мостик|Маленький мост  
мостить|Покрывать поверхность чего–нибудь (дороги, улицы) камнем, брусчаткой  
мостить|Делать настил из досок, бревен  
мостки|Деревянный настил в виде мостика для перехода через что–нибудь  
мостки|Помост, деревянная площадка в воде у берега реки, пруда  
мостки|Площадка на строительных лесах у стены строящегося или ремонтируемого здания  
мостовая|Вымощенная или покрытая асфальтом проезжая часть улицы  
мостовик|Специалист по постройке мостов  
мостопоезд|Специальный поезд для ремонта и строительства мостов и путепроводов  
моська|Маленькая собачка, мопс  
мот|Расточительный человек, тот, кто расточает свои деньги, имущество  
мотовка|Женщина–мот  
моталка|Приспособление для наматывания чего–нибудь  
мотать|Круговым движением навивать, наслаивать на что–нибудь  
мотать|Поводить в стороны, качать  
мотать|Уходить, убегать, сматываться  
мотать|Нервировать, изматывать, в выражениях "мотать нервы", "мотать душу"  
мотать|Не давать покоя, постоянно требуя, поручая что–нибудь  
мотать|Нерасчетливо тратить на развлечения, удовольствия, заниматься мотовством  
мотаться|Качаться, двигаться из стороны в сторону  
мотаться|Проводить время в хлопотливых, утомительных занятиях, ходьбе  
мотель|Гостиница для автотуристов, обычно с техническим обслуживанием автомобилей  
мотив|Побудительная причина, повод к какому–нибудь действию  
мотив|Довод в пользу чего–нибудь  
мотив|Единица музыкальной формы; мелодия, напев  
мотив|Проходящие через художественное произведение, творчество художника или через целое направление компоненты формы, элементы сюжета или темы, настроения  
мотивировать|Привести доводы, мотивы в пользу чего–нибудь  
мотивировка|Совокупность мотивов, доводов для обоснования чего–нибудь  
мотня|Мешок в средней части невода, куда попадает рыба  
мотня|Место в брюках, в шагу, где сходятся штанины  
мотня|Суетня, хлопотливые занятия с утомительной ходьбой  
мото...|Первая часть сложных слов со значением: моторный; моторизированный; мотоциклетный  
мотобол|Спортивная командная игра: род футбола на мотоциклах, а также соответствующий вид спорта  
мотоболист|Спортсмен, занимающийся мотоболом  
мотовоз|Локомотив с двигателем внутреннего сгорания небольшой мощности  
мотовство|Поведение мота, расточительность  
мотогонки|Гонки на мотоциклах  
мотогонщик|Спортсмен – участник мотогонок  
моток|Ровно смотанные, намотанные на что–нибудь нитки, пряжа, проволока  
мотопед|То же, что мопед
