мошенничать|Совершать мошенничества  
мошенничество|Обман, жульнические действия с корыстной целью  
мошеннический|Относящийся к мошенничеству  
мошка|Мелкое двукрылое насекомое  
мошка|То же, что мошкара  
мошкара|Мошки  
мошна|Мешочек для хранения денег  
мошна|Накопить, получить много денег  
мошна|О том, кто богат  
мошна|Не поскупившись, истратить много  
мошонка|Кожно-мышечное образование, мешочек, где находятся мужские половые железы  
мошоночный|Относящийся к мошонке  
мощёный|Вымощенный камнем, брусчаткой  
мощи|Высохшие останки людей, почитаемые церковью святыми и чудотворными  
мощь|Могущество, сила  
мощность|Физическая величина, характеризующая работу, совершаемую в единицу времени  
мощность|Производственные объекты  
мощный|Очень сильный, значительный, могучий  
мощный|Обладающий большой мощностью  
мощный|Большой величины, массивный, толстый  
мразь|О ком–нибудь дрянном, ничтожном  
мрак|Глубокая, непроглядная тьма  
мрак|Глубокое уныние, печаль  
мракобес|Реакционер, враг прогресса, культуры, науки  
мракобесие|Взгляды и поведение мракобеса  
мракобесный|Относящийся к мракобесию  
мрамор|Твердый и блестящий, обычно с красивым узором камень известковой породы, употребляемый преимущественно для скульптурных и архитектурных работ  
мраморный|Рисунком, цветом похожий на мрамор  
мраморный|О лице, коже: матово-белый  
мраморность|Качество быть похожим на мрамор  
мрачнеть|Становиться мрачным, мрачнее  
помрачнеть|Сделаться мрачным, мрачнее  
помрачнение|Становление мраком, затмевание  
мрачный|Темный, погруженный во мрак  
мрачный|Исполненный печали, наводящий грусть, безрадостный, угрюмый  
мрачный|Тяжелый, беспросветный  
мрачность|Свойство быть мрачным  
мститель|Тот, кто мстит, отомстил  
мстительница|Женщина, которая мстит  
мстительный|Склонный к мести, злопамятный  
мстительность|Склонность к мести  
мстить|Совершать акт мести по отношению к кому–нибудь  
отомстить|Совершить месть  
мщение|Акт мести  
отмщение|Акт мести  
муар|Плотная шелковая ткань с волнообразными цветовыми переливами  
муаровый|Относящийся к муару  
мудрец|Мудрый человек  
мудрёный|Загадочный, непонятный  
мудрёный|Трудный, замысловатый  
мудрёный|Трудно, сложно  
мудреность|Свойство быть мудреным  
мудрить|Действовать с ненужными сложностями, умничать, мудрствовать  
намудрить|Сделать что–нибудь излишне сложно  
смудрить|Действовать излишне мудро  
мудрость|Глубокий ум, опирающийся на жизненный опыт  
мудрость|Третьий коренной зуб, появляющийся после двадцати лет  
мудрствовать|Делать что–нибудь, умничая, мудря  
мудрствование|Действие по значению мудрствовать  
мудрый|Обладающий большим умом  
мудрый|Основанный на больших знаниях, опыте  
муж|Мужчина по отношению к женщине, с которой он состоит в официальном браке  
муж|Мужчина в зрелом возрасте, а также деятель на каком–нибудь общественном поприще  
муженёк|Уменьшительно-ласкательное к муж  
мужнин|Относящийся к мужу  
мужний|Относящийся к мужу  
мужняя|О замужней женщине  
мужать|Становиться зрелым, зрелее, взрослым, взрослее  
мужать|Становиться сильнее, крепче, выносливее, мужественнее  
возмужать|Стать зрелым, взрослым, сильным  
возмужание|Становление зрелым  
мужаться|Проявлять стойкость, мужество  
мужеподобный|О женщине, ее внешности: подобный мужчине, такой, как у мужчины  
мужеподобность|Свойство быть подобной мужчине  
мужественный|Обладающий мужеством, выражающий мужество  
мужественность|Свойство быть мужественным  
мужество|Храбрость, присутствие духа в опасности  
мужик|Крестьянин  
мужик|То же, что мужчина  
мужик|То же, что муж  
мужик|Невоспитанный, грубый человек  
мужичок|Маленький крестьянин или мужчина  
мужичонка|Маленький или пренебрежительный мужчина  
мужичье|Крестьяне, мужики  
мужицкий|Относящийся к крестьянам  
мужичий|Относящийся к крестьянину  
мужиковатый|Грубоватый, простоватый  
мужиковатость|Свойство быть грубоватым  
мужнин|Относящийся к мужу  
мужний|Относящийся к мужу  
мужской|Такой, как у мужчины, характерный для мужчины  
мужской|Грамматическая категория, обозначающая принадлежность к мужскому полу  
мужчина|Лицо, противоположное женщине по полу  
мужчина|Взрослый мужчина, в отличие от мальчика, юноши  
мужчинка|Маленький или шутливый мужчина  
муза|В греческой мифологии: богиня-покровительница искусств и наук  
муза|Источник поэтического вдохновения, а также само вдохновение, творчество  
музеевед|Специалист по музееведению  
музееведение|Наука об истории музеев, их назначении и организации  
музееведческий|Относящийся к музееведению  
музей|Учреждение, занимающееся собиранием, изучением, хранением и экспонированием предметов – памятников естественной истории, материальной и духовной культуры, а также просветительской и популяризаторской деятельностью  
музейный|Относящийся к музею  
музейщик|Работник музея, специалист по музейному делу  
музицировать|Играть на музыкальном инструменте, заниматься музыкой  
музицирование|Действие по значению музицировать  
музыка|Искусство, отражающее действительность в звуковых художественных образах, а также сами произведения этого искусства  
музыка|Исполнение музыкальных произведений на инструментах, а также само звучание этих произведений  
музыка|Мелодия какого–нибудь звучания  
музыкальный|Способный к музыке, тонко понимающий, воспринимающий музыку  
музыкальный|Приятный по звуку, мелодичный  
музыкальность|Свойство быть музыкальным  
музыкант|Артист, играющий на музыкальном инструменте, а также вообще человек, занимающийся такой игрой  
музыкантша|Женщина-музыкант  
музыкантский|Относящийся к музыканту
