мытарить|Подвергать мытарствам, мучить  
мытариться|Испытывать мытарства, муки  
мытарство|Страдание, мука  
мытарь|В библейских сказаниях: сборщик податей в Иудее  
мыть|Очищать от грязи при помощи воды, воды с мылом, какой–нибудь жидкости  
мыть|Добывать, обычно о золоте, промывая песок, землю  
мыть|Обливать, окатывать; размывать  
мычать|О корове, быке: издавать характерные звуки, напоминающие «му-у»  
мычать|Говорить невнятно, издавать тягучие, нечленораздельные звуки  
мышастый|О масти животных: серый, цвета мыши  
мышеловка|Ловушка для мышей  
мышеловочный|Относящийся к ловушке для мышей  
мышковать|В речи охотников, о лисице: охотиться на мышей  
мышление|Процесс отражения объективной действительности в представлениях, суждениях, понятиях  
мышонок|Детеныш мыши  
мышца|Орган тела человека и животного, состоящий из ткани, способной сокращаться под влиянием нервных импульсов  
мышь|Небольшой грызун с острой мордочкой, усиками и длинным хвостом  
мышиный|Относящийся к мыши  
мышьяк|Химический элемент, твердое ядовитое вещество, входящее в состав некоторых минералов, а также препараты из этого вещества, употребляемые в медицине и технике  
мэр|Глава муниципалитета  
мерия|Орган местной городской исполнительной власти  
метр|Учитель, наставник  
метр|Деятель искусства или науки — почитаемый авторитет среди своих учеников, окружения  
мюзикл|Музыкальное представление, фильм, сочетающие в себе элементы эстрады, оперетты и балета  
мягкий|Легко поддающийся давлению, сжатию, малоупругий, эластичный  
мягкий|Приятный при ощущении, не раздражающий  
мягкий|Плавный, размеренный  
мягкий|Кроткий, лишенный грубости, резкости  
мягкий|Не очень строгий, снисходительный, не суровый  
мягкий|Теплый, приятный  
мягкий|О воде: содержащий мало солей кальция и магния, легко смывающий мыло, не жесткий  
мягкий|О транспортных средствах: с мягкими сидениями или предназначенный для использования мягких сидений  
мягкий|О согласных звуках: произносимый с приближением средней части языка к твердому небу; противоположно твердому  
мягкость|Доброта и тактичность в поведении, в поступках  
мягкотелый|С мягким, полным телом  
мягкотелый|Слабохарактерный, вялый  
мягчить|Делать мягким, мягче  
мякина|Остатки колосьев, стеблей и другие отходы при молотьбе  
мякиш|Мягкая (под коркой) часть печеного хлеба  
мякнуть|Делаться мягким или дряблым  
мякоть|Мягкие части тела животных и человека  
мякоть|Подкожная мягкая часть плодов, клубней  
мялка|Разминающая машина, устройство  
мямлить|Говорить медленно, невнятно и вяло  
мямля|Вялый, нерешительный человек, тот, кто мямлит  
мясистый|Толстый, обильный мясом  
мясистый|Тучный, жирный  
мясистый|Содержащий много мякоти, с сочной подкожной частью  
мясная|Магазин, торгующий мясом  
мясник|Торговец мясом, продавец в мясном магазине  
мясо|Обиходное название мышц  
мясо|Часть туши убитого животного, употребляемая в пищу  
мясо|То же, что говядина  
мясо|Мякоть плодов, ягод  
мясорубка|Машинка для размалывания мяса, для приготовления фарша  
мясорубка|О бессмысленном кровопролитии, уничтожении людей  
мяться|Быть в смятении  
мята|Душистая многолетняя трава, употребляемая в медицине, в парфюмерной, пищевой промышленности  
мятеж|Стихийное восстание, вооруженное выступление против власти  
мятежник|Участник мятежа  
мятежница|Женщина — участник мятежа  
мятежный|Причастный к мятежу, поднимающий мятеж  
мятежный|Тревожный, неспокойный, бурный  
мятежность|Свойство быть тревожным, неспокойным, бурным  
мятлик|Дикорастущий кормовой злак  
мятый|Негладкий, со складками, морщинами  
мятый|Раздавленный, измятый, превращенный в сплошную массу давлением  
мятый|О лице: то же, что помятый  
мять|Давя, превращать в мягкую массу, делать мягким  
мять|Давлением лишать гладкости, ровности  
мять|Тискать, сжимать  
мяться|Становиться мятым
