мятежник|Участник мятежа  
мятежная|Причастный к мятежу, поднимающий мятеж  
мятежная|Тревожный, неспокойный, бурный  
мятлик|Дикорастущий кормовой злак  
мятый|Негладкий, со складками, морщинами  
мятый|Раздавленный, измятый, а также превращенный в сплошную массу давлением  
мятый|О лице: то же, что помятый  
мять|Давя, превращать в мягкую массу, делать мягким  
мять|Давлением лишать гладкости, ровности  
мять|Тискать, сжимать  
мяться|Становиться мятым  
мяться|Быть в нерешительности, смущаться, колебаться  
мяукать|О кошке: издавать характерные звуки, напоминающие "мяу"  
мяч|Предмет для игры — сплошной или полый внутри шар из упругого материала, при ударе отскакивающий от твердой поверхности  
на|Употребляется при обозначении поверхности, на которой сверху располагается или куда направляется что–нибудь  
на|Употребляется при обозначении места, области или времени деятельности  
на|Употребляется при обозначении лица или предмета, являющегося объектом действия  
на|Употребляется при обозначении предметов, являющихся орудием действия, частью устройства, способом выражения чего–нибудь  
на|Употребляется при обозначении срока, промежутка времени  
на|Употребляется при обозначении меры, количества, предела  
на|Употребляется при указании цели, назначения, предмета достижения  
на|Употребляется при указании образа действия, состояния  
на|Во время чего–нибудь  
на|При помощи чего–нибудь, с чем–нибудь  
на|В сочетании с одушевленным существительным обозначает субъект, испытывающий состояние  
на|При повторении существительного указывается наличие большого количества, обилия чего–нибудь  
на|Сопровождает жест передачи, вручения: вот, возьмите  
на|Образует глаголы со значением направленности действия на что–нибудь  
на|Образует глаголы со значением полноты действия и большого количества его объектов  
на|Образует глаголы со значением проявления действия в незначительной степени, слабо, неинтенсивно  
на|Образует глаголы с постфиксом "ся" — полной завершенности действия, удовлетворенности им  
на|Образует глаголы со значением тщательности или интенсивности действия  
на|Образует глаголы со значением приучения к действию  
на|Образует глаголы со значением собственно предела действия  
на|Образует прилагательные и существительные со значением находящийся поверх чего–нибудь, на чем–нибудь  
на|Образует наречия  
набавить|Сделать прибавку к чему–нибудь, преимущественно к цене  
набалдашник|Род колпачка или утолщение на верхнем конце трости, палки  
набаловать|Слишком избаловать  
набаловаться|Вдоволь побаловаться, пошалить  
набат|Удары в колокол как сигнал к сбору людей в случае пожара, тревоги  
набег|Внезапное нападение, вторжение  
набег|Внезапный стремительный и короткий удар по противнику  
набегать|Беганьем причинить, сделать себе что–нибудь  
набегать|Бегая, покрыть какое–нибудь расстояние за какое–нибудь время  
набегать|Собираться складками, морщить  
набегаться|Бегая, утомиться или вдоволь побегать  
набедренный|Носимый, расположенный на бедре, бедрах  
набежать|Натолкнуться с разбега, с разгона; быстро перемещаясь, достигнуть чего–нибудь  
набежать|Сбегаясь, собраться в одном месте, скопиться  
набежать|Накапливаясь, увеличиться в количестве, числе  
набекрень|О головном уборе: с наклоном набок, сдвинувшись к уху  
набело|Начисто, окончательно  
набережная|Берег, укрепленный стенкой из бетона, камня, дерева, а также улица, идущая вдоль такого берега или вообще вдоль берега  
набивка|Материал, которым набито, наполнено что–нибудь  
набивка|То же, что набойка  
набивной|Приготовляемый набивкой, набиваемый чем–нибудь  
набивной|Набитый, набиваемый на что–нибудь  
набивной|О ткани: с отпечатанным рисунком  
набитый|Очень глупый, тупой человек  
набить|Наполнить, плотно вкладывая что–нибудь внутрь чего–нибудь  
набить|Заполнить собой, скопляясь в большом количестве где–нибудь  
набить|Вложить, плотно вместить внутрь чего–нибудь  
набить|Ударом или ударами насадить, надеть  
набить|Ударом или ударами причинить вред кому–нибудь  
набить|Отпечатать узор (на ткани)  
набить|Вколотить во что–нибудь в каком–нибудь количестве  
набить|Разбить в каком–нибудь количестве  
набить|Настрелять в каком–нибудь количестве  
набиться|Скопиться в большом количестве где–нибудь  
набиться|Навязаться, напроситься  
наблюдатель|Лицо, занятое наблюдением за кем–нибудь, осуществляющее наблюдение, а также вообще тот, кто наблюдает за кем–нибудь  
наблюдательный|Внимательный, умеющий хорошо наблюдать, подмечать  
наблюдать|Внимательно следить глазами за кем–нибудь, а также вообще внимательно следить за кем–нибудь, не упускать из виду, из поля зрения  
наблюдать|Изучать, исследовать  
наблюдать|Осуществлять надзор за кем–нибудь  
наблюдаться|Быть под наблюдением  
наблюдаться|Иметь место, отмечаться, обнаруживаться  
наблюсти|Сделать какое–нибудь наблюдение над чем–нибудь  
набожный|То же, что богомольный  
набойка|Ткань с набитым вручную узором, а также сам узор  
набойка|Слой твердого материала, на который опирается каблук  
набок|На сторону, вкривь  
набоковиана|Серия произведений искусства, исследований, посвященных В. Набокову  
наболеть|Стать особенно болезненным после длительной боли  
наболеть|О чем–нибудь трудном, тяжелом: назреть, требовать неотложного решения  
наболтать|Взбалтывая, прибавить чего–нибудь во что–нибудь  
наболтать|Наговорить лишнего, вздорного
