набок|На сторону, вкривь
набоковиана|Серия произведений искусства, исследований, посвященных Владимиру Набокову
наболеть|Стать особенно болезненным после длительной боли
наболеть|О чем–нибудь трудном, тяжелом: назреть, требовать неотложного решения
наболтать|Взбалтывая, прибавить чего–нибудь во что–нибудь
наболтать|Наговорить лишнего, вздорного
набор|Совокупность предметов, образующих нечто целое, подбор
набор|Типографские литеры и пробельный материал
набор|Украшение в виде мелких блях на упряжи, на ременном поясе
наборный|Составленный из мелких однородных частей
наборщик|Рабочий, специалист по типографскому набору
набрать|Взять, собрать какое–нибудь количество кого–нибудь или чего–нибудь или, собирая, составить
набрать|Составить из типографских литер текст для печатания
набрать|Составить из каких–нибудь знаков, цифр, отдельных частей
набрать|Достигнуть чего–нибудь, какой–нибудь степени в чем–нибудь
набраться|Скопиться, оказаться в каком–нибудь количестве
набраться|Найти в себе какие–нибудь возможности, внутренние силы
набраться|Приобрести, позаимствовать что–нибудь
набраться|То же, что напастись
набраться|Напиться пьяным, сильно захмелеть
набрести|Бредя, натолкнуться на кого–нибудь или что–нибудь
набрести|Идя, бредя, собраться в одном месте
набросать|Бросить куда–нибудь в каком–нибудь количестве, в несколько приемов
набросать|Бегло, в предварительной форме, в общих чертах изобразить, наметить
набросить|Бросить, быстрым движением поместить что–нибудь поверх кого–нибудь или чего–нибудь, накинуть
наброситься|Бросившись, напасть на кого–нибудь
наброситься|Начать делать что–нибудь стремительно, с усердием, с жадностью
наброситься|Вдруг обратиться к кому–нибудь с упреками, с бранью, с взволнованной речью
набросок|Рисунок или изложение, сделанные предварительно, в общих чертах
набрызгать|Замочить или испачкать брызгами
набрюшник|Повязка, накладка на живот
набрякнуть|То же, что разбухнуть
набрякнуть|Распухнуть и отяжелеть; увеличиться от отека
набухнуть|Увеличиться в процессе роста, наполнившись соком, питательными веществами; распухнуть
набухнуть|От сырости, влаги раздаться, расшириться
набуянить|Натворить чего–нибудь, буйствуя, буяня
набычиться|Склонив голову, угрюмо насупиться, нахмуриться
навага|Северная морская рыба семейства тресковых
наваждение|По старым народным представлениям: то, что внушено злой силой с целью соблазнить, увлечь чем–нибудь, запутать
наваждение|Непонятное явление, необъяснимый случай
навалить|Наложить поверх, сверху
навалить|Поручить кому–нибудь что–нибудь обременительное, многое
навалить|Положить в беспорядке, в большом количестве
навалить|Собраться, сойтись в большом количестве
навалиться|С силой налечь, придавить всей тяжестью
навалиться|Внезапно напасть, обрушиться
навалиться|Упасть, нагрянуть в большом количестве
навалиться|То же, что наброситься
навалиться|О чем–нибудь тяжелом: появиться с силой
навалыом|Наваливая, грузя без упаковки, без тары
навалыом|Беспорядочно, большой грудой
навалыом|Много, в избытке
навалотбойщик|Горнорабочий, занятый отбойкой угля и наваливанием его на конвейер в забое
навалять|Наготовить валянием
наваляться|Вдоволь поваляться
навар|Жидкость, насыщенная варящимся в ней продуктом
навар|Жир, образующийся в жидком кушанье при варке
навар|Прибыль, нажива, барыш
наваристый|С наваром, с хорошим наваром
наварить|Сварить в каком–нибудь количестве
наварить|Изготовить плавлением в каком–нибудь количестве
наварить|Обрабатывая металлическое изделие, приварить к нему металл
наварный|То же, что наваристый
наведаться|Зайти, прийти с целью осведомиться о чем–нибудь, а также вообще ненадолго навестить
навезти|Везя, натолкнуть на кого–нибудь или что–нибудь
навезти|Привезти в каком–нибудь количестве
навек|То же, что навсегда
навечно|То же, что навсегда
навербовать|Вербуя, набрать какое–нибудь количество кого–нибудь
наверно|Несомненно, верно, точно
наверно|По всей вероятности
навернуть|То же, что навинтить
навернуть|Намотать вокруг чего–нибудь
навернуться|О том, что накручивается, навинчивается: укрепиться
навернуться|То же, что подвернуться
навернуться|О слезах: выступить, появиться
наверняка|Несомненно, обязательно
наверняка|С верным расчетом, безошибочно
наверняка|Конечно, несомненно, разумеется
наверстать|Восполнить упущенное
навертеть|Вертя, намотать
навертеть|Вертя, наготовить
наверх|На верхнюю часть чего–нибудь
наверх|Вверх, ввысь
