наворститься|То же, что наловчиться
навощить|То же, что вощить
наврать|То же, что врать
навредить|То же, что вредить
навряд|То же, что вряд
навсегда|На все время, на всю жизнь
навстречу|В направлении, противоположном кому–чему–нибудь, движущемуся для сближения
навстречу|По направлению к кому–чему–нибудь
навыворот|То же, что наизнанку
навыворот|То же, что наоборот
навык|Умение, выработанное упражнениями, привычкой
навыкат|О выпуклых глазах
навыкате|О выпуклых глазах
навыкнуть|Приобрести навык в чем–нибудь
навытыкать|То же, что навыкать
навынос|О продаже напитков: без питья на месте продажи, не распивочно
навыносить|То же, что навынос
навыпуск|О ношении брюк поверх голенищ, а также рубахи, кофты, не заправленной в брюки, юбку
навыраз|Вырезая кусок на пробу
навыраст|То же, что навыраз
навытяжку|О позе: стоя прямо и вытянув руки по швам
навьючивать|То же, что вьючить
навьючиться|Нагрузить на себя что–нибудь
навязать|То же, что привязать
навязать|Наготовить вязанием
навязать|Принудить, заставить принять, купить что–нибудь
навязаться|Неотвязно пристать с чем–нибудь, напроситься
навязнуть|Застряв, накопиться
навязчивый|Назойливый, надоедливо пристающий с чем–нибудь
навязчивый|Против воли внедрившийся в сознание, неотступный
нагадать|Гадая, предсказать, напророчить
нагайка|Короткая ременная плеть
наган|Револьвер особой системы
нагар|Обуглившийся при горении кончик фитиля
нагар|То же, что окалина
нагижом|В голом виде, совсем без одежды
нагладить|Выгладить в каком–нибудь количестве
нагладить|Сделать гладким, хорошо отгладить
нагладиться|Старательно выгладить себе одежду
наглазник|Щиток или повязка, предохраняющие глаз
наглазный|Помещаемый, надеваемый на глаза
наглеть|Становиться наглым, наглее
наглец|Наглый человек, нахал
наглеца|Некоторая степень наглости
нагличать|Вести себя нагло, бесстыдно
наглость|Наглый поступок, выражение
наглотаться|Проглотить что–нибудь в большом количестве
наглушить|Глуша, наловить, а также вообще убить, уничтожить
наглый|Дерзко беззастенчивый, бесстыдный
наглядеться|То же, что насмотреться
наглядный|Совершенно очевидный из непосредственного наблюдения
наглядный|Основанный на показе, служащий для показа
нагнать|Догнать, настигнуть
нагнать|Наверстать, выполнить то, что не выполнено
нагнать|Сгоняя, гоня, сосредоточить в одном месте
нагнать|Внушить кому–нибудь какое–нибудь чувство (унылое, тяжелое)
нагнать|Наготовить перегонкой
нагнести|Давлением сосредоточить в каком–нибудь замкнутом пространстве
нагноение|Нарыв, гнойник
нагноиться|Стать воспаленным и гнойным
нагнуть|Наклонить, опустить
