бестия|Плут, пройдоха  
бестолковщина|Беспорядок, неразбериха  
бестолковщина|Бестолковый человек  
бестолковый|Непонятливый, глупый, несообразительный  
бестолковый|Беспорядочный, невразумительный, неразумный  
бестолочь|То же, что бестолковщина  
бестрепетный|Бесстрашный, неустрашимый  
бестселлер|Популярная, быстрее других раскупаемая книга  
бесформенный|Не имеющий определенной формы, ясных очертаний  
бесхарактерный|Безвольный, легко поддающийся чужим влияниям  
бесхитростный|Прямодушный, простой  
бесхозный|Не имеющий хозяина  
бесхозяйственный|Не умеющий вести хозяйство, нарушающий интересы хозяйства  
бесхребетный|Не имеющий твердой линии поведения, беспринципный  
бесцветный|Не имеющий цвета  
бесцветный|Невыразительный, ничем не замечательный  
бесцельный|Не имеющий определенной цели, бесполезный  
бесценный|Очень ценный, неоценимый  
бесценный|Дорогой, любимый  
бесценок|Очень дешево  
бесцеремонный|Беззастенчивый и развязный, выходящий за границы вежливости  
бесчеловечный|Очень жестокий, безжалостный  
бесчестить|Позорить, порочить  
бесчестить|Лишать женской чести  
бесчестный|Нарушающий требования чести, непорядочный  
бесчестье|Поругание чести, оскорбление  
бесчинство|Грубое нарушение порядка, скандальное поведение  
бесчинствовать|Совершать бесчинства  
бесчисленный|Очень большой по количеству, неисчислимый  
бесчувственный|Лишенный чувств, сознания  
бесчувственный|Лишенный чувства сострадания, отзывчивости  
бесчувствие|Без сознания  
бесчувствие|До потери сознания  
бесшабашный|Беспечный, залихватский, отчаянный  
бесшумный|Не производящий шума, тихий  
бета-|Первая часть сложных слов в составе некоторых терминов: радиоактивное превращение атомного ядра, электроны и позитроны, испускаемые радиоактивными веществами  
бетон|Строительный материал из вяжущих смесей с водой и заполнителями, твердеющий после укладки  
бетонировать|Заполнить бетоном  
бетонка|Бетонированная дорога или полоса на взлётном поле  
бетономешалка|Машина для приготовления бетонной смеси  
бетонщик|Рабочий, занимающийся бетонными работами  
бефстроганов|Кушанье из мелких кусочков мяса, тушенных в сметане  
бечева|Прочная толстая верёвка, канат  
бечёвка|Тонкая верёвка  
бешенство|Вирусное заболевание, поражающее нервную систему  
бешенство|Крайняя степень раздражения  
бешеный|Больной бешенством  
бешеный|Необузданный, крайне раздражительный  
бешеный|Большой силы, напряжения, яростный  
бешеный|Легко доставшиеся большие деньги, а также чрезмерно большие деньги  
бешеный|Очень высокие цены  
бешмет|У некоторых народов Кавказа и Средней Азии: верхняя распашная, обычно стёганая, одежда  
бзик|Странность, причуда  
биатлон|Вид зимнего двоеборья, включающий лыжную гонку и стрельбу из винтовки  
биатлонист|Спортсмен, занимающийся биатлоном  
библио-|Первая часть сложных слов со значением относящийся к книгам  
библиограф|Специалист по библиографии  
библиография|Научное описание и систематизация произведений печати и письменности, их выявление и отбор, составление их перечней, указателей и информационных изданий  
библиография|Перечень книг и статей по какому–нибудь вопросу  
библиотека|Учреждение, собирающее и хранящее произведения печати и письменности для общественного пользования, а также осуществляющее справочно–библиографическую работу  
библиотека|Собрание книг, произведений печати, а также помещение, где они хранятся  
библиотека|Название серии книг, объединённых тематически или по назначению, жанру  
библиотекарь|Работник библиотеки  
библиофил|Любитель и собиратель книг  
библия|Канонизированное собрание священных книг иудейской и христианской религий
