нагрнать|Наготовить перегонкой
нагнести|Давлением сосредоточить в каком–нибудь замкнутом пространстве
нагнести|Представлять что–нибудь в мрачном свете
нагноение|Нарыв, гнойник
нагноение|Становление воспаленным и гнойным
нагноиться|Стать воспаленным и гнойным
нагнуть|Наклонить, опустить
нагнуться|То же, что наклониться
нагрузить|Возложить на кого–нибудь какую–нибудь (обычно дополнительную) работу, обязанность
наговор|Клевета, напраслина
наговор|Заклинание, имеющее магическую силу
наговорить|Говоря, произнести, сообщить много чего–нибудь
наговорить|Ложно обвинить кого–нибудь, оклеветать
наговорить|Произвести звуковую запись своего голоса
наговориться|Поговорить вдоволь
нагий|Не имеющий на себе одежды, покровов, голый
нагота|Отсутствие одежды, покровов, нагота
наголо|Вынув из ножен (шашку, саблю)
наголо|О стрижке: до корней волос
наголову|Разбить окончательно, полностью
наголодаться|Натерпеться голода
нагольный|О меховой шубе, тулупе: кожей наружу, без матерчатого верха, не крытый
нагоняй|Строгое внушение, наказание
нагорa|Из шахты на поверхность земли
нагореть|Дать нагар
нагореть|О горючем, об электрической энергии: израсходоваться в каком–нибудь количестве
нагореть|Попасть, сильно достаться
нагорный|Находящийся, расположенный на горе, на горах
нагорный|Возвышенный, гористый
нагородить|Сделать, построить, поместить в большом количестве
нагородить|Наговорить чего–нибудь нелепого, вздорного
нагорье|Возвышенная местность, сочетающая плоскогорья, горные массивы и долины
наготове|В состоянии готовности
наготовить|Приготовить, изготовить, заготовить в каком–нибудь количестве
наготовиться|То же, что напастись
награбить|Приобрести грабежом многое
награда|То, что дается, получается в знак особой благодарности, признательности
награда|Благодарность, воздаяние за что–нибудь
награда|Почетный знак, орден, которыми отмечают чьи–нибудь заслуги
наградить|Дать, сделать что–нибудь в знак благодарности, признательности, в награду за что–нибудь
наградить|Дать, присудить награду
награждать|Давать, присуждать награду
награждение|Процесс выдачи награды
награфить|Графя, налиновывать в каком–нибудь количестве
нагрев|Степень, а также поверхность нагревания чего–нибудь
нагреватель|Прибор для нагревания чего–нибудь
нагреметь|Нашуметь, наделать грохоту, шуму чем–нибудь
нагреметь|Сильно нашуметь
нагрести|Сгребая, собрать в каком–нибудь количестве
нагреть|Сделать теплым, горячим
нагреть|Обманом ввести в убыток, в расход, нажечь
нагреться|Стать теплым, горячим
нагрешить|Совершить много грехов, проступков
нагромождать|То же, что громоздить
нагромождение|Беспорядочная груда, скопление чего–нибудь
нагрудник|Небольшой передник или часть передника, закрывающая грудь
нагрудник|Предмет, надеваемый на грудь (для защиты, специальных целей, украшения)
нагрудный|Находящийся, носимый на груди
нагрузка|То, что нагружено, погружено куда–нибудь
нагрузка|То, что приходится на что–нибудь, падает на что–нибудь в процессе каких–нибудь действий, работы
нагрузка|Возлагаемая на кого–нибудь основная или дополнительная работа
нагрузка|Вещь, товар, обязательно продаваемый вместе с другим (обычно ходовым, нужным)
нагрызть|Разгрызть в каком–нибудь количестве
нагрязнить|Сделать грязным
нагрянуть|Неожиданно появиться
нагуля|Степень откормленности животных
