нагрызть|Разгрызть в каком–нибудь количестве
нагрызать|Разгрызать в каком–нибудь количестве
нагрянуть|Неожиданно появиться
нагулять|Приобрести что–нибудь, гуляя, хорошо питаясь
нагулять|У животных: кормясь, увеличить вес
нагул|Степень откормленности животных
нагуливать|Кормясь, увеличивать вес
нагуляться|Вдоволь погулять
над|Указывает на пребывание, нахождение кого–чего–нибудь поверх, выше кого–чего–нибудь в каком–нибудь отношении
над|Указывает направленность действия на что–либо
над|Образует глаголы со значением увеличения чего–нибудь чем–нибудь, неполного действия, распространяющегося на часть чего–нибудь, распространения действия на предмет
над|Образует существительные и прилагательные со значением поверх, сверх чего–нибудь
надавать|Дать много или в несколько приемов
надавать|Побить, отшлёпать
надавить|То же, что нажать
надавить|Выжать в каком–либо количестве чего–либо
надавить|Давя, уничтожить, умертвить в каком–нибудь количестве
надавливать|Нажимать или выжимать в каком–нибудь количестве
надарить|Подарить много или в несколько приемов
надаривать|Дарить много или в несколько приемов
надбавить|То же, что набавить
надбавлять|Набавлять
надбавка|Надбавленная часть, сумма
надбить|Немного нарушить или повредить ударом сверху, с краю
надбивать|Немного нарушать или повреждать ударом сверху, с краю
надбровный|Расположенный над бровями
надбровье|Часть лба над бровями
надвинуть|Подвинуть, закрывая, заслоняя что–нибудь
надвигать|Подвигать, закрывая, заслоняя что–нибудь
надвинуться|Сдвинувшись, закрыть, заслонить собой что–нибудь
надвинуться|Медленно двигаясь, приблизиться
надвигаться|Сдвигаться, закрывать, заслонять собой что–нибудь
надвигаться|Медленно двигаться, приближаться
надводный|Находящийся над поверхностью воды
надводный|О судах, флоте: плавающий по воде, по поверхности воды
надвое|На две части
надворный|Расположенный в пределах усадьбы, двора
надвязать|Увеличить, удлинить, довязывая или привязывая
надвязывать|Увеличивать, удлинять, довязывая или привязывая
надвязка|Привязанная или довязанная часть
надвязочный|Применяемый для привязывания или довязывания
надгробие|Надгробный камень, памятник или другое памятное сооружение на могиле
надгробие|Надпись на могильном памятнике
надгробный|Находящийся над могилой, на могиле
надгробный|Речь об умершем, произносимая при погребении
наддать|Прибавить к данному, имеющемуся
наддавать|Прибавлять к данному, имеющемуся
наддача|Прибавление к имеющемуся (специально)
надежда|Вера в возможность осуществления чего–нибудь радостного, благоприятного
надежда|Тот, на кого надеются, кто должен принести успех, радость, благополучие
надел|Участок земли, выделяемый в пользование крестьянской семье, тому, кто её обрабатывает
наделать|Сделать, произвести что–либо в каком–нибудь количестве
наделать|Сделать, совершить то, что названо существительным (о многом)
наделать|Доставить, причинить то, что названо существительным (о чем–нибудь неприятном)
наделывать|Делать, производить что–либо в каком–нибудь количестве
наделить|Распределяя, предоставить, дать что–нибудь, снабдить
наделять|Распределяя, предоставлять, давать что–нибудь, снабжать
надеться|Рассчитывать на что–нибудь, возлагать надежду на что–нибудь
надеться|Полагаться на кого–что–нибудь, быть уверенным в ком–чем–нибудь
надеться|Выражает уверенность
понадеяться|Рассчитывать на что–нибудь, полагаться на кого–что–нибудь
надевать|Укреплять что–нибудь на чем–нибудь, прикреплять, прилаживать к чему–нибудь
надевать|Покрывать тело или часть тела какой–нибудь одеждой
надеть|Укрепить что–нибудь на чем–нибудь, прикрепить, приладить к чему–нибудь
надеть|Покрыть тело или часть тела какой–нибудь одеждой
наденный|Об одежде: такой, который носили, надевали
надежный|Внушающий доверие, верный
надежный|Прочный, крепкий, хорошо сработанный
надежность|Качество внушающего доверие, прочности, крепости
надёргать|Дергая, добыть, получить в каком–нибудь количестве
надергивать|Дергать и получать в каком–нибудь количестве
надёрнуть|Отрывистым движением надеть, натянуть
надземный|Находящийся на поверхности или над поверхностью земли
надзиратель|Должностное лицо, которое занимается надзором за кем–нибудь, чем–нибудь
надзирательница|Женщина–надзиратель
надзирательский|Относящийся к надзирателю
надзирать|Наблюдать с целью присмотра, проверки
надзор|Наблюдение с целью присмотра, проверки
надзор|Орган, группа лиц для наблюдения за кем–нибудь, чем–нибудь, за соблюдением каких–либо правил
надзорный|Относящийся к надзору
надивиться|Подивиться вдоволь
надклассовый|То же, что внеклассовый
надколенный|Расположенный выше колена
надколоть|Расщепить немного сверху
надкалывать|Расщеплять немного сверху
