наколдовать|Навлечь, напророчить колдовством
наколенник|Наколенная накладка, щиток, а также теплая повязка
наколенный|Надеваемый, накладываемый на колено
наколка|Украшение из кружева, ткани на женской прическе
наколка|То же, что татуировка
наколотить|То же, что набить
наколоть|Наготовить колкой
наколоть|Приколоть, вколоть в каком–нибудь количестве
наколоть|Заколоть в каком–нибудь количестве
наколоть|Нанести ряд уколов на чем–нибудь или изобразить что–нибудь на какой–нибудь поверхности чем–нибудь колющим
наколоть|Прикрепить к чему–нибудь булавкой, а также насадить на что–нибудь острое
наколоть|Повредить уколом
наколоться|Наткнуться на что–нибудь острое
накомарник|Надеваемая на голову и лицо сетка для защиты от комаров
наконец|В конце чего–нибудь длившегося, продолжавшегося, в конечном итоге
наконец|Выражает выбор, что–нибудь возможное и допускаемое в ряду других, прочих
наконец|Выражает недовольство, нетерпение
наконечник|Небольшой, обычно остроконечный или в виде колпачка предмет, приделанный к концу другого предмета или надеваемый на него
накопать|То же, что нарыть
накопитель|Человек, который копит, занимается накопительством
накопитель|Устройство, вместилище для сбора, накапливания, сохранения чего–нибудь
накопительница|Человек, который копит, занимается накопительством
накопительский|Относящийся к человеку, который копит, занимается накопительством
накопительный|Относящийся к устройству, вместилищу для сбора, накапливания, сохранения чего–нибудь
накопительство|Стремление приобретать, запасать, обогащаться
накопление|Накопленная сумма, количество чего–нибудь
накопительный|Относящийся к накопленной сумме, количеству чего–нибудь
накоптить|Наготовить копчением
накоротке|На близком расстоянии от кого–чего–нибудь
накоротке|В короткий промежуток времени, недолго
накоротке|В близких, коротких отношениях
накостный|Находящийся на кости, на костях
накрапывать|О дожде: падать редкими каплями
накрасить|Покрыть краской, красящим составом
накрасить|Выкрасить, раскрасить какое–нибудь количество
накрест|То же, что крест–накрест
накричать|С криком выбранить кого–нибудь, сделать кому–нибудь выговор в резкой форме
накричать|Наговорить, крича
накромсать|Кромсая, нарезать
накрутить|Навить на что–нибудь, намотать
накрутить|Кручением наготовить
накрутить|Наговорить, сделать, изобразить что–нибудь сложное, необычное
накрыть|Закрыть чем–нибудь сверху
накрыть|Поразить огнем, бомбовым ударом
накрыть|Поймать, захватить на месте преступления
накрыть|Приготовить стол, поставив на него все необходимое для еды
накрытие|Действие по значению «накрыть» (поразить огнем, бомбовым ударом)
накрыться|Укрыть себя чем–нибудь сверху с головой
накрыться|Не состояться, не осуществиться
накупить|Купить в большом количестве
накуренный|Наполненный дымом от курения
накурить|Куря или сжигая что–нибудь, наполнить помещение дымом
накурить|Наготовить курением, перегонкой
накуриться|Покурить вдоволь, много
накусать|Сделать укусы во многих местах
нактать|Кутая или кутаясь, надеть несколько предметов одежды, теплые вещи
налево|В левую сторону, на левой стороне
налево|Незаконно используя служебные возможности в личных интересах
