наляпать|См. ляпать
намагнитить|Сообщить какому–нибудь телу свойства магнита
намагничивать|Сообщать какому–нибудь телу свойства магнита
намагничивание|Процесс сообщения какому–нибудь телу свойств магнита
намаз|У мусульман: ежедневная пятикратная в определенное время молитва из стихов Корана
наматывать|То же, что мазать в первом значении
намалевать|См. малевать
намалывать|См. намолоть
намарать|См. марать
намариновать|Маринованием заготовить в каком–нибудь количестве
намариновывать|Мариновать, заготовляя в каком–нибудь количестве
намаслить|См. маслить
наматывать|См. намотать
намочить|См. намочить
намочивать|См. намочить
намаяться|Очень устать; намучиться
намедни|Совсем недавно, на днях
намежевать|Межуя, установить границы земельных участков
намежевывать|Устанавливать путем межи границы земельных участков
намекать|Говорить, действовать намеками, а также, говоря намеками, иметь в виду кого–что–нибудь
намекнуть|Говорить, действовать намеками, а также, говоря намеками, иметь в виду кого–что–нибудь
наменять|Разменяв деньги или обменяв, приобрести какое–нибудь количество чего–нибудь
наменивать|Разменивая деньги или обменивая, приобретать какое–нибудь количество чего–нибудь
намереваться|Предполагать, иметь намерение, собираться
намерен|Намеревается, предполагает, собирается сделать что–нибудь
намерение|Предположение сделать что–нибудь, желание, замысел
намеренный|Сделанный с намерением, сознательно
намеренность|Качество сделанного с намерением, сознательно
наметить|Отмерить в каком–нибудь количестве
наметить|Измеряя, определить количество чего–нибудь
намеривать|Отмерять или измерять количество чего–нибудь
намертво|Наглухо, так крепко, что нельзя разъединить
намесить|Меся, наготовить
намешивать|Месить, наготовливать путем смешивания
намести|Подметая, сметая, собрать в каком–нибудь количестве
наместник|Глава наместничества
наместничество|В дореволюционной России: административное объединение из двух или трех губерний в XVIII веке, а также в XIX–XX веках система управления национальными окраинами
наметать|Набросать, кидая, сложить в каком–нибудь количестве
наметать|Путем упражнений сделать искусным в каком–нибудь отношении, приобрести навык
наметывать|Набрасывать, складывать в каком–нибудь количестве
наметить|Изобразить легкой линией, штрихами, набросать
намечать|Изображать легкой линией, штрихами, набрасывать
наметка|Легкое изображение, набросок, предварительный чертеж
наметить|Предположительно остановиться в выборе кого–чего–нибудь, определить что–нибудь
намечать|Предположительно останавливаться в выборе кого–чего–нибудь, определять что–нибудь
наметиться|Установиться, выработаться, определиться в предварительной форме
намечаться|Устанавливаться, вырабатываться, определяться в предварительной форме
намешать|Прибавить, вмешивая
намешивать|Прибавлять, вмешивая
намек|Слова, а также жест, поступок, предполагающие понимание по догадке
намек|Слабое проявление, подобие чего–нибудь
намерзнуть|О льде, снежном насте: появиться на поверхности чего–нибудь
намерзнуть|Сильно озябнуть, намерзнуться
намерзать|О льде, снежном насте: появляться на поверхности чего–нибудь
намерзнуться|То же, что иззябнуть
намет|Рыболовная снасть в виде кошеля, накидной сетки, прикрепленной к длинной жерди, а также накидная сеть для ловли птиц
намет|У казаков: лошадиный галоп
наметка|См. метать
наметка|Нитка, которой метают
наметка|См. наметить
наметка|Предварительный вид чего–нибудь (плана, решения)
наметочный|См. метать
наминать|См. намять
наминка|Натертое, намятое, воспалившееся от трения место
намин|Натертое, намятое, воспалившееся от трения место
намного|Значительно, во много раз, очень
намогильный|Поставленный, помещенный на могиле
намозолить|См. мозолить
намокнуть|Пропитаться водой, влагой
намокать|Пропитываться водой, влагой
