наповал|Насмерть, сразу  
наподдавать|Ударить, дать тумака  
наподдать|Ударить, дать тумака  
наподобие|Вроде кого–чего–нибудь, подобно кому–чему–нибудь  
напоить|Пропитать, наполнить чем–нибудь  
напоказ|Чтобы показать, для обозрения  
напоказ|С целью обратить внимание на что–нибудь внешнее, показное, для виду  
наползти|Ползя, наткнуться на что–нибудь, надвинуться  
наползти|Заползти, приползти в каком–нибудь количестве  
наполировать|Полируя, наготовить  
наполнитель|Вещество, материал, которым наполняют, дополняют, уплотняют что–нибудь  
наполнить|Сделать полным, занятым, насыщенным кем–чем–нибудь  
наполниться|Стать полным, занятым, насыщенным кем–чем–нибудь  
наполовину|Одной половиной, одной частью  
наполовину|Не до конца, не совсем  
напольный|Устанавливаемый, помещаемый на полу  
напольный|Находящийся, помещаемый на поле, в поле  
напомадить|Покрыть помадой  
напоминание|Обращение, напоминающее о чем–нибудь  
напоминать|Иметь сходство с кем–чем–нибудь  
напомнить|Вызвать воспоминания, заставить кого–нибудь вспомнить  
напомнить|Показаться похожим на кого–что–нибудь  
напополам|На две равные части, пополам  
напор|Давление, нажим  
напористый|Настойчивый, решительно добивающийся своей цели  
напорать|Повредить себе что–нибудь, наткнувшись на острие  
напорать|Распороть в каком–нибудь количестве  
напорать|Наделать ошибок, испортить что–нибудь по неумению или небрежности  
напороться|Поранить себя, наткнувшись на что–нибудь острое  
напороться|Неожиданно встретить кого–что–нибудь, наткнуться на нежелательное, неприятное  
напортить|Испортить в каком–нибудь количестве  
напортить|Навредить  
напоследок|В завершение чего–нибудь, под конец  
направить|Устремить к чему–нибудь  
направить|Послать, отправить, дать назначение  
направить|Отточить, выпрямить лезвие  
направить|Наладить  
направить|Наладить (разг.)  
направиться|Пойти куда–нибудь, двинуться по направлению к кому–чему–нибудь  
направиться|Наладиться  
направление|Линия движения, путь развития  
направление|Участок фронта, от которого в какую–нибудь сторону направлены боевые действия, выполнение военной операции  
направление|Общественная группировка или общественное движение, течение  
направление|Документ о назначении куда–нибудь, о командировании  
направленность|Целеустремленная сосредоточенность на чем–нибудь мыслей, интересов  
направляющий|Тот, кто идет впереди, направляет движение кого–чего–нибудь  
направо|В правую сторону, на правой стороне  
направщик|Работник, занятый направкой чего–нибудь  
направщица|Работник, занятый направкой чего–нибудь  
напрактиковаться|Достичь умения в чем–нибудь путем практики  
напраслина|Ложное обвинение  
напрасный|Бесполезный, безуспешный  
напрасный|Неосновательный, ненужный  
напрашиваться|Возникать, приходить на ум  
например|Для примера, для пояснения  
напрокат|Во временное пользование за плату  
напролёт|Без перерыва, целиком  
напролом|Не считаясь с препятствиями, преодолевая силой  
напропалую|Отчаянно, не думая о последствиях  
напроситься|Просьбами или намеками добиться приглашения к участию в чем–нибудь  
напроситься|Своим поведением вызвать, заставить высказать какое–нибудь мнение о себе  
напротив|Непосредственно перед кем–чем–нибудь, на противоположной стороне  
напротив|Иначе, наперекор  
напротив|То же, что наоборот  
напротив|Прямо перед кем–чем–нибудь, против  
напрочно|Прочно, крепко
