нарывать|Воспаляться с образованием гноя
нарывной|Относящийся к нарыву
нарваться|Встретить кого–нибудь, натолкнуться на что–нибудь неприятное
нарез|Углубление на чем–нибудь в виде узкой канавки, полоски, сделанное режущим инструментом
нарезать|Разделить ножом на части
нарезать|Сделать нарезы, нарезку
нарезать|Размежевывая, определить границы, участки
нарезать|Наготовить, срезая, разрезая или убивая кого–нибудь или что–нибудь режущим инструментом
нарезка|Разделение на части ножом
нарезка|Спиральные нарезы на винтах, гайках, деталях
нарезной|Имеющий на себе нарезы, нарезку
нарекание|Упрек, обвинение
наречие|Совокупность территориальных диалектов какого–нибудь языка
наречие|Часть речи, обозначающая признак действия, другого признака, реже – предмета
наречный|Относящийся к наречию
наречь|Назвать кого–нибудь каким–нибудь именем, дать имя
наречь|Объявить кого–нибудь кем–нибудь
нареченный|Тот, кого объявили кем–нибудь; жених или невеста
наречься|Получить имя, назваться
нарзан|Лечебная минеральная вода
нарзанный|Относящийся к нарзану
нарисовать|Создать изображение с помощью рисования
нарицательный|Имя существительное, называющее предмет, понятие, входящее в ряд однородных; противоположное имени собственному
нарицательный|Стоимость, которая обозначена на ценных бумагах, монетах
нарко|Первая часть сложных слов со значением: относящийся к наркозу
нарко|Первая часть сложных слов со значением: относящийся к наркотическим веществам, связанным с ними или получаемый от них
наркобизнес|Бизнес, приносящий доход от незаконной торговли наркотиками
наркоз|Метод воздействия наркотическими средствами на больного, вызывающий полную или частичную утрату сознания, болевой чувствительности
наркозный|Относящийся к наркозу
нарколог|Врач, специалист по наркологии
наркология|Раздел медицины, занимающийся алкоголизмом, наркоманией и токсикоманией и их лечением
наркологический|Относящийся к наркологии
нарком|Сокращение: народный комиссар – глава наркомата
наркомовский|Относящийся к народному комиссару
наркоман|Человек, страдающий наркоманией
наркоманка|Женщина, страдающая наркоманией
наркоманский|Относящийся к наркоману
наркомания|Болезнь, характеризующаяся непреодолимым влечением к наркотикам, приводящая к тяжелым нарушениям функций организма
наркомат|Сокращение: народный комиссариат
наркоматовский|Относящийся к наркомату
наркомафия|Мафия, занимающаяся торговлей наркотиками, их производством и распространением
наркотики|Сильнодействующие вещества, преимущественно растительного происхождения, вызывающие возбужденное состояние и парализующие центральную нервную систему
наркотический|Относящийся к наркотикам
наркотическая|Относящийся к наркотикам, способный вызвать наркоманию
народ|Население государства, жители страны
народ|Нация, национальность или народность
народ|Основная трудовая масса населения страны
народ|Люди, группа людей
народец|Малочисленный народ
народный|Свойственный, соответствующий духу народа, его культуре, мировоззрению
народный|Принадлежащий всему народу; государственный
народный|В названиях некоторых организаций, должностей: избранный народом, осуществляемый представителями народа
народный|В почетных званиях: имеющий большие заслуги перед всем народом
народность|Общность людей, исторически сложившаяся в процессе разложения племенных отношений на базе единства языка и территории и развивающейся общности экономической жизни и культуры
народность|Национальная, народная самобытность; выражение в искусстве народных интересов и психического склада
народовластие|Власть народа, демократия
народоволец|Член тайной народнической организации "Народная воля"
народовольческий|Относящийся к организации "Народная воля"
народонаселение|Население страны, какой–нибудь территории
народник|Последователь народничества
народница|Последовательница народничества
народничество|В России во второй половине 19 века: общественно–политическое движение, объединявшее лиц, боровшихся за идеи крестьянской демократии и перехода России к социализму через крестьянскую общину
народнический|Относящийся к народничеству
народно–демократический|Относящийся к народной демократии
народно–освободительный|Направленный на освобождение своего народа от внешних и внутренних врагов
народно–хозяйственный|Относящийся к народному хозяйству
народиться|То же, что родиться
народиться|Родиться и развиться, вырасти
народиться|Появиться, возникнуть
народить|Родить в каком–нибудь количестве
нарождаться|Рождаться, появляться, возникать
нарождение|Процесс возникновения, появления
нарос|То, что наросло, наслоилось на чем–нибудь
нарос|Разросшийся участок на поверхности чего–нибудь
наростный|Относящийся к наросту
нарочитый|Намеренный, умышленный
нарочитость|Качество нарочитого
нарочно|С определенной целью, с намерением
нарочно|В шутку, не всерьез
нарочный|Человек, посланный со спешным поручением, гонец, курьер
нарты|Длинные узкие сани, употребляемые на Севере для езды на собаках, оленях
нарта|Длинные узкие сани, употребляемые на Севере для езды на собаках, оленях
нартенный|Относящийся к нарте
нартовый|Относящийся к нарте
нарубить|Рубя, наготовить
нарубать|Рубить, наготовлять
наружность|Внешний облик, вид
наружность|То, что находится снаружи
наружный|Внешний, обращенный наружу
наружный|Только внешний, показной, с виду
наружу|На внешнюю сторону, по направлению за пределы чего–нибудь
наружу|Открыто, явно для всех
нарукавник|Род чехла, надеваемого на рукав от кисти до локтя для предохранения от загрязнения, износа
нарукавный|Находящийся на рукаве
нарумянить|Придать румянец
нарумяниться|Приобрести румянец
наручники|Металлические кольца, соединенные цепочкой, надеваемые на руки преступникам, заключенным
