наступательный|Стремящийся к наступлению, активный  
наступать|Ведя активные военные действия, двигаться вперед, на противника  
наступить|Придавить ногой кого–либо или что–либо  
наступить|О времени, состоянии: начаться, настать  
наступление|Основной вид военных действий в целях разгрома противника, уничтожения его живой силы, захвата военной техники и овладения важными районами местности  
настурция|Однолетнее садовое травянистое растение с яркими красножелтыми цветками  
настурциевый|Относящийся к настурции  
настырничать|Проявлять излишнее упорство, настырность  
настырный|Упорный, слишком настойчивый  
настырность|Излишняя упорство, чрезмерная настойчивость  
настыть|Стать холодным  
настыть|Намерзнуть на чем–нибудь  
настывать|Остывать, становиться холодным  
насулить|То же, что наобещать  
насупить|То же, что нахмурить  
насупливать|Делать хмурым  
насупиться|То же, что нахмуриться  
насупливаться|Делаться хмурым  
насухо|До полной сухости  
насучить|Наготовить сучением  
насучивать|Готовить сучением  
насушить|Наготовить сушкой  
насушивать|Готовить сушкой  
насущный|Имеющий важное жизненное значение, совершенно необходимый  
насущность|Важное жизненное значение, необходимость  
насчёт|Относительно, по поводу кого–либо или чего–либо, касаясь кого–либо или чего–либо  
насчитать|Считая, установить число чего–либо  
насчитывать|Содержать в себе какое–либо число кого–либо или чего–либо  
насчитываться|Быть, иметься в каком–либо количестве  
насыпать|Ссыпая или высыпая, поместить куда–либо или заполнить что–либо  
насыпать|Посыпая, набросать на поверхность чего–либо  
насыпать|Сделать, возвести из сыпучего материала  
насыпка|То, что получено насыпанием  
насыпной|Такой, который насыпан куда–либо или перевозится насыпью  
насыпь|Искусственное возвышение из земли, сыпучих отходов производства  
насыпью|В насыпанном виде, без тары  
насыпаться|Сыплясь, осыпаясь, попасть, поместиться куда–либо  
насытить|Накормить досыта  
насытить|Сделать насыщенным  
насытить|Наполнить в большом количестве, до предела  
насытить|Наполнить, снабдить в изобилии  
насыщать|Делать насыщенным  
насыщение|Процесс насыщения  
насытиться|Наесться досыта  
насытиться|Растворить в себе большое количество какого–либо вещества  
насыщаться|Процесс насыщения в себе  
насыщенный|Содержащий в себе предельное количество растворенного вещества  
насыщенный|Богатый содержанием  
насыщенность|Степень насыщения  
наталкивать|Побуждать натолкнуться  
наталкиваться|Встречаться с чем–либо  
натапливать|Отопить дом или помещение  
натаптывать|Создавать следы ходьбы, утаптывая  
натаскать|Принести, натащить в несколько приемов  
натаскать|Набрать, извлечь из чего–либо  
натаскать|Обучить (собаку) охоте на зверя, птицу  
натаскать|Поверхностно научить самому необходимому  
натаскивать|Носить, приносить в несколько приемов  
натаскивание|Процесс натаскивания или обучение  
натаска|Обучение собаки охоте на зверя, птицу  
натачивать|То же, что точить  
натащить|Притащить в каком–либо количестве  
натащить|Натянуть, укрываясь или надевая что–либо  
натаивать|Дав растаять, набрать количество  
натаявать|Растворяться, набираться растаяв  
натворить|То же, что наделать  
натворить|Растворить, размещать в жидкости, приготовив в каком–либо количестве  
нательный|Надеваемый прямо на тело  
натеребить|Теребя, наготовить  
натереть|Втирая, намазать жидкостью или мазью  
натереть|Навести лоск трением, втиранием  
натереть|Раздражить, повредить или причинить боль трением  
натереть|Измельчить теркой  
натирать|Втирать, натирать что–либо  
натереться|Втирая, намазаться жидкостью или мазью  
натираться|Натирать себя чем–либо  
натирание|Процесс натирания  
натирка|Процесс наведения лоска трением  
натерпеться|Испытать много чего–либо неприятного, горя  
натесать|Сделать, наготовить тесанием  
натесывать|Готовить тесанием  
натечь|Скопиться, стекая или просачиваясь куда–либо  
натекать|Складываться, стекаться куда–либо  
натешиться|Вдоволь потешиться
