невостребованный|Не полученный адресатом
невпопад|Не так, как было бы нужно, не к месту
невпроворот|Очень много
невразумительный|Непонятный, лишенный ясности, неубедительный
невразумительность|Непонятный, лишенный ясности, неубедительный
невралгия|Приступы острых местных болей по ходу какого–нибудь нерва
невралгический|Приступы острых местных болей по ходу какого–нибудь нерва
неврастеник|Человек, страдающий неврастенией
неврастеничка|Человек, страдающий неврастенией
неврастеничный|Страдающий неврастенией, болезненно раздражительный
неврастеничность|Страдающий неврастенией, болезненно раздражительный
неврастения|Невроз, при котором повышенная возбудимость сочетается с быстрой утомляемостью, раздражительностью, нарушением сна
неврастенический|Невроз, при котором повышенная возбудимость сочетается с быстрой утомляемостью, раздражительностью, нарушением сна
невредимый|Оставшийся неповрежденным
невредимость|Оставшийся неповрежденным
невро|Первая часть сложных слов со значением относящийся к нервной системе или к неврологии, невропатологии
невроз|Заболевание, вызванное расстройством деятельности центральной нервной системы
невротический|Заболевание, вызванное расстройством деятельности центральной нервной системы
невролог|Специалист по неврологии
неврология|Совокупность разделов медико-биологических наук, изучающих нервную систему и ее заболевания
неврологический|Совокупность разделов медико-биологических наук, изучающих нервную систему и ее заболевания
невропатолог|Врач, специалист по невропатологии
невропатология|Раздел медицины, занимающийся болезнями нервной системы и их лечением
невропатологический|Раздел медицины, занимающийся болезнями нервной системы и их лечением
невтерпеж|Не хватает терпения, нет сил терпеть, ждать
невыгодный|Не приносящий выгоды
невыгодный|Неблагоприятный, оставляющий плохое впечатление
невыгодность|Не приносящий выгоды
невыезд|Безотлучное проживание в одном месте
невылазный|Непроходимый, такой, из которого трудно вылезти
невылазный|Безвылазный, безвыходный
невылазность|Непроходимый, такой, из которого трудно вылезти; безвылазный, безвыходный
невыносимый|Превышающий терпение, с трудом переносимый
невыносимость|Превышающий терпение, с трудом переносимый
невыполнение|Срыв в выполнении работы
невыразимый|Такой, который трудно передать словами, непередаваемый
невыразимость|Такой, который трудно передать словами, непередаваемый
невыход|То же, что неявка
невязка|То же, что неувязка
нега|Полное довольство
нега|Блаженство, а также страстное томление, ласка
негабарит|Продукт, изделие, по своим размерам не отвечающие норме, стандарту
негабаритный|Продукт, изделие, по своим размерам не отвечающие норме, стандарту
негаданный|То же, что неожиданный
негаданность|То же, что неожиданный
негасимый|То же, что неугасимый
негасимость|То же, что неугасимый
негатив|Изображение на светочувствительной пластинке, пленке, в котором светлые места получаются темными, а темные – светлыми, или цвета не совпадают с натуральными; пластинка, пленка с таким изображением
негативный|То же, что отрицательный
негативность|То же, что отрицательный
негативизм|Негативное, отрицательное отношение к действительности
негативистский|Негативное, отрицательное отношение к действительности
негация|То же, что отрицание
негашёный|Известь в безводном состоянии
негде|Нет места, где можно было бы осуществить что–нибудь
негласный|Не известный другим, не явный, тайный
негласность|Не известный другим, не явный, тайный
неглиже|Домашняя, непритязательная, несколько небрежная одежда
неглиже|О пребывании в домашней, непритязательной, несколько небрежной одежде
неглупый|Достаточно умный
негодник|Тот, кто плохо, недостойно ведет себя
негодница|Тот, кто плохо, недостойно ведет себя
негодный|Плохой, не соответствующий, не подходящий по качеству
негодный|Низкий, недостойный
негодность|Плохой, не соответствующий, не подходящий по качеству
негодование|Возмущение, крайнее недовольство
негодовать|Испытывать, проявлять негодование
негодующий|Полный негодования, выражающий негодование
негодяй|Подлый, низкий человек
негодяйка|Подлый, низкий человек
негодяйский|Подлый, низкий человек
негожий|То же, что негодный
негоже|Нельзя, не годится, не полагается
негоциант|Оптовый купец, коммерсант
негоциантка|Оптовый купец, коммерсант
негоциантский|Оптовый купец, коммерсант
негр|Человек, тяжело и бесправно работающий на другого, других
неграмотный|Не умеющий читать и писать, безграмотный
неграмотный|Не обладающий нужными знаниями, сведениями в какой–нибудь области, безграмотный
неграмотный|Выполненный с ошибками, без знания дела
неграмотность|Не умеющий читать и писать, безграмотный; не обладающий нужными знаниями; выполненный с ошибками, без знания дела
негроидный|Раса людей с темной кожей, курчавыми волосами, широким носом и некоторыми другими признаками; основная раса коренного населения тропической Африки
негроидный|Относящийся к негроидной расе, имеющий признаки такой расы
негры|Люди, принадлежащие к негроидной расе
негритянка|Люди, принадлежащие к негроидной расе
негритянский|Люди, принадлежащие к негроидной расе
