негоциант|Оптовый купец, коммерсант
негр|Человек, тяжело и бесправно работающий на другого, других
неграмотный|Не умеющий читать и писать, безграмотный
неграмотный|Не обладающий нужными знаниями, сведениями в какой–нибудь области, безграмотный
неграмотный|Выполненный с ошибками, без знания дела
негроидный|Раса людей с темной кожей, курчавыми волосами, широким носом и некоторыми другими признаками; основная раса коренного населения тропической Африки
негроидный|Относящийся к такой расе, имеющий признаки такой расы
негры|Люди, принадлежащие к негроидной расе
негусто|То же, что небогато
недавний|Случившийся в недалеком прошлом, относящийся к недалекому прошлому
недавно|В недалеком прошлом; с недавнего времени
недалёкий|Близкий по расстоянию, имеющий небольшое протяжение
недалёкий|Близкий по времени
недалёкий|Умственно ограниченный, глуповатый
недалёкий|Близко по расстоянию
недалёкий|На близком, недалеком расстоянии от кого–нибудь
недаром|Не без причины, не без цели
недвижимость|Недвижимое имущество
недвижимый|Не двигающийся, неподвижный
недвижимый|Об имуществе: состоящий из земельного участка, строения
неделимый|Не поддающийся или не подлежащий делению, целостный
неделимый|Не делящийся без остатка
неделя|Единица исчисления времени, равная семи дням, вообще срок в семь дней
неделя|Семь дней, связанных с какими–нибудь церковными праздниками или приходящихся на какое–нибудь праздничное время, либо на время поста
неделя|Семь дней, посвященных какому–нибудь общественному мероприятию, пропаганде чего–нибудь
недержание|Болезненное состояние, проявляющееся в непроизвольном испускании мочи
недо...|Образует глаголы, существительные и прилагательные со значением неполноты, недостаточности по сравнению с какой–нибудь нормой
недобиток|Тот, кто уцелел после разгрома, поражения кого–нибудь
недобор|Неполный сбор, набор кого–нибудь; количество, которого не хватает до полного сбора
недоброжелатель|Человек, настроенный по отношению к кому–нибудь неприязненно, недружелюбно
недоброкачественный|Плохого качества, с изъянами
недобросовестный|Нечестно и небрежно делающий что–нибудь или плохо, небрежно сделанный
недобрый|Неприязненно настроенный по отношению к другим людям, недружелюбный
недобрый|Неприятный, плохой
недоверие|Сомнение в правдивости, подозрительность, отсутствие доверия
недовес|Отсутствие должного веса при взвешивании; количество чего–нибудь, не достающее до полного веса
недовесок|Предмет, не имеющий должного веса
недовольный|Испытывающий или выражающий неудовлетворение, недовольство
недовольство|Отсутствие удовлетворенности, отрицательное отношение к кому–чему–нибудь
недогляд|То же, что недосмотр
недоглядеть|Проявить недостаточное внимание, оплошность при наблюдении, проверке
недоговорённость|Неполное высказывание, замалчивание чего–нибудь
недоговорённость|Отсутствие договоренности, согласованности
недогруз|То же, что недогрузка
недогрузка|Недогруженное количество товаров, грузов
недодача|Неполная выдача чего–нибудь; количество чего–нибудь, недостающее до полной выдачи
недоделка|То, что еще нужно доделать, довести до конца
недоедать|Есть недостаточно, плохо питаться
недоимка|Не уплаченный в срок налог, сбор
недолга|Вот и все, и больше никаких разговоров
недолёт|Падение снаряда, пули ближе цели
недолив|Отсутствие должного количества при наливании чего–нибудь; количество того, что недолито
недолюбливать|Чувствовать нерасположение, неприязнь к кому–нибудь
недомерок|Вещь, не имеющая должного размера
недомогание|Болезненное состояние, ощущение нездоровья
недомогать|Чувствовать недомогание
недомолвка|Умолчание о чем–нибудь существенном
недомыслие|Недодуманность, недостаточная обдуманность чего–нибудь, неосмысленность
недонесение|Несообщение официальным органам о готовящемся или совершенном преступлении
недоносок|Недоношенный ребенок, детеныш
недоношенный|Родившийся до истечения нормального срока беременности
недооценить|Оценивая, квалифицируя, не обратить должного внимания на значимость, положительные качества кого–чего–нибудь
недопёсок|Молодой песец
