нездоровье|Болезненное состояние, недомогание  
неземной|Сверхъестественный, чрезвычайный, исключительный  
незлобивый|Кроткий, добродушный  
незлобивость|Свойство быть кротким, добродушным  
незнайка|Человек, который мало знает или ничего не знает  
незнакомец|Незнакомый, неизвестный человек  
незнакомка|Незнакомая, неизвестная женщина  
незнамо|То же, что неизвестно кто, что, где, куда, когда, зачем, почему и так далее  
незнамо|То же, что невесть сколько  
незнание|Неосведомленность в чем–нибудь  
незначащий|Не имеющий значения, малосодержательный  
незначительный|Небольшой по количеству, размерам  
незначительный|Не имеющий существенного, важного значения; ничем не замечательный, незаметный  
незначительность|Свойство быть незначительным  
незримый|Недоступный зрению, скрытый, тайный  
незримость|Свойство быть недоступным зрению, скрытым, тайным  
незрячий|То же, что слепой  
незыблемый|Устойчивый, непоколебимый  
незыблемость|Свойство быть устойчивым, непоколебимым  
неизбежный|Такой, что невозможно избежать, предотвратить  
неизбежность|Свойство быть неизбежным  
неизбывный|О чем–нибудь тяжелом, горестном: не проходящий, не прекращающийся  
неизбывность|Свойство быть не проходящим, не прекращающимся  
неизведанный|Совсем неизвестный, не испытанный, не изученный  
неизведанность|Свойство быть совсем неизвестным, не испытанным, не изученным  
неизвестность|Отсутствие сведений  
неизвестность|Скромное, незаметное существование  
неизвестный|Такой, о котором не знают, нет сведений, который не определен, не изучен  
неизвестный|Не пользующийся известностью, малоизвестный  
неизвестный|Незнакомый, личность которого не установлена  
неизгладимый|Такой, который не может изгладиться из памяти, незабываемый  
неизгладимость|Свойство не изглаживаться из памяти  
неизлечимый|Не поддающийся излечению  
неизлечимость|Свойство не поддаваться излечению  
неизменный|Не подвергающийся изменениям, постоянный, обычный для кого–нибудь  
неизменный|Преданный, верный  
неизменность|Свойство быть неизменным  
неизмеримый|Очень большой, огромный  
неизмеримый|Во много раз, гораздо  
неизмеримость|Свойство быть очень большим, огромным  
неизреченный|Не передаваемый словами, чрезвычайный  
неизреченность|Свойство не передаваться словами  
неизъяснимый|Трудно постигаемый, непередаваемый  
неизъяснимость|Свойство быть трудно постигаемым, непередаваемым  
неимение|Вследствие отсутствия кого–либо или чего–либо  
неимоверный|Чрезмерно большой, чрезвычайный  
неимоверность|Свойство быть чрезмерно большим, чрезвычайным  
неимущий|Не имеющий средств к существованию, нуждающийся  
неискоренимый|Закоренелый и неисправимый  
неискоренимость|Свойство быть закоренелым и неисправимым  
неисповедимый|Непостижимый, непонятный  
неисповедимость|Свойство быть непостижимым, непонятным  
неисполнимый|Такой, который невозможно исполнить, который не может осуществиться  
неисполнимость|Свойство быть неисполнимым  
неисправимый|Такой, что невозможно исправить, не может исправиться  
неисправимость|Свойство быть неисправимым  
неисправный|Имеющий повреждения  
неисправный|Небрежный, неаккуратный, неисполнительный  
неисправность|Состояние неисправности  
неиссякаемый|Обильный, не прекращающийся  
неиссякаемость|Свойство быть обильным, не прекращающимся  
неистовство|Безудержное буйство  
неистовство|Неистовый поступок, жестокость  
неистовствовать|Проявлять неистовство, буйство  
неистовствовать|То же, что свирепствовать  
неистовый|Необычайно сильный в проявлении чего–нибудь, буйный, безудержный  
неистовость|Свойство быть необычайно сильным, буйным, безудержным  
неистощимый|То же, что неиссякаемый  
неистощимость|Свойство быть неиссякаемым  
неистребимый|Не поддающийся истреблению, уничтожению  
неистребимость|Свойство не поддаваться истреблению, уничтожению  
неисчерпаемый|Обильный, не знающий предела  
неисчерпаемость|Свойство быть обильным, не знающим предела  
неисчислимый|Не поддающийся подсчету, огромный  
неисчислимость|Свойство не поддаваться подсчету  
нейлон|Похожее на шелк синтетическое волокно, а также прочный материал из этого волокна  
нейлоновый|Сделанный из нейлона  
неймет|О невозможности получить то, что кажется доступным  
неймётся|О беспокойном поведении, о нетерпеливом желании делать что–нибудь  
нейро|Первая часть сложных слов со значением относящийся к нервной системе, к нервам  
нейро|Первая часть сложных слов со значением относящийся к нервным клеткам  
нейрон|Клетка, способная вырабатывать нервные импульсы и передавать их другим клеткам  
нейрохирург|Врач, специалист по нейрохирургии  
нейрохирургия|Раздел медицины, занимающийся заболеваниями нервной системы и их хирургическим лечением  
нейрохирургический|Связанный с нейрохирургией  
нейти|Пишется вместо не идти, чтобы обозначить соответствующее произношение  
нейти|О невозможности или неспособности думать  
нейтрализовать|Сделать нейтральным  
нейтрализация|Процесс делания нейтральным  
нейтралитет|Неучастие в войне, в военных союзах; неучастие в борьбе между соперничающими государствами или группами государств  
нейтральный|Не примыкающий ни к одной из борющихся сторон, стоящий в стороне  
нейтральный|Одинаково относящийся ко всем, никого не затрагивающий  
нейтральный|Не дающий ни щелочной, ни кислотной реакции  
нейтральный|Не оказывающий ни вредного, ни полезного действия  
нейтральный|Такой, где по соглашению не должны вестись военные действия, располагаться военные силы  
нейтральная частица|Частица, не имеющая электрического заряда  
нейтральность|Свойство быть нейтральным
