непорядок|Беспорядок, неустройство
непоседа|Непоседливый человек, обычно о ребенке
непоседливый|Очень подвижный, суетливый, беспокойный
непоседливость|Свойство быть очень подвижным, суетливым, беспокойным
непоследовательность|Непоследовательный поступок, мнение
непоследовательный|Лишенный последовательности, нелогичный
непослушание|Нежелание, отказ слушаться кого–нибудь, повиноваться кому–нибудь
непосредственный|Прямо следующий после кого–чего–нибудь, без посредствующих звеньев, участников
непосредственный|Откровенный и непринужденный
непосредственность|Откровенность и непринужденность
непостижимый|Недоступный пониманию, непонятный
непостижимость|Свойство быть недоступным пониманию, непонятным
непостоянный|Изменчивый, колеблющийся, неустойчивый
непостоянство|Изменчивость, колеблемость, неустойчивость
непотребный|Неприличный, непристойный
непотребность|Свойство быть неприличным, непристойным
непотребство|Разврат, гнусное поведение
непочатый|Полный, еще не начатый, не тронутый
непочтение|Непочтительное, неуважительное отношение
неправда|То же, что ложь
неправда|Несправедливость, зло, неправое дело
неправда|Неверно, не соответствует действительности
непревзойденный|Самый совершенный, такой, что невозможно превзойти
непревзойденный|Достигший крайней степени чего–нибудь отрицательного
непревзойденность|Свойство быть самым совершенным, таким, что невозможно превзойти
непредвиденный|Такой, что невозможно предусмотреть, неожиданный
непредвиденность|Свойство быть невозможным для предвидения, неожиданность
непредсказуемый|Такой, что невозможно предсказать, или такой, поступки которого невозможно предугадать, предвидеть
непредсказуемость|Свойство быть невозможным для предсказания
непреклонный|Стойкий, твердый
непреклонность|Стойкость, твердость
непреложный|Не подлежащий изменению, нерушимый
непреложный|Не подлежащий сомнению, неоспоримый
непреложность|Свойство быть непреложным
непременный|Обязательный, совершенно необходимый
непременность|Обязательность, необходимость
непреоборимый|Такой, что невозможно побороть
непреоборимость|Свойство быть невозможным для преодоления
непреодолимый|Такой, что невозможно преодолеть, неустранимый
непреодолимость|Свойство быть невозможным для преодоления
непререкаемый|Не допускающий никаких возражений, сомнений
непререкаемость|Свойство быть безусловно авторитетным, не допускающим возражений
непрерывный|Не имеющий перерывов, промежутков
непрерывность|Отсутствие перерывов, промежутков
непрестанный|Не прекращающийся, беспрерывный
непрестанность|Постоянность, непрерывность без прекращения
непреходящий|Не исчезающий, вечный
непривычка|Отсутствие привычки, навыка к чему–нибудь
неприглядный|Невзрачный, непривлекательный
неприглядный|Некрасивый, предосудительный (переносное значение)
неприглядность|Отсутствие привлекательности, невзрачность
непригодный|Негодный для использования
непригодность|Негодность для использования
неприкасаемый|Такой, которого нельзя касаться, не касаются; касты в Индии, занимающие низшее положение в сословно–кастовой иерархии
неприкасаемость|Свойство быть таким, которого нельзя касаться
неприкаянный|Не находящий себе места, беспокойный; не имеющий постоянного места, положения в жизни, неустроенный
неприкаянность|Отсутствие постоянного места, неустроенность
неприкосновенный|Сохраняемый в целости, защищенный от всякого посягательства
неприкосновенный|Не подлежащий расходованию
неприкосновенность|Сохраняемость в целости, защита от посягательств; право гражданина на государственную охрану и защиту от противоправных посягательств на его личность
неприкрашенный|Без всяких прикрас, естественный, подлинный
неприкрашенность|Естественность, подлинность, отсутствие прикрас
неприкрытый|Откровенный, ничем не скрываемый
неприкрытость|Откровенность, явность, ничем не скрываемость
неприличие|Неприличный поступок, выражение
неприличный|Противоречащий правилам приличия
неприличие|Противоречие правилам приличия, неприличный поступок или выражение
неприличность|Свойство быть противоречащим правилам приличия
неприметный|Такой, что трудно разглядеть; незаметный, незначительный
неприметность|Трудность различения, незаметность
непримиримый|Не допускающий никакого примирения, соглашательства
непримиримый|Такой, который нельзя согласовать, примирить
непримиримость|Недопущение примирения, несогласуемость
непринужденный|Лишенный всякой натянутости, очень свободный
непринужденность|Свобода, отсутствие натянутости, непринужденность
неприсоединение|Политика отказа от присоединения к военным блокам в молодых независимых государствах после второй мировой войны
неприсоединившийся|Страны, государства, придерживающиеся политики неприсоединения
непристойность|Непристойное слово, поступок
непристойный|Неприличный, бесстыдный
непристойность|Свойство быть неприличным, бесстыдным
неприступный|Такой, к которому невозможно приблизиться, приступить, которым нельзя овладеть
неприступный|Строгий, надменный, избегающий близости с другими людьми
неприступность|Недоступность, недружелюбие, строгий характер
неприсутственный|День недели, в который присутствие сотрудников в учреждении необязательно
непритворный|Лишенный притворства, искренний
непритворность|Лишенность притворства, искренность
непритязательный|Скромный, простой, без претензий
непритязательность|Скромность, простота, отсутствие претензий
неприязненный|Проникнутый неприязнью, недружелюбный
неприязненность|Недружелюбие, проявление неприязни
неприязнь|Недоброжелательность, недружелюбие
неприятель|Вражеские войска, противник
неприятель|Человек, враждебно настроенный к кому–нибудь
