нечестивый|Греховный, порочный  
нечестный|Лишенный честности, непорядочный  
нечет|Чет и нечет — игра, основанная на подсчете четных и нечетных очков  
нечесаный|Растрепанный, непричесанный  
нечетный|Не кратный двум  
нечетный|Календарные дни, обозначенные нечетной цифрой  
нечистоплотный|Неопрятный, небрежный в уходе за собой  
нечистоплотный|Неразборчивый в средствах для достижения своей корыстной цели  
нечистота|Отсутствие чистоты, грязь  
нечистоты|Содержимое отхожих мест, отбросы  
нечистый|Лишенный чистоты, загрязненный  
нечистый|Неаккуратный или неправильный  
нечистый|Нечестный, основанный на обмане  
нечистый|В народных поверьях: злой дух, черт  
нечистый|Недостаточно честен, вороват  
нечистый|Злые духи, черти  
нечисть|В народных поверьях: то же, что нечистая сила  
нечисть|Презренные, недостойные люди  
нечленораздельный|Невнятный, лишенный членораздельности  
нечленораздельный|Переносное значение — непонятное, несообразное  
нечто|Некоторый предмет, явление, что-то  
нешуточный|Серьезный, значительный  
нещадный|Беспощадный, жестокий  
нещадный|Очень сильный, непомерный  
неявка|Отсутствие кого-нибудь там, где нужно обязательно быть  
неясность|Неясное положение, что-нибудь неясное, непонятное  
неясный|Лишенный ясности  
неясыть|Крупная птица отряда сов  
нёбо|Верхняя стенка ротовой полости  
ни|Означает полное отсутствие кого-нибудь или чего-нибудь  
ни|Служит для усиления отрицания  
ни|Указывает, что действие сохраняет силу при любых обстоятельствах  
ни...ни|Повторяющийся союз — употребляется в отрицательных предложениях при перечислении однородных членов  
ни-на-есть|В сочетании с местоименным словом выражает усиление и свободную возможность выбора  
ни...|Образует местоименные слова со значением отрицания  
нива|Засеянное поле  
нивелир|Геодезический прибор для нивелирования  
нивелировать|Определить специальными приборами высоту точек земной поверхности относительно выбранной точки или над уровнем моря  
нивелировать|Уравнивая, сгладить, уничтожить различия между кем-нибудь или чем-нибудь  
нивелироваться|О различиях, особенностях: сгладиться  
нивелировщик|Специалист по нивелированию  
нивхи|Народ, живущий по нижнему течению реки Амура и на острове Сахалин  
нивхский|Относящийся к нивхам, их языку, национальному характеру, образу жизни, культуре, территории их проживания  
никово|Ни в каком месте  
нигилизм|Полное отрицание всего, полный скептицизм  
нигилист|В шестидесятых годах девятнадцатого века в России: сторонник демократического движения, отрицающий устои и традиции дворянского общества, крепостничество  
нигилист|Человек, относящийся ко всему резко отрицательно, скептически  
нидерландский|Относящийся к нидерландцам, их языку, национальному характеру, образу жизни, культуре, территории  
нидерландцы|Народ, составляющий основное население Нидерландов  
нидокуда|Ни до какого места  
ниже|Далее, в последующей речи  
ниже|Вниз по течению реки от какого-нибудь места  
ниже|По направлению вниз от чего-нибудь  
ниже|Не достигая возможных пределов чего-нибудь  
ниже...|Первая часть сложных прилагательных со значениями: далее, позже, после (о сказанном, написанном); расположенный по направлению вниз от чего-нибудь; подчиненный, зависимый  
нижестоящий|Подчиненный в административном, организационном отношении  
нижне...|Первая часть сложных слов со значением: расположенный внизу, в нижней части чего-нибудь; находящийся в низменной части местности; расположенный в низовьях реки; относящийся к ранней стадии развития  
нижний|Расположенный внизу  
нижний|Расположенный ближе к устью, к низменным местам  
нижний|Об одежде: носимый под платьем или на теле  
нижний|Образующий низший предел диапазона голоса или инструмента  
низ|Часть предмета, ближайшая к основанию, само основание  
низ|Непривилегированные классы и слои населения  
низ|Широкие массы населения  
низ|То же, что низовье  
низ|Нижние ноты  
низ...|Означает движение сверху вниз  
низать|Прокалывая, продевая, надевать подряд на нитку, проволоку  
низать|Изготавливать, надевая подобным образом  
низвергнуть|Сбросить сверху  
низвергнуть|То же, что свергнуть  
низвергнуться|О большом, тяжелом: упасть сверху, свергнуться  
низвести|Свести вниз  
низина|Низменное место  
низкий|Малый по высоте  
низкий|Меньший по высоте, чем нужно  
низкий|Не достигающий среднего уровня, небольшой, незначительный  
низкий|Плохой, неудовлетворительный в качественном отношении  
низкий|Подлый, бесчестный  
низкий|Неродовитый, не принадлежащий к господствующему, привилегированному классу  
низкий|Не возвышенный, простой, обиходный  
низкий|О звуке, голосе: густой и насыщенный  
низкий|Почтительный, уважительный  
низкопоклонник|Человек, который низкопоклонничает, льстец  
низкопоклонничать|Заниматься низкопоклонством  
низко...|Первая часть сложных слов со значением: низкий, с низким; не достигающий средней нормы; плохого качества; бесчестный
