низина|Низменное место
низинный|Относящийся к низине
низкий|Малый по высоте, находящийся на небольшой высоте от земли, от какого–нибудь уровня
низкий|Меньший по высоте, чем нужно
низкий|Не достигающий среднего уровня, средней нормы, небольшой, незначительный
низкий|Плохой, неудовлетворительный в качественном отношении
низкий|Подлый, бесчестный
низкий|Неродовитый, не принадлежащий к господствующему, привилегированному классу
низкий|О стиле речи: не возвышенный, простой, обиходный
низкий|О звуке, голосе: густой и насыщенный
низкий поклон|Глубокий поклон, почти до земли
низкий поклон|Земной поклон, глубокая благодарность
низенький|Небольшой по высоте (уменьшительно)
низость|Подлое, бесчестное качество
низко...|Первая часть сложных слов со значением: низкий, с низким, не достигающий средней нормы, плохого качества, бесчестный
низкопоклонник|Человек, который низкопоклонничает, льстец
низкопоклоннический|Относящийся к низкопоклонничеству
низкопоклонничать|Заниматься низкопоклонством
низкопоклонство|Рабское и льстивое преклонение перед кем–нибудь
низкопробный|Низкой пробы или низкого качества
низкопробный|Низкий в моральном отношении
низкопробность|Свойство быть низкопробным
низкорослый|Небольшого роста, небольшой высоты
низкорослость|Свойство быть низкорослым
низкосортный|Плохого сорта, качества
низкосортность|Свойство быть низкосортным
низложить|Лишить власти
низлагать|Лишать власти
низложение|Действие по лишению власти
низменность|Равнина, расположенная не выше 200 метров над уровнем моря
низменный|Расположенный на низменности, низкий (о местности)
низменный|Подлый, бесчестный
низменный|Грубый, животный
низменность|Подлое качество или грубый, животный характер
низо...|Приставка со значением то же, что низ...; употребляется перед “й” и некоторыми сочетаниями согласных
низовой|Расположенный понизу, движущийся понизу
низовой|Расположенный в низовьях
низовой|Непосредственно обслуживающий массы на местах
низовой|То же, что нижний (о нотах)
низовье|Часть реки, близкая к устью, а также прилегающая к нему местность
низойти|То же, что нисходить
низок|Низ, нижняя часть чего–нибудь
низом|По низу чего–нибудь, понизу, дорогой, идущей под горой
низость|Низкий, бесчестный поступок, низкие слова
низринуть|То же, что низвергнуть
низринуться|То же, что низвергнуться
низший|Простейший по своему развитию, примитивный
низший|Занимающий последнее место в каком–нибудь ряду, младший
низший|Образование: то же, что начальный
никак|Никаким образом
никак|Несмотря на все усилия, старания
никак|В сочетании с глаголом или предикативом выражает категоричность или абсолютное отрицание
никак|Нет — почтительный отрицательный ответ на вопрос, обычно у военных
никак|Выражает неуверенное предположение, кажется
никакой|В отрицательных предложениях: ни один из возможных
никакой|В сочетании с отрицанием “не”: вовсе не
никакой|Плохой, совершенно незначительный
никарагуанский|Относящийся к никарагуанцам, к их языку, национальному характеру, образу жизни, культуре, а также к Никарагуа, ее территории, внутреннему устройству, истории; такой, как у никарагуанцев, как в Никарагуа
никарагуанцы|Народ, составляющий основное население Никарагуа
никоим образом|Никак, ни в какой степени
ни в коем разе|То же, что ни в коем случае
ни в коем случае|Ни за что, ни при каких условиях
ни в коей мере|Нисколько, ни в какой степени
никелировать|Покрывать металлические изделия тонким слоем никеля
никелировка|Покрытие металлических изделий тонким слоем никеля
никелировка|Слой никеля на чем–нибудь
никель|Химический элемент, серебристо–белый тугоплавкий металл, широко употребляется в технике
никну́ть|Опускаться, пригибаться
никну́ть|Ослабевать, становиться вялым, бессильным
никогда|Ни в какое время, ни при каких обстоятельствах
никой|То же, что никакой
никотин|Ядовитое вещество, содержащееся в табаке
никотинный|Относящийся к никотину
никотиновый|Относящийся к никотину
никоторый|То же, что никакой (при возможном счете, подразумевании количества)
никто|Ни один человек, ни одно живое существо
никто|О человеке, не состоящем с кем–нибудь в родственных или дружеских отношениях, а также о человеке ничтожном, не имеющем никаких достоинств
никуда|Ни в какое место
никуда|Плохой, никудышный
никуда не годен|О ком–нибудь или чем–нибудь очень плохом, совсем негодном
никуда не годится|То же, что никуда не годен
никуда не годится|Выражение неодобрения
в никуда|Без определенного направления, в неизвестность или безвестность
никудышка|Бесполезный, никудышный человек
никудышный|Никуда не годный, плохой
никудышность|Свойство быть никудышным
никчемушный|Бесполезный, ничего не дающий
никчемный|Ни для чего не нужный, плохой и бесполезный
никчемность|Свойство быть никчемным
нимало|Нисколько, вовсе нет
нимб|В изображениях святых, у церковных скульптур: символ святости — сияние в виде светлого кружка вокруг головы
нимфa|В древнегреческой мифологии: божество в виде женщины, олицетворяющее различные силы природы
нима́лo|Ни в какой мере, степени
ниотколе|То же, что ниоткуда
ниотколь|То же, что ниоткуда
ниоткуда|Ни из какого места
ниотчего|То же, что нипочему
нипочему|Ни по какой причине, без всякого основания
нипочём|Незатруднительно, легко
нипочём|Легко переносится, ничего не значит для кого–нибудь
нипочём|Ни в каком случае, ни за что
нипочём|Очень дешев, по очень низкой цене
