обвиснуть|Оттянуться, опуститься книзу
обвивать|Обмотать что–нибудь вокруг чего–нибудь
обвивать|Обмотать что–нибудь собой, охватить
обвить|Обмотать что–нибудь вокруг чего–нибудь
обвить|Обмотать что–нибудь собой, охватить
обвиться|Охватив, обвив что–нибудь собой, сомкнуться
обвод|Круговая линия укреплений
обвод|Внешние линии, очертания корпуса судна
обводнить|Обеспечить водой путем устройства каналов, прудов, колодцев
обволочь|Облечь со всех сторон (о чем–нибудь стелющемся, распространяющемся по поверхности)
обволочься|Покрыться, окутаться чем–нибудь
обворовать|То же, что обокрасть
обворожительный|Приводящий в восхищение, очаровательный
обворожить|Привести в восхищение, очаровать
обвыкнуть|Освоившись, привыкнуть к чему–нибудь
обвязать|Обмотав и затянув, завязать
обвязать|Сделать надвязку, вязку по краю чего–нибудь
обглодать|Обгрызть, глодая
обглодок|Обглоданный кусок, обглоданная кость
обговорить|То же, что обсудить
обгорелый|Сильно поврежденный огнем, обгоревший
обгореть|Обуглиться, сгореть снаружи, с краев
обгореть|Получить ожоги
обгрызть|Сгрызть, объесть снаружи, с краев
обдать|Окатить, облить сразу со всех сторон
обдать|Охватить, пронизать
обделать|Подвергнуть какой–нибудь обработке
обделать|Выгодно, успешно устроить, закончить
обделить|Лишить чего–нибудь при дележе, раздаче
обдёргать|Дергая, оборвать, а также оправить
обдёрнуть|То же, что одернуть
обдирала|То же, что обирала; бессовестный человек
обдуманный|Серьезно продуманный, обоснованный
обдумать|Вдумавшись, вникнуть во что–нибудь, подготовиться к решению
обдурить|Одурачить, обмануть
обдуть|Овеять чем–нибудь, дуя со всех сторон
обдуть|Обмануть, обсчитать
обегать|Бегая, побывать во многих местах, у многих
обед|Прием пищи, обычно в середине дня
обед|Пища, приготовленная для этой еды
обед|Время такой еды, обычно в середине дня
обед|Перерыв в работе в середине дня
обедать|Есть обед, принимать пищу за обедом
обедать|Уходить с работы на время обеденного перерыва
обеднелый|Впавший в бедность, обедневший
обеднить|Сделать бедным, бессодержательным
обедня|У православных: церковная служба утром или в первую половину дня, во время которой совершается обряд причащения, литургия
обежать|Бегом обойти вокруг кого–чего–нибудь, какое–нибудь пространство
обежать|Бегая, побывать во многих местах, у многих
обез...|Образует глаголы со значением: лишить чего–нибудь, освободить от чего–нибудь; лишиться чего–нибудь, освободиться от чего–нибудь
обезболить|Сделать безболезненным
обезводеть|Лишиться воды, жидкости, влаги
обезводить|Лишить воды, жидкости, влаги
