обком|Областной комитет  
обкопать|Окопать  
обкормить|Накормить сверх меры, во вред здоровью  
обкосить|Скосить траву вокруг чего–нибудь, очистить косьбой  
обкрутить|Обмотать  
обкрутиться|Обмотаться вокруг чего–нибудь  
обкурить|Сделать курительный прибор удобным, привычным для курения  
обкурить|Пропитать, закоптить дымом от курения  
обкусать|Кусая, обгрызть  
облава|Охота, при которой окружается место, где находится зверь, с тем, чтобы гнать его оттуда на охотника  
облава|Оцепление места, где находятся или могут находиться преследуемые лица, с целью их поимки  
облагодетельствовать|Оказать кому–нибудь благодеяние  
облагородить|Сделать благородным, благороднее в духовном, моральном отношении  
облагородить|Улучшить породу, качество чего–нибудь  
обладатель|Человек, который обладает чем–нибудь, владелец  
обладать|Иметь в собственности, в наличии или в числе своих свойств  
обладать|Иметь своей женой, любовницей  
обладить|Привести в нужное состояние, устроить  
облазить|Лазая, побывать повсюду  
облако|Светло–серые клубы, волнистые слои в небе, скопление сгустившихся в атмосфере водяных капель и ледяных кристаллов  
облако|Сплошная масса каких–нибудь мелких летучих частиц  
облапить|Обхватить лапами  
облапить|Обнять, обхватить руками  
облапошить|Обмануть, обдурить  
обласкать|Ласково, с участием отнестись к кому–нибудь  
областной|Свойственный диалекту, местный  
область|Часть страны, государственной территории  
область|Крупная административно–территориальная единица  
область|Пределы, в которых распространено какое–нибудь явление, зона, пояс  
область|Отдельная часть организма, участок тела  
область|Отрасль деятельности, круг занятий, представлений  
облатка|Капсула  
облачение|Одежда служителей культа во время богослужения, а также вообще то, что надето на ком–нибудь  
облачить|Перед богослужением надеть облачение на священнослужителя  
облачить|Одеть  
облачиться|Надеть на себя облачение перед богослужением  
облачиться|Одетый  
облачность|Скопление облаков  
облачный|Покрытый облаками  
облачный|О погоде: пасмурный  
облаять|О собаке: накинуться на кого–нибудь с лаем  
облаять|Грубо обругать  
облегчение|Состояние легкости, освобождения от чего–нибудь  
облегчённый|Ставший или сделанный более легким по весу  
облегчённый|Менее сложный по устройству, составу, способу исполнения, упрощенный  
облегчённый|Почувствовавший облегчение, выражающий облегчение  
облегчить|Сделать легким, легче, освободить от лишнего груза, тяжести  
облегчить|Упростить, сделать проще, легче  
облегчить|Сделать менее трудным, менее тяжелым  
облегчить|Успокоить, умиротворить  
облегчиться|Стать более легким, простым  
облегчиться|Освободиться от тяжести  
обледенелый|Покрытый льдом, обледеневший  
обледенеть|Покрыться льдом  
облезлый|С облезшими волосами, шерстью, перьями  
облезлый|С облупившейся краской, штукатуркой, полинялый  
облезть|Лишиться волос, шерсти, перьев, а также выпасть  
облезть|Сойти с поверхности (о краске, покрытии), облупиться  
облениться|Стать ленивым  
облепить|Прилипнуть со всех сторон к кому–чему–нибудь  
облепить|Покрыть чем–нибудь, прилепляя  
облепиха|Высокий колючий кустарник или дерево с кисловатыми, тесно сидящими на ветках мелкими оранжево–желтыми ягодами, а также сами ягоды, имеющие целебные свойства  
облесить|Засадить лесом  
облетать|Пролететь вокруг  
облетать|Испытать в пробных полетах  
облететь|Пролететь вокруг  
облететь|Летая, побывать во многих местах  
облететь|Опасть, осыпаться  
облететь|Быстро распространившись, сделаться известным кому–нибудь  
облечь|Одеть во что–нибудь, облачить  
облечь|Окружить чем–нибудь, создать вокруг кого–нибудь какую–нибудь атмосферу  
облечь|Снабдить, наделить, уполномочив, поручив делать что–нибудь  
облечь|Распространиться по чему–нибудь, окутать  
облечь|Прилегая, обхватить  
обливание|Водная процедура — окачивание водой  
обливаться|Охватываться, становиться объятым
