обмазка|То, чем обмазано что–нибудь  
обмакнуть|Погрузить на короткое время в жидкость, окунуть  
обман|То же, что ложь  
обман|Ложное представление о чем–нибудь, заблуждение  
обманка|Составная часть названий некоторых минералов, обладающих рядом признаков металлов, являющихся, как правило, рудами  
обманный|Основанный на обмане, ложный  
обмануть|Ввести в заблуждение, сказать неправду; поступить недобросовестно по отношению к кому–нибудь  
обмануть|Нарушить обещание  
обмануть|Не оправдать чьих–нибудь ожиданий, предположений  
обмануть|Недодать при расчете или обвесить  
обмануть|Изменить (мужу, жене), нарушить супружескую верность  
обмануться|Ошибиться в своих оценках, чувствах, ожиданиях  
обманчивый|Такой, который легко может ввести в заблуждение, привести к неправильному заключению  
обманщик|Тот, кто обманул, обманывает кого–нибудь  
обмарать|Запачкать сплошь, во многих местах  
обмахнуть|Махая чем–нибудь, обдать струей воздуха  
обмахнуть|Удалить или, смахивая (пыль, сор), очистить  
обмозговать|То же, что обдумать  
обмолвиться|То же, что оговориться  
обмолвиться|Сказать что–нибудь вскользь, невзначай  
обмолвка|То же, что оговорка  
обмолот|Количество обмолоченного зерна, семян  
обмолотить|Молотьбой очистить, извлечь зерно из колосьев, метелок, початков  
обморок|Внезапная потеря сознания  
обмотать|Мотая, обвязать, обкрутить  
обмотать|Накинуть на что–нибудь, обвивая  
обмотаться|Крутясь, обвиться  
обмотка|То, чем обматывается, обмотано что–нибудь  
обмотка|Длинные и широкие полосы материи, которыми обматывают голени от ботинка до колен  
обмочить|Замочить с краев или со всех сторон  
обмочить|Испустив мочу под себя, замочить  
обмундирование|Военная форменная одежда  
обмундировать|Снабдить форменной одеждой  
обмундировка|Форменная одежда  
обмуровка|То, чем что–нибудь обмуровано  
обмуслить|Мусля, мусоля, испачкать, замуслить, замусолить со всех сторон  
обмусолить|Мусля, мусоля, испачкать, замуслить, замусолить со всех сторон  
обмылок|Остаток от куска мыла  
обмыть|Моя со всех сторон, сделать чистым  
обмыть|То же, что вспрыснуть (просторечие)  
обмякнуть|Стать мягким, рыхлым  
обмякнуть|Стать мягче, добродушнее под влиянием чего–нибудь  
обмять|Придавить сверху (что–нибудь мягкое, рыхлое), сдавить со всех сторон для уплотнения, придания нужной формы  
обмяться|Стать обмятым, податливым  
обмяться|Уладиться, утрястись
