обмылок|Остаток от куска мыла
обмыть|Моя со всех сторон, сделать чистым
обмыть|Вспрыснуть чем–нибудь
обмываться|Мыться со всех сторон, становиться чистым
обмывание|Действие по значению мытья со всех сторон для очищения
обмывка|Действие по значению мытья со всех сторон для очищения
обмякнуть|Стать мягким, рыхлым
обмякнуть|Стать мягче, добродушнее под влиянием чего–нибудь
обмякать|Становиться мягким, рыхлым
обмять|Придавить сверху что–нибудь мягкое, рыхлое, сдавить со всех сторон для уплотнения, придания нужной формы
обминать|Давить, придавать форму чему–нибудь мягкому, рыхлому
обминка|Действие по значению мять, придавать форму чему–нибудь мягкому, рыхлому
обмин|Действие по значению мять, придавать форму чему–нибудь мягкому, рыхлому
обминочный|Связанный с процессом мятья, придачи формы чему–нибудь мягкому, рыхлому
обмяться|Стать обмятым, податливым
обмяться|Уладиться, утрястись, благополучно разрешиться
обминаться|Становиться обмятым, податливым
обнаглеть|Стать наглым
обнадёжить|Обещать что–нибудь
обнадёжить|Успокоить, подав надежду
обнадёживать|Обещать что–нибудь, успокаивать, подавая надежду
обнажённый|Лишенный покровов, нагой, открытый
обнажённость|Состояние обнажённого, открытого
обнажить|Освободив от покровов, оставить нагим, открытым
обнажить|Разоблачить, раскрыть, сделать явным что–нибудь
обнажать|Освобождать от покровов, делать открытым
обнажение|Освобождение от покровов, раскрытие чего–нибудь
обнажиться|Освободившись от покровов, остаться нагим, открытым
обнажиться|Стать явным, полностью обнаружиться, открыться
обнажаться|Освобождаться от покровов, становиться открытым, явным
обнародовать|Объявить для всеобщего сведения, предать гласности, опубликовать
обнародование|Действие по значению объявить, предать гласности, опубликовать
обнаружить|Показать, сделать явным, видимым
обнаружить|Найти, отыскать
обнаружить|Заметить, раскрыть
обнаруживать|Показывать, делать явным, находить, раскрывать
обнаружение|Открытие, выявление, обнаружение чего–нибудь
обнаружиться|Стать явным, оказаться
обнаружиться|Найтись, отыскаться
обнаруживаться|Становиться явным, оказываться, находиться
обнашивать|Изнашивать что–нибудь, носить до ветхости
обнаживать|Освобождать от покровов, делать открытым
обнажаться|Освобождаться от покровов, становиться открытым, явным
