обсохнуть|Стать сухим, суше
обставить|Поставить что–нибудь вокруг чего–нибудь
обставить|Завести мебель, обстановку
обставить|Устроить, создав подходящие условия
обставить|Обогнать, опередить кого–нибудь в чем–нибудь
обставить|То же, что обыграть
обставить|То же, что обмануть
обставиться|Обзавестись мебелью, обстановкой
обстановка|Мебель, убранство помещения
обстановка|Положение, обстоятельства, условия существования кого–чего–нибудь
обстирвать|Постирать для многих или все, нужное для одного человека
обстоятельный|Подробный, содержательный
обстоятельный|Действующий обдуманно, с рассудительностью, положительный в действиях
обстоятельство|Явление, сопутствующее какому–нибудь другому явлению и с ним связанное
обстоятельство|Условия, определяющие положение, существование кого–чего–нибудь, обстановка
обстоятельство|В грамматике: второстепенный член предложения, обычно выражаемый наречием или предложно–падежной формой имени, обозначающий время, место, причину, цель, следствие, условие, способ и некоторые другие сопутствующие характеристики сообщения
обстоять|Находиться в каком–нибудь состоянии
обстрел|Боевая стрельба по цели из нескольких орудий или ручного оружия
обстрелянный|Побывавший в боях, привыкший к боевым условиям, опытный
обстрелять|Подвергнуть обстрелу
обстреляться|Побывав в боях, привыкнуть к боевой обстановке
обстригать|То же, что стричь
обстрогать|Выстрогать со всех сторон
обстрочить|Построить кругом чего–нибудь
обстроиться|Выстроить для себя какие–нибудь здания, постройки, застроиться
обструкционист|Участник обструкции
обструкция|Намеренный срыв чего–нибудь
обстряпать|Выгодно устроить, завершить
обступить|Окружить, встать вокруг кого–чего–нибудь
обсудить|Разобрать, оценить, высказывая свои соображения по поводу чего–нибудь или чьего–нибудь поведения, проступка
обсусолить|То же, что обмусолить
обсушить|Высушить сверху, кругом, дать обсохнуть
обсушиться|Высушить свою намокшую одежду
обсчитать|Умышленно неверно сосчитав или ошибившись в счете, недодать
обсчитать|Рассчитать; подсчитать, сосчитать (многое, многих)
обсчитаться|Ошибиться в счете
обсыпать|То же, что осыпать
обсыпаться|То же, что осыпаться
обсыпной|Такой, который чем–нибудь обсыпан
обсыпной|Имеющийся во множестве, усеивающий собой что–нибудь
обтаять|Освободиться ото льда, тающего сверху или по краям; растаять сверху, с краев
обтекаемый|О форме транспортного средства: такой, который при движении оказывает наименьшее сопротивление встречному потоку воздуха, воды, газа
обтекаемый|Дающий возможность разного понимания, уклончивый
обтереть|Вытереть по поверхности
обтерпеться|Свыкнуться с чем–нибудь, привыкнуть терпеть что–нибудь
обтесать|Тесанием обровнять
обтесать|Сделать культурнее, научить хорошему поведению, манерам
обтесаться|Стать внешне культурнее, научиться хорошему поведению, манерам
обтечь|Обогнуть, обойти своим течением
обтечь|Обойти, объехать, минуя что–нибудь
обточить|Сделать гладким, обрабатывая на токарном станке или вручную поверхность чего–нибудь
обтрепать|Привести в негодность, изорвать в результате долгой носки, употребления
обтрепаться|Изорваться, истрепаться от долгой носки, употребления
обтыкать|Натыкать вокруг чего–нибудь
обтяжка|То, чем что–нибудь обтянуто
обтянуть|Растягивая (какой–нибудь материал), туго натянуть по поверхности чего–нибудь
обтянуть|Плотно охватить
обтянуться|О чем–нибудь плотно охватывающем что–нибудь, преимущественно об одежде, плотно прилегающей к телу
обтяпать|Выгодно устроить, обстряпать
обувка|То же, что обувь
