объективист|Сторонник объективизма  
объективный|Существующий вне нас как объект  
объективный|Связанный с внешними условиями, не зависящий от чьей–нибудь воли, возможностей  
объективный|Непредвзятый, беспристрастный  
объективность|Свойство быть объективным  
объесть|Съесть что–нибудь с краев, обглодать  
объесть|Причинить ущерб кому–нибудь, съев много у него или за его счет  
объедать|Съедать что–нибудь с краев, обгладывать  
объедать|Причинять ущерб кому–нибудь, съедая много у него или за его счет  
объесться|Съесть слишком много, до пресыщения  
объедаться|Есть слишком много до пресыщения  
объехать|Проехать стороной, минуя что–нибудь  
объехать|Обогнать кого–нибудь  
объехать|Ездя, побывать во многих местах, посетить многих  
объезжать|Проезжать стороной, минуя что–нибудь  
объезд|Проезд вокруг чего–нибудь стороной  
объездной|Находящийся на объезде, вне основного маршрута  
объём|Величина чего–нибудь в длину, высоту и ширину, измеряемая в кубических единицах  
объём|Величина, количество  
объемный|Относящийся к объёму; имеющий объём  
объемный|Большой по объёму  
объемность|Свойство быть объемным  
объёмистый|Большой по объёму  
объемистость|Свойство быть объёмистым  
объявить|Сообщить, довести до всеобщего сведения, огласить  
объявить|Гласно, официально признать  
объявлять|Сообщать, доводить до всеобщего сведения, оглашать  
объявление|Официальное извещение о чем–нибудь  
объявиться|Обнаружиться, оказаться  
объявляться|Обнаруживаться, оказываться  
объяснение|Письменное или устное изложение в оправдание чего–нибудь, признание в чем–нибудь  
объяснение|То, что разъясняет, помогает понять что–нибудь  
объяснительный|Относящийся к объяснению, содержащий объяснение  
объяснимый|Такой, который можно объяснить, понятный  
объяснимость|Свойство быть объяснимым  
объяснить|Растолковать кому–нибудь или осмыслить для самого себя, сделать ясным, понятным  
объяснять|Толковать, делать понятным  
объяснитьcя|Переговорив, выяснить свои отношения, объяснить что–нибудь  
объясниться|Стать понятным, выясниться  
объясняться|Переговариваться, выяснять отношения, делать что–нибудь понятным  
объяcняться|Вести беседу, разговаривать  
объяcняться|Находить себе объяснение, корениться в чем–нибудь  
объятие|Движение или положение рук, охватывающих кого–нибудь для ласки, выражения дружеских чувств  
объять|Охватить, обнять  
обымать|Охватывать, обнимать  
обыватель|Городской житель, а также вообще житель, относящийся к податным сословиям  
обыватель|Человек, лишенный общественного кругозора, живущий только мелкими личными интересами  
обывательница|Женщина–обыватель  
обывательский|Относящийся к обывателю, характеризующийся обывательством  
обывательщина|Косность, узость интересов, отсутствие общественного кругозора  
обыграть|Одержать над кем–нибудь верх в игре  
обыграть|Сделать музыкальный инструмент более звучным путем игры на нем  
обыграть|Использовать в своих целях слова, поступки для создания большего впечатления  
обыгрывать|Одерживать над кем–нибудь верх в игре  
обыгрывание|Процесс одержания верхa в игре или создания большего впечатления  
обыденный|Обыкновенный, заурядный  
обыденность|Свойство быть обыденным  
обедёнщина|Повседневная скучная жизнь, повседневный однообразный быт  
обыкновение|Привычка, заведённый порядок  
обыкновенный|Обычный, ничем не выделяющийся  
обыкновенный|Как всегда, как во всех подобных случаях, обычно  
обыкновенность|Свойство быть обыкновенным  
обыск|Официальный осмотр кого–нибудь или чего–нибудь с целью найти и изъять предметы, документы, которые могут иметь значение для следствия  
обыскной|Относящийся к обыску  
обыскать|Произвести обыск где–нибудь, у кого–нибудь  
обыскать|Осмотреть целиком, все  
обыскивать|Производить обыск где–нибудь, у кого–нибудь  
обыскаться|Ища долго, обыскать всё, везде  
обыскиваться|Искать долго, обыскивать всё, везде  
обычай|Традиционно установившиеся правила общественного поведения  
обычный|Постоянный, привычный  
обычный|Чаще всего, как правило  
обычность|Свойство быть обычным  
обюрократиться|Проникнуться бюрократизмом, стать бюрократом  
обюрокрачиваться|Проникаться бюрократизмом, становиться бюрократом  
обязанность|Круг действий, возложенных на кого–нибудь и безусловных для выполнения  
обязанный|Имеющий что–нибудь своей обязанностью, долгом  
обязанный|Достигший чего–нибудь благодаря кому–нибудь; признательный, благодарный за что–нибудь  
обязательный|Безусловный для исполнения; непременный  
обязательный|Ответственный  
обязательный|Всегда готовый оказать содействие, внимательный к людям и верный своему слову  
обязательность|Свойство быть обязательным  
обязательство|Официально данное обещание, обычно в письменной форме, требующее безусловного выполнения  
обязательство|Документ о заеме денег, ценностей  
обязательственный|Относящийся к обязательству  
обязать|Наложить на кого–нибудь какую–нибудь обязанность, предписать  
обязать|Вызвать чем–нибудь на ответную услугу  
обязывать|Налагать на кого–нибудь обязанность  
обязываться|Брать на себя обязательство  
обязаться|Взять на себя обязательство  
обязываться|Оказываться обязанным, одолжаться  
овал|Замкнутое яйцевидное очертание чего–нибудь  
овальный|Имеющий форму овала  
овальность|Свойство быть овальным  
овация|Восторженные знаки одобрения и приветствия, бурные рукоплескания  
овдоветь|Стать вдовцом или вдовой  
обещать|Давать обещание  
овевать|Обдавать струей воздуха, ветра  
овеивать|Обдавать струей воздуха, ветра  
овен|То же, что баран  
овечий|Относящийся к овце  
овеществить|Выразить в чем–нибудь вещественном, материальном  
овеществление|Выражение в вещественной, материальной форме  
овеществитьcя|Выразиться в чем–нибудь вещественном, реальном  
овеществляться|Выражаться в чем–нибудь вещественном, реальном  
овеять|Обдать струей воздуха, ветра  
овеять|Окружить, создать вокруг чего–нибудь ореол почета, славы
