овен|То же, что баран
овещестить|Выразить в чем–нибудь вещественном, материальном
овещестлять|Выразить в чем–нибудь вещественном, материальном
овеществиться|Выразиться в чем–нибудь вещественном, реальном
овеществляться|Выразиться в чем–нибудь вещественном, реальном
овеясть|Обдать струей воздуха, ветра
овеясть|Окружить, создать вокруг чего–нибудь ореол почета, славы
овевать|Обдать струей воздуха, ветра
овеивать|Обдать струей воздуха, ветра
овес|Яровой злак, зерна которого обычно идут на корм лошадям, птице, а также на крупу
овсец|Уменьшительно-ласкательное от овес
овсяный|Соотносящийся с овсом, из овса
овсяной|Соотносящийся с овсом, из овса
овин|Строение для сушки снопов перед молотьбой
овинный|Соотносящийся с овином, к овину
овладеть|Взять, стать обладателем кого–нибудь или чего–нибудь
овладеть|Подчинить себе, придать чему–нибудь нужное направление
овладеть|О мыслях, чувствах: охватить кого–нибудь, целиком наполнить
овладеть|Прочно усвоить что–нибудь, изучить
овладевать|Взять, стать обладателем кого–нибудь или чего–нибудь
овладевать|Подчинить себе, придать чему–нибудь нужное направление
овладевать|О мыслях, чувствах: охватить кого–нибудь, целиком наполнить
овладевать|Прочно усвоить что–нибудь, изучить
овладение|Взятие, становление обладателем кого–нибудь или чего–нибудь; подчинение себе, усвоение чего–нибудь
овод|Двукрылое насекомое, личинки которого паразитируют в теле животных
оводовый|Соотносящийся с овода, к оводу
овоще...|Первая часть сложных слов со значением относящийся к овощам или овощеводству
овощевод|Специалист по овощеводству
овощеводство|Выращивание овощей как отрасль растениеводства
овощеводческий|Соотносящийся с овощеводством, к овощеводству
овощехранилище|Помещение для хранения овощей
овощи|Выращиваемые на грядах корнеплоды, луковичные, листовые и некоторые другие растения, а также сами их плоды
овощной|Соотносящийся с овощами, из овощей
овощь|Овощи, собирательно
овражек|Уменьшительное от овраг
овраг|Глубокая длинная с крутыми склонами впадина на поверхности земли
овражный|Соотносящийся с оврагом, к оврагу
овражистый|Изобилующий оврагами
овражистость|Качество, свойство быть овражистым
овсинка|Один стебель или одно зерно овса
овсюг|Сорное растение семейства злаков
овсянка|Овсяная крупа, а также каша
овсянка|Маленькая перелетная птичка отряда воробьиных
овсянковый|Соотносящийся с овсянкой (птичкой), к овсянке
овсяной|См. овес
овсяный|См. овес
овца|Жвачное парнокопытное домашнее млекопитающее семейства полорогих с густой волнистой шерстью
овечка|Уменьшительное от овца
овечий|Соотносящийся с овцой, к овце
овцебык|Парнокопытное полорогое млекопитающее, мускусный бык
овцевод|Человек, занимающийся разведением овец; специалист по овцеводству
овцеводство|Разведение овец как отрасль животноводства
овцеводческий|Соотносящийся с овцеводством, к овцеводству
овцематка|Овца, дающая приплод
овчар|Работник, ухаживающий за овцами
овчар|Овчарка-самец
овчарка|Общее название пород служебных собак
овчарня|Помещение для овец
овчина|Овечья шкура
овчинка|Уменьшительное от овчина
овчинный|Соотносящийся с овчиной, из овчины
огарок|Остаток недогоревшей свечи
огарочный|Соотносящийся с огарком, к огарку
огибать|См. обогнуть
оглавление|Перечень глав или других составных частей книги, рукописи; содержание
огладить|Погладить с целью успокоить животное или пригладить
оглаживать|Погладить с целью успокоить животное или пригладить
огласить|Прочесть вслух для всеобщего сведения, объявить
огласить|Разгласить, сделать известным
огласить|Наполнить громкими звуками
оглашать|Прочесть вслух для всеобщего сведения, объявить
оглашать|Разгласить, сделать известным
оглашать|Наполнить громкими звуками
оглашение|Прочтение вслух для всеобщего сведения; разглашение, становление известным
огласиться|Наполниться громкими звуками
огласиться|Разгласиться, стать известным
оглашаться|Наполниться громкими звуками
оглашаться|Разгласиться, стать известным
огласовка|В языкознании: способ произнесения, характер звучания
оглашенный|Человек, ведущий себя бестолково, шумно, сумасбродно
оглашенная|Женщина, ведущая себя бестолково, шумно, сумасбродно
огласка|Разглашение, известность
оглобля|В упряжи: одна из двух круглых длинных жердей, укрепленных на передней оси повозки и соединяющихся с дугой
оглобельный|Соотносящийся с оглоблей, к оглобле
оглоушить|Сильно ударить по голове, лишив сознания; перен. — ошеломить новостью, сообщением
оглоушивать|Сильно ударить по голове, лишив сознания; ошеломить
оглохнуть|См. глохнуть
оглуплять|Делать глупым
оглуплять|Сознательно искажать что–нибудь с целью дискредитировать, принизить, опошлить
оглупить|Делать глупым
оглупить|Сознательно искажать что–нибудь с целью дискредитировать, принизить, опошлить
оглупление|Совокупность действий по превращению в глупого; искажение с целью дискредитации
оглушительный|Способный оглушить, очень громкий
оглушительность|Качество быть оглушительным
оглушить|Лишить слуха или ясности слуха
оглушать|Лишать слуха или ясности слуха
оглядеть|Осмотреть
огладывать|Осмотреть
оглянуть|Осмотреть
оглядеться|Осмотреться
оглядываться|Осмотреться
оглядка|Крайнее внимание, осторожность в действиях
