оглушительный|Способный оглушить, очень громкий  
оглушительность|Свойство быть очень громким  
оглушить|Лишить слуха или ясности слуха  
оглядеть|То же, что осмотреть  
оглядывать|То же, что осматривать  
оглянуть|То же, что осмотреть  
оглядеться|То же, что осмотреться  
оглядываться|То же, что осматриваться  
оглядка|Крайнее внимание, осторожность в действиях  
оглядка|Очень быстро  
оглядка|Решительно, без колебаний  
оглянуться|Обернувшись, посмотреть назад  
оглянуться|Посмотреть на себя, на свои поступки со стороны  
оглянуться|Обозначает быструю, часто непредвиденную или неожиданную смену ситуаций  
оглядываться|Действовать с опаской, сверяя свои поступки с поступками другого  
огне...|Первая часть сложных слов со значением относящийся к огню  
огнебур|Бур для огневого бурения  
огневой|О глазах, взгляде: сверкающий, жгучий  
огневой|Пылкий, живой, страстный  
огнедышащий|Извергающий огонь  
огнемет|Оружие ближнего действия для поражения противника струей горящей смеси  
огнеметный|Относящийся к огнемету  
огненный|Оранжево-красный, цвета огня  
огненный|То же, что огневой  
огненность|Свойство быть огненным  
огнеопасный|Легко воспламеняющийся  
огнеопасность|Свойство легко воспламеняться  
огнепоклонник|Человек, который поклоняется огню как божеству, последователь огнепоклонничества  
огнепоклонница|Женщина, которая поклоняется огню как божеству  
огнепоклоннический|Относящийся к огнепоклонничеству  
огнепоклонничество|Религиозное почитание и культ огня как одна из форм первобытного обожествления природы  
огнепоклонство|Религиозное почитание и культ огня как одна из форм первобытного обожествления природы  
огнепоклоннический|Относящийся к огнепоклонству  
огнеприпасы|Сокращение: огнестрельные припасы, прежнее название боеприпасов  
огнестойкий|Трудно поддающийся действию огня, несгораемый  
огнестойкость|Свойство трудно поддаваться действию огня  
огнестрельный|Стреляющий посредством воспламенения пороха или иных взрывчатых веществ  
огнестрельный|Причиненный пулей, осколком снаряда  
огнетушитель|Аппарат для тушения огня, возникающего пожара  
огнеупорный|Способный выдержать, не разрушаясь, воздействие высоких температур, очень сильное нагревание  
огнеупорность|Свойство выдерживать воздействие высоких температур, не разрушаясь  
огнеупоры|Огнеупорные материалы  
огнеупор|Огнеупорный материал  
огнёвка|Небольшая бабочка, обычно пестрой окраски, иногда вредитель растений  
огнёвка|Лисица с красноватой шерстью  
огниво|Кусок камня или металла для высекания огня ударом о кремень  
огнистый|То же, что огненный  
огнище|Место с остатками костра  
огнище|Место из-под вырубленного и паленого леса, предназначенное для распашки  
ого|Выражает удивление и оценку  
ого-го|Выражает удивление и оценку  
оговор|То же, что клевета  
оговор|Показания, ложно изобличающие кого–нибудь  
оговорить|Возвести на кого–нибудь ложное обвинение, оклеветать  
оговорить|Заранее условиться о чем–нибудь  
оговорить|Сделать оговорку  
оговаривать|Возводить на кого–нибудь ложное обвинение, оклеветать  
оговаривать|Заранее условливаться о чем–нибудь  
оговаривать|Делать оговорку  
оговориться|Сделать оговорку  
оговориться|По ошибке сказать не то, что было нужно, сделать оговорку  
оговариваться|Сделать оговорку, ошибиться в речи  
оговорка|Замечание, ограничивающее или поправляющее то, что сказано  
оговорка|Ошибка в речи, нечаянно сказанное слово  
оговорочный|Относящийся к оговорке  
оголец|Озорной мальчишка, молодой парень  
оголить|То же, что обнажить  
оголить|Открыть для врага, сделать беззащитным  
оголять|То же, что обнажать  
оголять|Открывать для врага, делать беззащитным  
оголение|Действие по значению оголить  
оголиться|То же, что обнажиться  
оголиться|Стать беззащитным, открытым для врага  
оголяться|То же, что обнажаться  
оголяться|Становиться беззащитным  
оголовье|Уздечка со всем прибором для верховой лошади, а также ремень уздечки, идущий за ушами вокруг головы до удил  
оголодать|Отощать от голода, а также сильно проголодаться  
оголтелый|Потерявший всякое чувство меры, крайне разнузданный  
оголтелость|Крайняя разнузданность  
огонёк|Увлечение, задор  
огонёк|Вечер с развлекательной программой, с легким угощением  
огонь|Горящие светящиеся газы высокой температуры, пламя  
огонь|Свет от осветительных приборов  
огонь|Боевая стрельба  
огонь|Внутреннее горение, страсть  
огонь|О том, кто полон пылкой энергии, силы  
огонь|То же, что жар  
огород|Участок земли - гряды под овощами, обычно вблизи дома, жилья  
огородный|Относящийся к огороду  
огородить|Обнести оградой  
огораживать|Обносить оградой  
огородиться|Обнести себя оградой  
огораживаться|Обносить себя оградой  
огородник|Человек, который возделывает огород, владелец огорода  
огородница|Женщина, которая возделывает огород, владелец огорода  
огороднический|Относящийся к огородничеству  
огородничий|Относящийся к огороднику  
огородничать|Заниматься огородом, работать в огороде  
огородничество|Выращивание овощей как отрасль растениеводства  
огорошить|Сильно озадачить, поставить в тупик  
огорчение|Неприятность, душевная боль  
огорчительный|Причиняющий огорчение, неприятный  
огорчительность|Свойство быть огорчительным  
огорчить|Причинить огорчение  
огорчаться|Причинять огорчение  
огорчиться|Почувствовать огорчение  
ограда|Ограждение, забор, решетка  
оградный|Относящийся к ограде  
оградить|То же, что огородить  
оградить|Предохранить, оберечь  
ограждать|Предохранять, оберегать  
оградиться|Предохранить себя  
ограждаться|Предохранять себя  
ограждение|Действие по значению оградить  
оградительный|Относящийся к ограждению
