бодяга|Пустые шутки, болтовня; канитель
бое|Первая часть сложных слов со значением боевой, например: боезапас, боезаряд, боеготовность, боеохранение
боевик|Остросюжетный кинофильм, представление, пользующееся шумным успехом
боевик|Член вооруженной группировки, входящей в неформальную (обычно террористическую) организацию
боевитый|Активный, решительно действующий; бойкий
боевитость|Активность, решительность, бойкость
боевой|Относящийся к ведению боя, войны
боевой|Готовый к борьбе, воинственный, решительный
боевой|Смелый, бойкий
боевой|Очень важный, первостепенный, первоочередной
боеголовка|Головная часть снаряда с взрывателем и боевым зарядом
боекомплект|Количество боеприпасов, установленное для единицы оружия или для боевой машины
боепитание|Обеспечение боеприпасами и вооружением
боеприпасы|Боевые припасы — снаряды, боевые части ракет и торпед, авиационные бомбы, патроны, гранаты, мины и другое
боеспособный|Пригодный, подготовленный к ведению боя
боеспособность|Способность быть пригодным, подготовленным к ведению боя
боец|Солдат, рядовой, а также член военизированной организации, стройотряда
боец|Участник боя
боец|О спортсмене, активно борющемся за победу
боец|Рабочий на скотобойне
божба|Клятва, заверение
боже|Выражает удивление, восторг, негодование и другие чувства
божественный|Относящийся к религии, церковный
божественный|Очаровательный, прекрасный
божественность|Качество божественного; очарование, прекрасность
божество|То же, что бог
божество|Предмет обожания, преклонения
божий|Ничей, общий для всех
божиться|Клятвенно уверять
побожиться|Клятвенно уверить
божница|Полка или киот с иконами
божничный|Относящийся к божнице
божок|Небольшой идол
божок|Кумир, любимец
бой|Сражение войск, армий
бой|Состязание, единоборство
бой|Борьба, направленная на достижение чего–нибудь, к искоренению чего–нибудь
бой|Битое стекло, керамика, щебень, камень, а также разбитые яйца
бойный|Относящийся к состязанию, кулачный (голуби)
бойкий|Расторопный, ловкий и находчивый
бойкий|Быстрый, живой
бойкий|Оживлённый, людный
бойкость|Качество быть бойким, расторопным, живым, оживлённым
бойкот|Отказ от работы, торговых связей, от участия в чем–нибудь как способ политической и экономической борьбы
бойкот|Прекращение отношений с кем–нибудь в знак протеста против чьего–нибудь поведения, поступка
бойкотировать|Подвергнуть бойкоту
бойлер|Водонагревающее устройство в системе снабжения теплом и горячей водой
бойлерная|Помещение, где находится бойлер
бойница|Отверстие для стрельбы в оборонительном сооружении, в стене
бойничный|Относящийся к бойнице
бойня|Предприятие по убою скота
бойня|Массовое избиение, резня, убийство
боенский|Относящийся к боенской обработке
бойцовский|О поведении, характере: решительный и смелый, такой, как у бойца
бок|Правая или левая сторона туловища, тела
бок|Одна из сторон предмета, кроме передней и задней, а также кроме верха и низа
бочок|Уменьшительное от бок; боковая часть
боковой|Расположенный сбоку, направленный вбок
боковушка|Небольшая боковая комната, помещение в стороне, сбоку от чего–нибудь
боком|Плечом вперед, косо, боком
бокс|Вид спорта: единоборство — кулачный бой в специальных боксерских перчатках
бокс|Мужская прическа с коротко подстриженными висками и затылком
бокс|Изолятор в лечебном учреждении
боксовый|Относящийся к боксу, изолятору
боксёр|Спортсмен, занимающийся боксом
боксёр|Короткошерстая сильная служебная собака с тупой мордой, немецкий бульдог
боксировать|Заниматься боксом, драться по правилам бокса
боксит|Горная порода, содержащая глинозем, алюминиевая руда
бокситовый|Относящийся к бокситу
болван|Грубо обтесанный обрубок дерева, чурка
болван|Жесткая форма для расправления шляп, париков
болван|Тупица, неуч
болван|В некоторых карточных играх: воображаемый игрок, на чье незанятое место сдаются карты, которыми распоряжаются другие игроки
болванчик|Уменьшительное от болван; фигурка, изображающая сидящего божка
болваночный|Относящийся к болванке
болванка|Заготовка для изделий — отлитый в форму слиток металла, а также кусок дерева или другого материала
болгарский|Относящийся к болгарам, их языку, национальному характеру, культуре, а также к Болгарии, её территории, внутреннему устройству, истории
болгарский|Язык южнославянской группы индоевропейской семьи
болгарка|Женщина из болгар
болгары|Южнославянский народ, составляющий основное население Болгарии
болевой|Относящийся к боли
более|То же, что больше
более|В сочетании с прилагательными и наречиями обозначает сравнение
болезненный|Возникший вследствие болезни, склонный к болезни, нездоровый
болезненный|Неестественный, ненормальный, чрезмерный
болезненный|Вызывающий боль
болезненность|Качество болезненного состояния
болезнетворный|Вызывающий болезнь
болезнь|Расстройство здоровья, нарушение деятельности организма
болельщик|Любитель наблюдать спортивные состязания, а также человек, болеющий за кого–нибудь
болельщица|Женщина, любящая наблюдать спортивные состязания, болеющая за кого–нибудь
болельщицкий|Относящийся к болельщику
