одноконный|Запрягаемый одной лошадью  
однократный|Происшедший или сделанный один раз  
однократный|Глагол, называющий действие, совершаемое мгновенно  
однократность|Свойство происходить или совершаться один раз  
однокрылый|Имеющий одно крыло или одну пару крыльев  
однокрылый|О растениях: имеющий сухой вырост на плоде, семечке, способствующий его перемещению по ветру  
однокурсник|Студент того же курса, на котором кто–нибудь учится или учился  
однокурсница|Студентка того же курса, на котором кто–нибудь учится или учился  
однолетний|О растениях: развивающийся и отмирающий в течение одного года  
однолетник|Однолетнее растение  
однолеток|Человек одних лет с кем–нибудь, ровесник  
однолюб|Человек, который всю жизнь верен одной своей любви  
однолюбка|Женщина, которая всю жизнь верна одной своей любви  
одномерный|Имеющий одно измерение  
одномерность|Свойство иметь одно измерение  
одноместный|Предназначенный для временного пребывания, нахождения кого–нибудь одного  
одноногий|О человеке, двуногом животном: имеющий только одну ногу  
одноногий|О предмете, устройстве: с одной ножкой, опорой  
однообразный|Постоянно такой же, не меняющийся  
однообразие|Свойство постоянства, неизменности  
однообразность|Свойство постоянства, неизменности  
однопалатный|О структуре высшего органа государственной власти: имеющий одну палату  
однопалый|Имеющий один палец на руке или ноге  
однопартийный|Об общественной системе: имеющий только одну политическую партию  
однополчанин|Товарищ по полку, а также вообще человек, с которым вместе служил в армии  
однополчанка|Женщина, с которой вместе служили в армии  
однополый|О живом существе, организме: имеющий один и тот же пол  
однополый|О цветке: обладающий признаками только одного пола  
однопутка|То же, что одноколейка  
однопутный|То же, что одноколейный  
одноразовый|То же, что разовый  
одноразовость|Свойство быть предназначенным для одного раза  
однородный|Относящийся к тому же роду, разряду, одинаковый  
однородные члены предложения|Члены предложения, выполняющие одинаковую синтаксическую функцию  
однородность|Свойство быть одинаковым, однородным  
однорядка|Старинная мужская одежда — однобортный кафтан без воротника  
односельчанин|Человек, который живет с кем–нибудь в том же селе, деревне или происходит из одного села, деревни  
односельчанка|Женщина, которая живет с кем–нибудь в том же селе, деревне или происходит из одного села, деревни  
односложный|Состоящий из одного слога  
односложный|Лаконичный и короткий, немногословный  
односложность|Свойство состоять из одного слога или быть лаконичным  
односпальный|Предназначенный для спанья одного человека  
одноствольный|С одним стволом  
односторонний|С двумя неравноценными сторонами  
односторонний|Имеющий место, осуществляющийся с одной стороны  
односторонний|Ограниченный, направленный только в одну сторону  
односторонность|Состояние ограниченности, направленности только в одну сторону  
однотипный|Сходный по типу с другим  
однотипность|Сходство по типу с другим  
однотомник|Однотомное издание  
однотомный|В одном томе  
однофамилец|Человек, который, не состоя в родстве, носит одинаковую с кем–нибудь фамилию  
однофамилица|Женщина, которая, не состоя в родстве, носит одинаковую с кем–нибудь фамилию  
одноцветковый|О растениях: имеющий один цветок  
одноцветный|Одного цвета, окрашенный в один цвет  
одноцветность|Свойство быть одного цвета  
одночастный|Состоящий из одной части  
одночасье|Сразу, вдруг  
одночлен|Алгебраическое выражение, являющееся числом или произведением числа и букв  
одношёрстный|О животных: с шерстью только одной окраски  
одобрение|Похвала, одобрительный отзыв  
одобрительный|Содержащий в себе, выражающий одобрение  
одобрительность|Свойство выражать одобрение  
одобрить|Признать хорошим, правильным, допустимым  
одолеть|Пересилить, побороть  
одолеть|Затратив много труда, преодолеть что–нибудь, овладеть чем–нибудь  
одолеть|О каком–нибудь тяжелом, неприятном состоянии: целиком охватить  
одолеть|Лишить покоя, замучить  
одолевать|Пытаться пересилить, преодолеть  
одоление|Совершаемое пересиливание, преодоление  
одолжаться|Пользуясь чьим–нибудь одолжением, становиться в положение обязанного чем–нибудь  
одолжение|Услуга, помощь  
одолжить|Дать взаймы  
одолжить|Оказав одолжение, услугу, обязать благодарностью  
одалживать|Давать взаймы  
одолимый|Такой, что можно одолеть, преодолеть  
одомашнить|Приручить дикое животное, сделать домашним  
одомашнивать|Приручать дикое животное, делать домашним  
одомашнивание|Процесс приручения, становления домашним  
одр|Постель, ложе  
одревеснеть|О клетках растений: отвердев, приобрести свойства древесины  
одревесневание|Процесс приобретения клетками растений свойств древесины  
одрябнуть|Становиться дряблым  
