озаглавить|Дать заглавие  
озадаченный|Удивленный, недоумевающий  
озадачить|Привести в недоумение, затруднить, смутить  
озадачить|Дать задачу, задание  
озарение|Внезапное прояснение сознания, ясное понимание чего–нибудь  
озарить|Ярко осветить  
озарить|Неожиданно прийти на ум кому–нибудь, прояснить что–нибудь кому–нибудь  
озариться|Ярко осветиться  
озверелый|Жестокий, злой как зверь  
озвучить|Записать звуковое сопровождение (фильма) отдельно от съемки  
оздоровить|Сделать здоровым; улучшить санитарное состояние чего–нибудь  
оздоровить|Улучшить, привести в нормальное, благоприятное состояние  
озеленитель|Специалист по озеленению  
озеленить|Произвести посадку деревьев, кустов, декоративных растений на каком–нибудь пространстве  
оземь|На землю, об землю  
озеро|Замкнутый в берегах большой естественный водоем  
озимый|Об однолетних растениях: засеваемый осенью, зимующий под снегом  
озимь|Озимый посев, его всходы  
озировать|Осматривать, окидывать взором  
озироваться|Бросать взгляды в разные стороны  
озлобить|Ожесточить, сделать злобным  
озлобиться|Ожесточиться, стать злобным  
озлобление|Состояние крайнего раздражения, озлобленность  
озлобленный|Озлобившийся, злобно настроенный, выражающий злобу  
ознакомлять|Знакомить кого–нибудь с чем–нибудь  
ознакомляться|Знакомиться с чем–нибудь  
ознаменовать|Торжественно отметить устройством чего–нибудь, достижениями в чем–нибудь  
ознаменоваться|Стать примечательным вследствие чего–нибудь  
означать|То же, что обозначать  
означенный|Такой, который указан, назван  
озноб|Дрожь при лихорадке, болезненное ощущение холода  
ознобить|Немного обморозить  
озон|Газ с резким запахом, соединение трех атомов кислорода, употребляется для очищения воздуха, воды, а также в технике  
озонатор|Аппарат для получения озона, а также для обеззараживания воды и обогащения воздуха озоном  
озонировать|Обратить в озон  
озонировать|Обогатить озоном, обеззаразить при помощи озона  
озорник|Тот, кто озорничает  
озорничать|Заниматься озорством  
озорной|Склонный к озорству, полный озорства  
озорство|Непозволительная шалость, задорное, нарушающее порядок поведение  
ой|Выражает испуг, удивление, боль  
ой|Усиливает слово, к которому примыкает одно или вместе с местоименными словами “как”, “какой”  
ой ли|Выражение сомнения, недоверия, верно ли, так ли  
ойкать|Произносить, кричать “ой”  
оказать|В сочетании с некоторыми существительными обозначает действие по значению данного существительного  
оказать|Обнаружить, проявить  
оказаться|Обнаружиться, явиться кем–нибудь, выявиться  
оказаться|Очутиться, найтись  
оказаться|Очутиться где–нибудь, в каком–нибудь положении  
оказия|Удобный случай для посылки, отправки чего–нибудь с кем–нибудь  
оказия|Редкий, необычный случай, неожиданность  
оказываться|Становиться очевидным, как выясняется  
окаймить|Обвести каймой  
окалина|Продукт окисления, образующийся на поверхности стали и некоторых других сплавов  
окаменелость|Ископаемые окаменелые остатки животных или растений  
окаменелый|Превратившийся в камень, окаменевший  
окаменелый|Неподвижный, безжизненный  
окантовка|Полоска, которой окантован рисунок, фотография, кант
