окаймить|Обвести каймой
окаймлять|Обводить каймой
окаймление|Действие по значению обвести каймой
окалина|Продукт окисления, образующийся на поверхности стали и некоторых других сплавов
окаменелость|Ископаемые окаменелые остатки животных или растений
окаменелый|Превратившийся в камень, окаменевший
окаменелый|Неподвижный, безжизненный
окантовать|Обработать край чем-либо, сделать кант, окантовку
окантовка|Полоска, которой окантован рисунок, фотография, кант
окантовочный|Служащий для окантовки, относящийся к окантовке
оканчивать|Доводить до конца, завершать какое-либо действие
оканчиваться|Завершаться, доходить до конца
оказывать|Делать, совершать какое-либо действие, проявлять что-нибудь по отношению к кому-нибудь или чему-нибудь
оказываться|Оказываться в каком-либо положении, состоянии, месте
окармливать|Давать корм кому-нибудь
окатить|Облить сразу большим количеством чего-нибудь
окатывать|Обливать сразу большим количеством чего-нибудь
окатиться|Облиться сразу большим количеством чего-нибудь
окатываться|Обливаться сразу большим количеством чего-нибудь
окатыш|Комочек измельченного рудного концентрата
окатышевый|Относящийся к окатышам
окать|Говорить, сохраняя в произношении различие между неударяемыми гласными "о" и "а"
оканье|Говор, в котором сохраняется различие между неударяемыми гласными "о" и "а"
окаянный|Отверженный, проклятый
окаянный|Бранное и осудительное слово
океан|Весь водный покров Земли, окружающий материки и острова
океан|Водное пространство, омывающее материк или находящееся между материками
океанский|Относящийся к океану
океанический|Относящийся к океану
океанавт|Исследователь океанских глубин
океанариум|Бассейн, в котором содержатся в целях наблюдения и изучения морские животные и рыбы
океанарий|Бассейн, в котором содержатся в целях наблюдения и изучения морские животные и рыбы
океанариумный|Относящийся к океанариуму
океанолог|Специалист по океанологии
океанология|Совокупность наук о Мировом океане
океанологический|Относящийся к океанологии
окей|Выражение согласия, подтверждения, одобрения; все хорошо, все в порядке
окинуть|Окинуть взором кого-нибудь или что-нибудь — осмотреть, как бы обнять взглядом
окидывать|Осматривать, как бы обнимать взглядом
окисел|Соединение химического элемента с кислородом, оксид
окисление|Химическая реакция соединения вещества с кислородом или с другим веществом, способным принимать электроны
окислитель|Вещество, способное производить окисление
окислить|Подвергнуть окислению
окислять|Подвергать окислению
окислительный|Обеспечивающий или относящийся к окислению
окислиться|Подвергнуться окислению
окисляться|Подвергаться окислению
окись|Соединение элементов средней степени окисления с кислородом
окисный|Относящийся к соединениям средней степени окисления
окказиональный|Случайный, единичный
окказиональность|Свойство быть случайным, единичным
оккупант|Участник оккупации, захватчик
оккупантский|Относящийся к оккупантам
оккупация|Временное отторжение, захват чужой территории военной силой
оккупация|Период такого захвата и пребывания гражданского населения на захваченной территории
оккупационный|Относящийся к оккупации
оккупировать|Произвести или осуществлять оккупацию чего-нибудь
оклад|Размер заработной платы
оклад|Размер какого-нибудь денежного сбора, налога
окладной|Относящийся к размеру какого-либо сбора, налога
оклад|Тонкое металлическое покрытие на иконе, риза, а также такое покрытие на старинном книжном переплете
окладистый|О бороде: широкий и густой
оклеветать|Опорочить клеветой
оклеить|Покрыть чем-нибудь, наклеивая
оклеивать|Покрывать чем-нибудь, наклеивая
склеивание|Соединение при помощи клея
оклейка|Процесс оклейки, результат оклеить
оклематься|Выздороветь, прийти в себя после болезни, недомогания
оклик|Возглас, которым окликают
окликнуть|Крикнув, остановить или подозвать кого-нибудь
окликать|Кричать, останавливать или подозвать кого-нибудь
окно|Отверстие в стене для света и воздуха, а также рама со стеклом, закрывающая это отверстие
окно|Отверстие в разделяющей что-нибудь стенке, перегородке
окно|Просвет, отверстие в чем-нибудь
окно|Ничем не занятое время, промежуток в цикле работ, в учебном расписании
оконце|Маленькое окно
оконный|Относящийся к окну
око|То же, что глаз
оковать|Обить слоем металла
оковать|Сделать неподвижным, заставить замереть
оковать|Надеть оковы на кого-нибудь
оковы|То же, что кандалы
оковы|То, что сковывает, связывает деятельность
оковывание|Обивание металлическим слоем или наложение оков
оковка|Металлическое обивание по краю, наложение оков
околоть|Разделить на части ударами, колоть около чего-нибудь
околотить|Пробить, обстучать со всех сторон
околачиваться|Ходить, находиться где-нибудь без дела, зря
околдовать|Подчинить сверхъестественным силам, напустив колдовские чары
околдовать|Очаровать, увлечь
околдовывать|Очаровывать, подчинять колдовскими чарами
околесица|Бессмыслица, вздор
околеть|Умереть, издохнуть
околевать|Умирать, издыхать
околёсная|Говорить бессмыслицу, вздор
околица|Изгородь вокруг деревни или у края деревни; вообще край деревни
околица|Место вокруг селения, рядом с ним, окружающая местность
околица|Окольная дорога
околичный|Относящийся к околице или к местам вокруг селения
околичность|Намеренная недомолвка, намек
около|Поблизости, вблизи
около|Рядом с кем–нибудь или чем–нибудь
около|Указывает на приблизительность меры, количества, времени
околоземный|Находящийся около Земли, окружающий Землю
окололитературный|Имеющий лишь внешнее отношение к литературе, к литературной среде
