окреститься|См. креститься
окрестность|Местность, прилегающая к чему–нибудь, окружающее пространство
окрестность|В окрестности чего – недалеко от, близ чего–нибудь
окрестный|Находящийся или живущий в окрестности
окрик|Возглас, которым окрикивают, окликают кого–нибудь, громкий оклик
окрик|Резкий возглас с приказанием, выговором, угрозой
окрикнуть|Громко окликнуть кого–нибудь
окровавить|Залить, испачкать кровью кого–нибудь или что–нибудь
окровавиться|Залиться, испачкаться кровью
окровенеть|Намокнуть от крови
окровенить|То же, что окровавить
окрол|Роды крольчихи
окропить|См. кропить
окроплять|То же, что кропить
окрошка|Холодное кушанье из кваса с разной зеленью и мелко нарубленным мясом или рыбой
окрошка|Беспорядочная смесь
окрошечный|Относящийся к окрошке как холодному кушанью
округ|Административное, политическое, военное, хозяйственное подразделение государственной территории
округ|Судебный орган, действующий в округе из двух–трех уездов (в России до революции)
округ|То же, что округа
округлый|Похожий на круг или часть круга, круглой формы
округлость|Что–нибудь округлое, выпуклость
округа|Окружающая местность
округлить|Сделать круглым, округлым
округлить|Выразить в круглых цифрах
округлить|Довести до значительных размеров
округлитьcя|Стать круглым, округлым
округлитьcя|Выразиться в круглых цифрах
округлитьcя|Достигнуть значительного размера
округление|Процесс или результат округлять, округлить
округлять|Делать круглым, округлым
округляться|Становиться круглым, округлым
окружать|Составлять чью–нибудь среду, находиться в числе тех, с кем кто–нибудь постоянно общается
окружать|О постоянных, определяющих условиях существования кого–нибудь или чего–нибудь; иметься, наличествовать
окружающий|Находящийся вокруг кого–нибудь или чего–нибудь; составляющий чью–нибудь среду
окружающий|То, что окружает, среда, обстановка
окружающие|Люди, которые окружают кого–нибудь
окружение|Полная изоляция группировки противника от его остальных войск в целях уничтожения или пленения
окружение|То, что окружает, окружающая обстановка
окружение|Окружающие люди, среда
окружение|В окружении кого–чего – в сопровождении кого–чего–нибудь, среди кого–чего–нибудь
окружить|Расположиться, стать вокруг кого–нибудь или чего–нибудь или обвести чем–нибудь вокруг кого–нибудь или чего–нибудь, заключив в замкнутый круг
окружить|Создать вокруг кого–нибудь какую–нибудь обстановку, условия, установить к кому–нибудь то или иное отношение
окружить|Приблизить к кому–нибудь каких–нибудь лиц, группу лиц
окружной|Расположенный по окружности, идущий вокруг чего–нибудь
окружной|Находящийся в округе, в окрестностях
окружность|В математике: замкнутая на плоскости кривая, все точки которой равно удалены от центра
окружность|Линия измерения округлых, кругообразных поверхностей и предметов
окружность|Окружающая местность, округа
окружность|В окружности чего – кругом, в окрестности чего–нибудь
окрутить|То же, что обмотать
окрутить|Хитрыми уловками привлечь к себе, подчинить
окрутить|Обвенчать, повенчать
окрутиться|То же, что обмотаться
окрутиться|Обвенчаться, повенчаться
окрылять|Воодушевлять, вдохновлять кого–нибудь
окрылить|То же, что воодушевить
окрыление|Процесс или результат окрылять, окрылить
окрыляться|Воодушевляться, вдохновляться
окрылиться|То же, что воодушевиться
окрыситься|Злобно, раздраженно ответить; рассердиться на кого–нибудь
оксид|То же, что окисел
оксидировать|Подвергнуть искусственному окислению (поверхность металлического изделия для предохранения от коррозии или для придания красивого внешнего вида)
оксидирование|Процесс оксидирования
оксидировка|То же, что оксидирование
оксидировка|Оксидированный слой на поверхности металла
октава|В музыке: восьмая ступень гаммы, а также интервал, охватывающий восемь ступеней звукоряда
октава|Очень низкий бас
октава|Восьмистишие, в котором первые шесть стихов объединены двумя перекрестными рифмами, а два последних – смежной рифмой
октет|Музыкальное произведение для восьми исполнителей с самостоятельными партиями для каждого
октет|Ансамбль из восьми исполнителей
октябрёнок|Школьник до пионерского возраста
октябрь|Десятый месяц календарного года
октябрь|Революционный переворот, совершенный в России в октябре 1917 года
окулировать|Сделать прививку на диком плодовом или декоративном растении посредством глазка
окулировка|Процесс окулирования
окулист|Врач – специалист по глазным болезням
окультурить|Сделать культурным
окультуривать|Делать культурным
окультуривание|Процесс окультуривать, окультурить
окуляр|В оптическом приборе: часть, обращённая к глазу наблюдателя
окунеобразные|Отряд костистых рыб
окунуть|Погрузить в жидкость
окунуться|Погрузиться в жидкость
окунуться|Предаться, целиком отдаться чему–нибудь
окунать|Погружать во что–нибудь жидкое
окунаться|Погружаться во что–нибудь жидкое
окунь|Рыба с красноватыми нижними плавниками
окуневый|Относящийся к окуню
окупаемость|Способность, возможность окупиться
окупить|Возместить что–нибудь истраченное
окупать|Возмещать что–нибудь истраченное
