окунуться|Предаться, целиком отдаться чему–нибудь
окунь|Рыба с красноватыми нижними плавниками
окупаемость|Способность, возможность окупиться
окупить|Возместить что–нибудь истраченное
окупиться|О расходах: возместиться; затраченные усилия окупятся (переносное)
окургузить|Сделать слишком коротким, кургузым
окурить|Обдать дымом при сжигании, курении
окурок|Остаток выкуренной сигареты, папиросы, сигары
окутать|Кутая, обернуть
окутать|Обволочь, плотно окружить, охватить
окучить|Взрыхляя землю вокруг растения, окружить ею нижнюю часть стебля
окучник|Сельскохозяйственное орудие для окучивания и подкормки картофеля
оладья|Толстая мягкая лепешка из пшеничной муки, изжаренная на сковороде
олеандр|Южный вечнозеленый кустарник с удлиненными кожистыми листьями и с красными, розовыми или белыми цветками
оледенение|Совокупность ледников, а также процесс расширения их площади
оледенеть|Покрыться слоем льда
оленевод|Человек, занимающийся разведением оленей; специалист по оленеводству
оленеводство|Разведение оленей как отрасль животноводства
оленёнок|Детёныш оленя
оленина|Мясо оленя как пища
оленуха|Самка оленя
олень|Крупное парнокопытное животное с ветвистыми рогами
олеография|Способ многокрасочной литографии с картины, писанной масляными красками
олива|Вечнозеленое дерево (маслина культурная), а также плод его
оливка|Вечнозеленое дерево (маслина культурная), а также плод его
оливково...|Первая часть сложных слов со значением оливковый, с оливковым оттенком
оливковый|Желто–зелёный с коричневатым оттенком, цвета оливки
олигарх|Правитель олигархии
олигарх|Представитель финансово–промышленного капитала
олигархия|Государство, в котором у власти стоит аристократическая верхушка
олигархия|Политическое и экономическое господство небольшой группы представителей крупного финансово–промышленного капитала, а также такая группа
олимп|В древнегреческой мифологии: гора, на которой обитали боги, а также собрание богов
олимп|Избранная верхушка какого–нибудь общества
олимпиада|В Древней Греции: промежуток в четыре года между олимпийскими играми
олимпиада|То же, что олимпийские игры
олимпиада|Соревнования, состязания – спортивные, художественные или в области каких–нибудь знаний
олимпиец|В древнегреческой мифологии: бог, обитатель Олимпа
олимпиец|Спортсмен – участник современных олимпийских игр
олимпийский|Олимпийские игры – всенародные игры в Древней Греции в честь бога Зевса, устраивавшиеся раз в четыре года близ Олимпии, а также современные международные соревнования непрофессиональных спортсменов по всем основным видам спорта с такой же периодичностью
олимпийский|Олимпийское спокойствие – величавое, невозмутимое спокойствие
олифа|Быстровысыхающий состав из растительных масел или жирных смол, употребляемый для изготовления масляных красок, шпаклёвок, для пропитки деревянных поверхностей
олицетворение|О живом существе: воплощение каких–нибудь черт, свойств
олицетворить|Выразить, представить в образе живого существа
олицетворить|Воплотить, выразить в какой–нибудь форме
олово|Химический элемент, мягкий ковкий серебристо–белый металл
олух|Глупый, непонятливый человек, дурак
ольха|Лиственное дерево или кустарник семейства берёзовых
ольховник|То же, что ольшаник
ольшаник|Заросль ольхи
ом|Единица электрического сопротивления
омар|Крупный морской рак
омега|Название последней буквы греческого алфавита
омела|Вечнозелёный кустарник с белыми ягодами, растущий паразитом на деревьях
омерзение|Чувство гадливости, отвращения
омерзеть|Стать мерзким, опостылеть
омерзительный|Внушающий омерзение, очень скверный
омертвелый|Утративший чувствительность, безжизненный
