омерзение|Чувство гадливости, отвращения
омерзеть|Стать мерзким, опостылеть
омерзительный|Внушающий омерзение, очень скверный
омерзительность|Свойство быть омерзительным
омертвелый|Утративший чувствительность, безжизненный
омертвелость|Состояние утраты чувствительности, безжизненности
омертвить|Сделать нечувствительным, безжизненным
омерщвлять|Делать нечувствительным, безжизненным
омертвление|Действие по значению "сделать нечувствительным, безжизненным"
омесяниться|Стать мещанином по взглядам, привычкам, образу жизни
омесяниваться|Становиться мещанином по взглядам, привычкам, образу жизни
омёт|Большой круглый скирд соломы
омический|Относящийся к Омску
омлет|Яичница из взболтанных с молоком (или с мукой и молоком) яиц
омлетный|Относящийся к омлету
омнибус|Многоместный конный экипаж для перевозки пассажиров
омнибусный|Относящийся к омнибусу
омовение|Обряд ритуального очищения водой у мусульман, совершаемый перед молитвой; в христианстве в четверг на страстной неделе после литургии – обряд смывания ног священнослужителям, совершаемый архиереем
омолодить|Сделать более молодым по жизнедеятельности, по внешнему виду; ввести молодых, молодежь в состав чего–нибудь
омолодить|Ввести молодых, молодежь в состав чего–нибудь
омолаживать|Делать более молодым по жизнедеятельности, по внешнему виду; вводить молодых, молодежь в состав чего–нибудь
омоложение|Действие по значению "делать более молодым по жизнедеятельности, по внешнему виду"; введение молодых, молодежи в состав чего–нибудь
омолодиться|Стать моложе по жизнедеятельности, по внешнему виду; стать более молодым по составу членов, участников чего–нибудь
омолаживаться|Становиться моложе по жизнедеятельности, по внешнему виду; становиться более молодым по составу членов, участников чего–нибудь
омоновец|Служащий отряда милиции особого назначения
омоновский|Относящийся к отряду милиции особого назначения
омон|Отряд милиции особого назначения
омоним|Слово, совпадающее с другим по звучанию, но полностью расходящееся с ним по значению, а также по системе форм или по составу гнезда
омонимический|Относящийся к омонимам
омонимичный|Свойственный омонимии, содержащий или имеющий омонимы
омонимия|Совокупность омонимов какого–нибудь языка, а также отношения, существующие между омонимами
омочить|Сделать мокрым, влажным
омочиться|Стать мокрым, влажным от чего–нибудь
омрачить|Сделать мрачным, грустным
омрачать|Делать мрачным, грустным
омрачиться|Стать мрачным
омрачаться|Становиться мрачным
омуль|Рыба рода сигов
омулевый|Относящийся к омулям
омут|Водоворот на реке, образуемый встречным течением; глубокая яма на дне реки, озера
омшаник|Утепленное помещение для зимовки пчёл
омывать|Об окружающих водах: окружать собой
омыление|Разложение некоторых органических соединений водой или щелочами
омыть|То же, что обмыть; омывать
омыть|Окропить водой, смыть
омыться|Омовение водой; очищение водой
он|Местоимение личное третьего лица — служит для обозначения лица (исключая говорящего и собеседника), предмета речи, а также, при обобщении, указывает на любого, каждого; в диалоге употребляется для обозначения собеседника, как бы отстраняемого от ситуации и осуждаемого; употребляется вместо "он" или "она" в почтительно-подобострастной речи; возлюбленный, возлюбленная; тот, о ком говорят, опасаясь называть; указательное — на предмет речи или мысли, на то, о чём уже упоминалось; то самое событие или дело, решение, которое ожидалось; в сочетании с "вот" указывает именно на того, о ком или о чём идет речь
онанизм|Искусственное возбуждение своих половых органов для удовлетворения полового чувства
онанист|Человек, страдающий онанизмом
онанистка|Женщина, страдающая онанизмом
онанистский|Относящийся к онанистам
ондатра|Родственное полёвке полуводное животное — грызун с ценным тёмным мехом (мускусная крыса), а также мех его
ондатровый|Относящийся к ондатре
онемелый|Онемевший, затекший
онемелость|Состояние онемения, затекания
онеметить|Сделать похожим на немцев по языку, обычаям
онемечивать|Делать похожим на немцев по языку, обычаям
онемечение|Процесс становления похожим на немцев по языку, обычаям
онёр|Со всеми необходимыми принадлежностями
они|Местоимение личное третьего лица — они
оникс|Минерал, разновидность агата
ониксовый|Относящийся к ониксу
онколог|Врач — специалист по онкологии
онкология|Медико-биологическая наука, занимающаяся опухолями, их распознаванием, лечением и профилактикой
онкологический|Относящийся к онкологии
оно|Местоимение среднего рода, употребляется в значении "это"; частица, выражающая принятие при некотором внутреннем несогласии, готовности к оговорке; то самое событие или дело, которое ожидалось; указание на полученное понимание
ономастика|Совокупность собственных имён какого–нибудь языка; раздел языкознания, изучающий собственные имена
ономастический|Относящийся к ономастике
онтология|Философское учение об общих категориях и закономерностях бытия, существующее в единстве с теорией познания и логикой
онтологический|Относящийся к онтологии
онуча|Длинная широкая полоса ткани для обмотки ноги (при обувании в лапти)
оный|Тот, тот самый; вышеупомянутый; когда-то очень давно
опак|Высший сорт фаянса
опаковый|Относящийся к опаку
опал|Минерал, бледный стекловидный камень, некоторые сорта которого считаются драгоценными
опаловый|Относящийся к опалу
