опадать|Осыпаться; уменьшаться в объеме
опаздывать|Не успевать вовремя, приходить позже назначенного времени
опаивать|Давать пить, поить чем–нибудь
опак|Высший сорт фаянса
опал|Минерал, бледный стекловидный камень, некоторые сорта которого считаются драгоценными
опала|В старину: немилость царя, князя к кому–нибудь, а также наказание впавшему в немилость
опала|То же, что немилость
опалить|Обжечь себе кожу, волосы или одежду
опалиться|Обжечь себе кожу, волосы или одежду
опаловый|Сделанный из опала
опаловый|Молочно–голубой, цвета опала
опалубить|Подготовить опалубку; обить, обложить чем–нибудь снаружи какое–нибудь сооружение
опалубка|Действие по подготовке опалубки
опалубка|Форма будущей бетонной или железобетонной конструкции, наполняемая арматурой и бетонной смесью
опальный|Находящийся в опале
опамятоваться|Опомниться, одуматься
опара|Жидкая закваска для теста из дрожжей и небольшого количества муки
опаршиветь|Сделаться паршивым, потерять опрятность, значение, силу
опасаться|Бояться кого–чего–нибудь или делать что–нибудь
опасение|Чувство тревоги, беспокойство, предчувствие опасности
опаска|Осторожность в предвидении чего–нибудь нежелательного, опасности
опасливый|Действующий с опаской, настороженный, недоверчивый
опасность|Возможность, угроза чего–нибудь очень плохого, какого–нибудь несчастья
опасный|Способный вызвать, причинить какой–нибудь вред, несчастье
опасть|Осыпаться; уменьшиться в объеме
опахало|Приспособление для обмахивания во время жары, веер
опахать|Вспахать землю вокруг чего–нибудь
опахнуть|Обдать струей воздуха
опахнуть|Махнуть чем–нибудь, обдав дуновением
опекать|Осуществлять опеку над кем–нибудь
опекать|Заботиться, иметь попечение о ком–нибудь
опекать|В некоторых спортивных командных играх: неотступно следить за одним из игроков соперника, подавлять его активность
опека|Форма охраны личных и имущественных прав недееспособных лиц
опека|Лица или учреждения, на которые возложена такая охрана
опека|Забота, попечение
опекун|Лицо, которому поручена опека над кем–нибудь
опекунство|Обязанности опекуна
опер...|Первая часть сложных слов со значением «оперативный», например: оперотряд, опергруппа, оперсводка, оперуполномоченный
опера|Музыкально–драматическое произведение, в котором действующие лица поют в сопровождении оркестра
опера|Представление такого произведения на сцене
операбельный|Такой, который может быть оперирован, поддается операции
оперативка|Краткое оперативное совещание по вопросам текущих дел, работы
оперативник|Сотрудник милиции, занимающийся оперативной работой по расследованию правонарушений
оперативный|Непосредственно, практически осуществляющий что–нибудь
оперативный|Способный быстро, вовремя исправить или направить ход дел
оператор|Врач–хирург, производящий операции
оператор|Специалист, управляющий работой какого–нибудь сложного устройства, оборудования
оператор|Специалист, производящий кино– или телесъемку
операционная|Помещение, где производятся операции
операция|Лечебная помощь, выражающаяся в непосредственном механическом воздействии на ткани, органы
операция|Координированные военные действия разнородных войск, объединенные единой целью
операция|Отдельное действие в ряду других подобных
опередить|Обогнать кого–нибудь, что–нибудь
оперение|Перьевой покров птиц
оперение|Аэродинамические поверхности, обеспечивающие устойчивость и управляемость летательного аппарата
оперетта|Музыкально–драматическое произведение, в котором пение чередуется с танцами и диалогом
оперетта|Представление такого произведения на сцене
опереть|Прислонить к чему–нибудь для поддержки, придания устойчивости
опереться|Воспользоваться чем–нибудь как опорой
опереться|Воспользоваться кем– или чем–нибудь в качестве поддержки
опереться|Воспользоваться чем–нибудь в качестве основы для рассуждений, источника информации
оперировать|Подвергнуть операции кого–нибудь, что–нибудь; делать операцию
оперировать|Совершать какие–нибудь военные операции, действовать
оперировать|Пользоваться при выводах, доказательствах чем–нибудь
