опоганить|см. поганить
оподлеть|см. подлеть
оподлиться|Стать подлым, низким
опойок|Шкура молочного теленка, а также выделанная из нее кожа
опоздание|Приход, наступление чего–нибудь позднее установленного срока
опоздать|Прибыть, появиться позже, чем нужно
опоздать|Сделать что–нибудь позже, чем нужно, или, упустив время, не сделать чего–нибудь
опознать|Узнать по каким–нибудь признакам, приметам
опоить|Напоить чрезмерно, причинив вред
опоить|Отравить ядовитым напитком
опоковый|см. опоек
опока|Рама с формовочной смесью, в которой сделана полость для заливки металлом
опока|Легкая и твердая пористая горная порода, богатая кремнеземом
оползень|Сползание со склона большого пласта земли под действием воды, влаги, а также сам такой пласт
оползти|Осесть, дать оползень
оползти|Проползти в обход, вокруг кого–чего–нибудь
ополовинить|Убавить наполовину
ополоскать|То же, что ополоснуть
ополоснуть|Полоща, обмыть
ополоуметь|Стать полоумным, одуреть
ополченец|Человек, вступивший в ополчение
ополчение|Военное формирование, создаваемое в помощь действующей армии, преимущественно на добровольных началах
ополчение|В царской армии: войсковой резерв из лиц, не состоящих на военной службе или вышедших по возрасту из запаса
ополчить|Восстановить против кого–чего–нибудь
ополчиться|Накинуться с нападками, начать действовать враждебно по отношению к кому–нибудь
опомниться|Прийти в сознание, вернуть себе самообладание
опомниться|То же, что одуматься
опор|Во весь опор (скакать, мчаться, нестись) – очень быстро, вскачь
опора|Место, на котором можно утвердить, укрепить что–нибудь для придания прочного, постоянного положения, а также предмет, служащий для поддержки чего–нибудь, подпорка
опора|Сила, поддерживающая кого–что–нибудь, помощь и поддержка в чем–нибудь
опорки|Остатки стоптанной и изодранной обуви, едва прикрывающие ноги
опорки|Изношенные сапоги с отрезанными по щиколотку голенищами
опорник|Человек, страдающий заболеванием или дефектом опорно–двигательного аппарата
опорожнить|Освободить от содержимого
опорос|Роды свиньи и самок некоторых других животных
опорочивать|То же, что порочить
опосредованный|Данный не непосредственно, а через посредство чего–нибудь другого
опоссум|Сумчатое млекопитающее, родственное крысе
опостылеть|Стать постылым, очень надоесть
опохмелиться|Выпить хмельного на другой день после выпивки
опочивальня|То же, что спальня
опочить|Заснуть, погрузиться в сон
опочить|То же, что умереть
опошлить|Сделать пошлым; исказить, представив мелким, ничтожным
опошлить|Частым и не всегда уместным употреблением сделать банальным, избитым, слишком заурядным
опошлиться|Стать пошлым
опошлиться|Стать банальным, избитым, слишком заурядным вследствие частого и не всегда уместного употребления
опоясать|Надеть на кого–нибудь пояс или оружие на поясе
опоясать|Протянуться вокруг чего–нибудь, окружить собой
оппозиционер|Сторонник оппозиции, член оппозиционной партии
оппозиция|Противодействие, сопротивление
оппозиция|Группа лиц внутри какого–либо общества, организации, партии, ведущая политику противодействия, сопротивления большинству
оппозиция|Противопоставление, противопоставленность
оппонент|Лицо, которое оппонирует кому–нибудь
оппонировать|Выступать с критическим разбором чего–нибудь на диспуте, во время защиты диссертации
оппортунизм|В политической борьбе: противопоставление своих взглядов позиции большинства, утверждение необходимости согласия сторон, соглашательства
оппортунист|Тот, кто проводит политику оппортунизма, действует оппортунистически
оправа|Рамка, во что вставляется, вделывается что–нибудь
оправдание|Довод, которым можно оправдать, объяснить, извинить что–нибудь
