ослабевать|То же, что слабеть
ослабелый|Обессилевший, ставший слабым
ослабелость|Обессилевшее, ставшее слабым состояние
ослабить|Сделать слабым, уменьшить силу или силы кого–нибудь или чего–нибудь
ослабить|Сделать менее напряженным или менее строгим, сосредоточенным
ослабить|Сделать менее стянутым, менее натянутым
ослабление|Процесс ослабления, уменьшения силы или напряжения чего–нибудь
ославиться|То же, что прославиться во втором значении
ославляться|Постепенно славиться, приобретать известность (во втором значении)
ослепительный|Очень яркий
ослепительный|Поразительный по своей красоте
ослепительность|Свойство быть очень ярким или поразительным по красоте
ослепить|Сделать слепым, незрячим
ослепить|Временно притупить зрение воздействием сильного света, чем–нибудь ярким
ослепить|Лишить способности здраво, спокойно рассуждать, действовать
ослеплять|Постепенно делать слепым, временно притуплять зрение или лишать способности рассуждать
ослепление|Состояние слепоты или влияние сильного возбуждения, гнева
ослёнок|Детеныш осла
ослизлый|То же, что осклизлый
ослизлость|Свойство быть ослизлым
ослизнуть|То же, что осклизнуть
ослица|Самка осла
осложнение|Явление, событие, осложняющее ход дела
осложнение|Новое проявление болезни или новое заболевание, вызванное этой болезнью
осложнить|Сделать сложным, сложнее
осложнять|Постепенно делать сложным, сложнее
осложняться|Постепенно становиться сложным, сложнее
ослушаться|Не подчиниться чьему–нибудь требованию, распоряжению
ослушиваться|Поступать так, чтобы не подчиниться чьему–либо требованию, распоряжению 
ослушание|Действие ослушаться, непослушание
ослушник|Тот, кто ослушался кого–нибудь, кто поступает своевольно
ослушница|Женщина, которая ослушалась кого–нибудь, кто поступает своевольно
ослышаться|Неверно понять вследствие ослышки
ослышка|Ошибка слуха, при которой сказанное принимается за другое, сходно звучащее
осмелиться|Посметь, решиться на что–нибудь или с каким–нибудь действием
осмеливаться|Постепенно смелеть, решаться на что–нибудь
осмеять|Подвергнуть злой насмешке, высмеять
осмеивать|Постепенно подвергать злой насмешке, высмеивать
осмеяние|Процесс злой насмешки, высмеивания
осмотр|Контрольное обследование
осмотреть|Посмотреть на кого–нибудь или что–нибудь с разных сторон, обозреть полностью, оглядеть
осмотреть|Обследовать с какой–нибудь целью
осмотрительный|То же, что осторожный
осмотрительность|Свойство быть осмотрительным
осмотрщик|Работник, который производит осмотр чего–нибудь с целью проверки
осмотрщица|Женщина, производящая осмотр чего–нибудь с целью проверки
осмысленный|Разумный, сознательный
осмысленность|Свойство быть разумным, сознательным
осмыслить|Открыть смысл, значение чего–нибудь, понять
осмысливать|Постепенно открывать смысл, значение чего–нибудь, понимать
осмысление|Процесс открытия смысла, значения чего–нибудь, понимания
осмысливание|Процесс постижения смысла, значения чего–нибудь
оснастить|Оборудовать снастями
оснастить|Снабдить всеми необходимыми техническими средствами
оснащать|Постепенно оборудовать снастями или снабжать техническими средствами
оснащение|Совокупность средств, которыми оснащено что–нибудь
оснастка|Снасти, которыми оборудовано судно; такелаж
оснастка|То же, что оснащение
оснащённость|Наличие оснащения
основа|Опорная часть предмета; остов
основа|Источник, главное, на чем строится что–нибудь, что является сущностью чего–нибудь
основа|Исходные, главные положения чего–нибудь
основа|Продольные нити ткани, переплетающиеся с утком
основа|В грамматике: вся часть слова до окончания
основание|Опорная часть предмета, сооружения; основа
основание|Существенный признак, по которому распределяются явления, понятия
основание|Причина, достаточный повод, оправдывающие что–нибудь
основание|Химическое соединение, образующее при взаимодействии с кислотой соль и воду
основатель|Тот, кто основал, основывает что–нибудь
основательница|Женщина, которая основала, основывает что–нибудь
основательный|Разумный, веский
основательный|Дельный, солидный, положительный
основательный|Крепкий, прочный
основательный|Довольно большой, значительный
основательность|Свойство быть основательным
основать|Положить начало чему–нибудь, учредить
основать|Сделать, осуществить на какой–нибудь основе
основаться|Возникнуть, образоваться
основаться|То же, что обосноваться
основываться|Опираться в своем мнении на что–нибудь, исходить из чего–нибудь
основной|Наиболее важный, главный
основной|В основном – в общих чертах, в главном
основополагающий|Главный, лежащий в основе, принимаемый за основу чего–нибудь
основоположник|Основатель какого–нибудь учения
особа|О человеке, прежде о важном, почтенном, теперь обычно иронически
