отголосок|То же, что отзвук
отгон|Пребывание скота на дальних пастбищах
отгонный|Связанный с пребыванием скота на дальних пастбищах
отгореть|Кончить гореть
отгореть|Перегорев, отвалиться
отгораживать|Отделить, поставив ограду, перегородку
отгораживать|Изолировать, оставить одного вне связей, общения с другими
отгородить|Отделить, поставив ограду, перегородку
отгородить|Изолировать, оставить одного вне связей, общения с другими
отгородиться|Отгородив что–нибудь, отделить себя, свой участок
отгородиться|Прекратить тесное общение с кем–нибудь, изолировать себя от кого–нибудь
отгостить|Пробыть гостем, прогостить
отгостить|Кончить гостить
отграничить|Разграничив, отделить
отгреметь|Кончить греметь
отгрести|Сгребая, откинуть, отодвинуть в сторону
отгрести|Гребя веслами, отплыть от чего–нибудь
отгрохать|Кончить грохать
отгрохать|Построить, сделать, организовать что–нибудь большое, эффектное, дорогое
отгрузить|Погрузив, отправить
отгрызть|Грызя, откусить
отгул|Время отдыха, предоставляемое за сверхурочную работу
отгулять|Кончить гулять
отдавать|Иметь какой–нибудь привкус, запах
отдавить|Надавив, повредить, причинить боль
отдаление|Даль, далекое расстояние
отдаление|То же, что вдалеке от кого–чего–нибудь
отдалённый|Далеко отстоящий в пространстве, времени
отдалённый|Имеющий мало общего с кем–нибудь
отдалить|Сделать более далеким
отдалиться|Стать более далеким
отдарить|Сделать кому–нибудь ответный подарок
отдариться|Сделать подарки кому–нибудь в ответ на полученные или в благодарность за что–нибудь
отдать|Дать обратно, возвратить
отдать|Дать, предоставить что–нибудь своё кому–нибудь
отдать|Выдать замуж
отдать|Вручить для какой–нибудь цели, поместить куда–нибудь
отдать|Заплатить при купле
отдать|То же, что продать
отдать|Произвести что–нибудь (в соответствии со значением следующего далее существительного)
отдать|Сделать резкое, короткое движение назад
отдать|Освободить, отвязать
отдать жизнь|Пожертвовать своей жизнью
отдать себя|Полностью посвятить себя кому–нибудь, чему–нибудь
отдать себя|То же, что отдаться
отдаваться|Отдать себя, покориться, не сопротивляясь
отдаваться|Целиком посвятить себя кому–нибудь, чему–нибудь
отдаваться|О женщине: вступить в половую связь с кем–нибудь
отдаваться|Отозваться где–нибудь, отразиться
отдача|То же, что коэффициент полезного действия
отдача|Максимальная эффективность действий, труда
отдвижной|Такой, который отодвигается, может быть отодвинут
отдежурить|Кончить дежурить
отдежурить|Провести в дежурстве какое–нибудь время
отдел|Высшее подразделение в систематике растений, объединяющее близкие по происхождению классы
отдел|Подразделение учреждения, предприятия или учреждение, входящее в состав какой–нибудь организации
отдел|Тематически объединенная часть книги, какого–нибудь издания
отделать|Придать какой–нибудь определенный вид
отделать|То же, что украсить
отделать|Испортить небрежным обращением; испачкать
отделать|Выругать, выбранить, а также избить
отделаться|Избавиться от кого–нибудь, чего–нибудь неприятного, надоедливого
отделаться|Уклоняясь от чего–нибудь, ограничиться чем–нибудь несущественным
отделаться|Испытать, перенести что–нибудь незначительное
отделение|То же, что отдел
отделение|Самостоятельная часть концерта, представления
отделение|Низшее воинское подразделение, входящее в состав взвода
отделение|Отдельная, обособленная часть помещения, какого–нибудь вместилища
отделить|Разъединить, отнять часть от целого, из состава целого
отделить|Разделяя, отграничить, выделить
отделить|Дать кому–нибудь часть из общего хозяйства, обособить
отделиться|Отстать, оторваться, отойти от целого; выделиться
отделиться|Стать самостоятельным хозяином после раздела имущества, обособиться
отделка|То, чем отделывают, украшают
отделочник|Работник, занимающийся отделочными работами
отдельность|Обособленно, отдельно
отдельный|Обособленный, самостоятельный
отдельный|Единичный, некоторый
отделять|Служить границей чему–нибудь
отдёрнуть|Дернув, отодвинуть
отдоить|Выдоить немного
отдоить|Кончить доить
отдоиться|Перестать доиться
отдоиться|То же, что отдоить
отдохновение|То же, что отдых
