откормыш|Животное, содержащееся на откорме
откос|Покатый спуск
откос|Боковая наклонная поверхность дорожной насыпи
откос|Подпорка в виде наклонного бруса
откочевать|Кочуя, уйти откуда–нибудь, перейти в другое место
открепить|Отвязать, отделить прикрепленное
открепить|Снять с учета
открепиться|Раскрепившись, отделиться
открепиться|Сняться с учета
открещиваться|Всякими способами уклоняться, отказываться от кого–чего–нибудь
откровение|То, что неожиданно открывает истину, вносит ясность, понимание
откровенничать|Быть излишне откровенным с кем–нибудь
откровенность|Откровенное сообщение, искреннее признание
откровенный|Искренний, чистосердечный
откровенный|Очевидный, нескрываемый
откровенный|Об одежде: слишком обнажающий, открывающий тело
откромсать|Кромсая, отрезать
открутить|Крутя, отделить, отвинтить
открутиться|Отделиться, раскрутившись
открутиться|То же, что отвертеться во втором значении
открывалка|Инструмент, приспособление для открывания чего–нибудь
открытие|То, что открыто, вновь установлено, найдено
открытка|Почтовая карточка для открытого без конверта письма
открытка|Карточка такого же формата с художественным изображением
открытый|Не загражденный, не стесненный ничем
открытый|Доступный для всех желающих
открытый|Явный, не скрываемый
открытый|Искренний, откровенный, выражающий прямоту
открытый|Наружный, не подземный
открытый|Об одежде: с вырезом или с большим вырезом
открытый|Наружный; обнаруживающийся явно
открыть|Поднять крышку; раздвинуть створки чего–нибудь
открыть|Сделать доступным, свободным для чего–нибудь
открыть|Обнажить, освободив от чего–нибудь закрывающего
открыть|Разомкнуть, раскрыть что–нибудь сомкнутое, сложенное
открыть|Пустить, ввести в действие что–нибудь
открыть|Сообщить откровенно о чем–нибудь; обнаружить
открыть|Предоставить, доставить то, что названо следующим далее существительным
открыть|Положить начало каким–нибудь действиям, деятельности, какому–нибудь предприятию
открыть|Установить существование, наличие кого–чего–нибудь ранее неизвестного
открыться|Стать открытым
открыться|О ране, шве: перестать заживать, разойтись краями
открыться|Стать видным, обнаружиться
открыться|Обнаружиться, появиться
открыться|Рассказав, обнаружить перед кем–нибудь свои мысли, тайны
откуда|Из какого места, из какого источника
откуда–либо|То же, что откуда–нибудь
откуда–нибудь|Из какого–нибудь неопределенного места, источника
откуда–то|Из какого–нибудь места, источника
откуп|Предоставляемое государством за денежный взнос в казну исключительное право на пользование чем–нибудь, на получение каких–нибудь доходов или на продажу товаров
откупить|Взять на откуп
откупить|Скупить, купить, сосредоточив в одних руках что–нибудь
откупиться|Заплатив или дав взятку, освободить себя от чего–нибудь
откупиться|Пожертвовав чем–нибудь, пойдя на уступку, освободить себя от каких–нибудь обязательств, обязанностей
откупорить|Открыть закупоренное, наглухо заделанное
откупориться|О закупоренном: открыться
откупщик|Владелец откупа
откусить|Отделить зубами или щипцами, клещами
откушать|Окончить еду
откушать|Поесть, закусить
откушать|Попробовать пищу
отлагательство|Перенесение на более поздний срок, отсрочка
отладить|То же, что наладить
отлежать|Лежа в неудобном положении, вызвать онемение какой–нибудь части тела
отлежаться|Полежав вдоволь, отдохнуть
отлежаться|Полежав какое–то время, приобрести какой–нибудь вид, состояние
отлепить|Отделить, оторвать прилипшее, прилепленное
отлепиться|О прилипшем, прилепленном: отделиться
отлетать|Кончить летать
отлетать|Побыть в летном составе, в авиации в течение какого–нибудь времени
отлетаться|То же, что отлетать в первом значении
отлететь|Летя, удалиться на некоторое расстояние; улететь
отлететь|Кончиться, исчезнуть о чем–нибудь счастливом, заманчивом
отлететь|Переместиться, отскочить вследствие толчка
отлететь|То же, что оторваться в первом значении
отлёг|О чувстве облегчения после боли, тревоги, гнева
отлёт|О птицах, летательных аппаратах: отбытие, отправление в путь
отлив|Периодически повторяющееся отступание границы моря, океана
отлив|Оттенок на фоне какого–нибудь цвета
отливать|Иметь какой–нибудь отлив
