отрог|Ответвление основной горной цепи
отроду|Никогда за всю жизнь
отродье|О людях, а также об одном человеке как о порождении злого начала
отродясь|То же, что отроду
отроить|Отделить часть пчел для образования нового роя
отроиться|Образовать новый рой, выделившись из старого
отрок|Мальчик-подросток
отроковица|Девочка-подросток
отросток|Новый побег растения, отходящий от стебля или корня
отросток|Ответвление какого–нибудь органа
отрочество|Возраст между детством и юностью; период жизни в таком возрасте
отруб|Участок земли, выделяющийся в личную собственность крестьянину при выходе его из общины в царской России в 1906–1916 годах
отруб|Место, по которому отрублено или распилено в поперечнике дерево, бревно
отруби|Остатки от оболочки зерна после размола
отрубить|Отделить, рубя
отрубить|То же, что отрезать
отругивать|Отвечать руганью на ругань
отрулить|Руля, отвести машину куда–нибудь
отрулить|Двигаясь по земле, отъехать, повернуть в сторону
отрывистый|Звучащий без плавных переходов, с короткими паузами, резкий
отрывной|Такой, который отрывается, который можно отрывать
отрывок|Часть, выделенная из какого–нибудь произведения, из повествования
отрывок|То же, что обрывки
отрывочный|Не составляющий целого, несвязный
отрыгнуть|Извергнуть из желудка отрыжкой
отрыгнуться|Извергнуться из желудка отрыжкой
отрыжка|Выход газов из желудка через рот
отрыжка|Проявление чего–нибудь отживающего
отрыть|Роя, извлечь; освободить из–под чего–нибудь сыпучего, из–под слоя чего–нибудь
отряд|Специальное или отдельное воинское формирование
отряд|Группа людей, организованная для совместной деятельности
отряд|В систематике животных: подразделение класса
отрядить|Послать куда–нибудь для выполнения поручения
отрясти|То же, что отряхнуть
отрясти|Тряся, заставить осыпаться
отряхнуть|Встряхиванием удалить
отряхнуться|Встряхиваясь, сбросить с себя что–нибудь сыпучее, а также (о животных) встряхиваясь, расправить свои перья, шерсть
отсадить|Отделив от других, заставить сесть на другое место
отсадить|Отделив, посадить в другом месте (растение)
отсверк|То же, что отблеск
отсвет|Отблеск, отраженный свет
отсвечивать|Давать отсвет
отсвечивать|Стоять, заслоняя собой свет или мешая чем–нибудь другому
отсебятина|Собственные слова, вставляемые в чужую речь при ее передаче, а также поступки, совершаемые самовольно, вопреки тому, что приказано, предписано
отсев|То, что осталось после просеивания, высевки
отсев|Люди, отсеявшиеся после каких–нибудь испытаний, проверки
отсевки|Остатки от просеивания, отсев
отсек|Изолированная или отделенная от других часть специального помещения
отселе|То же, что отсюда
отсель|То же, что отсюда
отселить|Поселить в другом месте, отделив от других, или в стороне от прежнего места
отсесть|Пересев, отодвинуться от кого–нибудь, чего–нибудь
отсечь|Отделить секущим ударом
отсечь|Разъединяя, отделить
отсеять|Просеиванием отделить
отсеять|Производя отбор, удалить, устранить людей из состава чего–нибудь
отсеяться|Просеиваясь, отделиться
отсеяться|Выбыть из состава чего–нибудь
отсеяться|Окончить сев
отсидеть|Сидя в неудобном положении, вызвать онемение какой–нибудь части тела
отсидеть|Просидеть где–нибудь какое–нибудь время
