отсесть|Пересев, отодвинуться от кого–нибудь
отсеять|Просеиванием отделить
отсеять|Производя отбор, удалить, устранить людей из состава чего–нибудь
отсеяться|Просеиваясь, отделиться
отсеяться|Выбыть из состава чего–нибудь
отсеяться|Окончить сев
отсидеть|Сидя в неудобном положении, вызвать онемение какой–нибудь части тела
отсидеть|Просидеть где–нибудь какое–нибудь время
отсидеться|Спастись, укрываясь где–нибудь от кого–чего–нибудь, пережидая что–нибудь
отскакать|Скача, отдалиться
отскоблить|Скобля, удалить
отскочить|Отойти, удалиться скачком
отскочить|Отлететь, ударившись обо что–нибудь
отскочить|Отделиться, отпасть
отскрести|Скребя, удалить
отслоение|То, что отслоилось, слой
отслоить|Отделить слой, слои
отслоиться|Отделиться, осесть слоем
отслужить|Кончить служить
отслужить|Прослужить где–нибудь какое–нибудь время
отслужить|Кончить церковную службу
отслужить|Отблагодарить делом, поступком
отснять|То же, что снять в определенном значении
отсоветовать|Советуя, убедить в обратном
отсоединить|Отделить что–нибудь присоединенное
отсосать|Сосанием отделить, убавить
отсосать|Удалить вытягиванием, оттянуть
отсохнуть|О частях растений: засохнув, отпасть
отсохнуть|О конечности: болезненно исхудав, утратить жизненность, подвижность
отсрочить|Перенести на более поздний срок
отсрочить|Продлить время действия какого–нибудь документа
отставить|Отодвинуть и поставить в стороне
отставить|Немного отодвинуть, выставить
отставить|Уволить, сместить
отставить|Команда, означающая отмену предыдущей команды или приказ прекратить что–нибудь
отставка|Окончательное увольнение с военной службы, а также увольнение с государственной службы
отставник|Отставной военнослужащий
отставной|Находящийся в отставке
отставной|Отодвигающийся, отставляющийся в сторону
отсталый|Отставший в пути от других
отсталый|Стоящий на более низком уровне развития сравнительно с другими
отстать|Задержавшись, двигаясь медленнее других, остаться позади
отстать|Опоздав куда–нибудь, остаться на месте
отстать|В своем развитии, деятельности остаться позади других, дать себя обогнать
отстать|Потерять, прекратить связь с кем–чем–нибудь, перестать заниматься чем–нибудь
отстать|О часах: показать более раннее время, чем в действительности из-за замедленного хода механизма
отстать|Отделиться, отвалиться
отстать|Перестать надоедать, приставать
отстегать|Избить, стегая
отстегнуть|Вынуть застежку из петли, отделить пристегнутое
отстегнуться|Выпасть из петли, расстегнувшись, или о кнопке, застежке — разомкнуться
отстирать|Отмыть стиркой
отстирать|Кончить стирать
отстираться|Отойти после стирки, а также стать чистым после стирки
отстираться|Кончить стирку
отстой|Отстоявшийся осадок, а также жидкость, выделившаяся из какого–нибудь продукта и опустившаяся на дно сосуда
отстойник|Бассейн или резервуар, сосуд, в котором отстаивается жидкость
отстоять|Защитить от нападения, от посягательств на что–нибудь
отстоять|Присутствуя где–нибудь, простоять до конца, долго
отстоять|Стоя где–нибудь, довести ноги до усталости, онемения
отстоять|Находиться на некотором расстоянии
отстоять|Дать отстояться
отстояться|О жидкости: постояв, выделить из себя осадок
отстояться|О взглядах, мнениях: принять окончательный устойчивый вид
отстрадать|Кончить страдать, перенести страдания
отстранить|Отодвинуть, отвести в сторону
отстранить|Уволить, освободить от исполнения каких–либо обязанностей
отстраниться|Отодвинуться, уклониться
отстраниться|Уклониться, отказаться от участия в чем–нибудь
отстрелить|Оторвать пулей, осколком, снарядом
отстрелить|Убить зверя по особому отбору, разрешению
отстрелить|Резко отделить при помощи специального устройства
отстрелиться|Резко отделиться при помощи специального устройства
отстреляться|Отбиться стрельбой
отстреляться|Закончить стрельбу, стрельбы
отстреляться|Окончить какие–нибудь дела, покончить с делами
отстричь|Отрезать стрижкой
отстроить|Закончить постройку чего–нибудь
отстроиться|Закончить стройку
отстрочить|Прострочить сплошным швом, строчкой
отстукать|Исполнить, сделать, стукая почему–нибудь
отстукать|Стуча, стукая, повредить, утомить
отступ|Свободное пространство, оставляемое перед началом строки написанного или напечатанного текста
отступить|Шагнув, отойти, отодвинуться назад, в сторону
отступить|Отойти назад под напором наступающего неприятеля
отступить|Отказаться от своих намерений, планов
отступить|Перестать придерживаться чего–нибудь
отступить|Перенести внимание с основного на второстепенное
отступить|В некоторых сочетаниях: стать слабее, приблизиться к концу
отступить|Сделать отступ
