отстроить|Закончить постройку чего–нибудь
отстроиться|Закончить стройку
отстрочить|Прострочить сплошным швом, строчкой
отстукать|Исполнить, сделать, стукая почему–нибудь
отстукать|Стуча, стукая, повредить, утомить
отступ|Свободное пространство, оставляемое перед началом строки написанного или напечатанного текста
отступить|Шагнув, отойти, отодвинуться назад, в сторону
отступить|Отойти назад под напором наступающего неприятеля
отступить|Отказаться от своих намерений, планов
отступить|Перестать придерживаться чего–нибудь
отступить|Перенести внимание с основного на второстепенное
отступить|В некоторых сочетаниях: стать слабее, приблизиться к концу
отступить|Сделать отступ
отступиться|Отказаться от чего–нибудь, перестать отстаивать что–нибудь
отступиться|Перестать общаться с кем–нибудь; отказаться от попыток повлиять, воздействовать на кого–нибудь
отступление|Вставка в изложении, отклоняющаяся от основной темы
отступник|Человек, который отступил, отступает от своих прежних убеждений, принципов, идеалов
отступничество|Образ действий отступника
отступной|О вознаграждении: даваемый тому, кто отступается, отказывается от своих прав, требований
отступя|На небольшом расстоянии от кого–чего–нибудь; сделав отступ
отступя от кого–чего|Недалеко от кого–чего–нибудь
отстучать|То же, что отстукать
отсудить|Получить по решению суда
отсутствие|Положение, когда нет в наличии кого–чего–нибудь, когда кто–что–нибудь отсутствует
отсутствие|Полное отсутствие всякого присутствия (о том, кто глуп, совсем ничего не понимает, не соображает)
отсутствовать|Не быть в данном месте, не иметься в наличии
отсутствующий|О внешнем виде, взгляде: погруженный в себя, отрешенный
отсучить|Отвернуть (засученное)
отсчитать|Считая, отделить, отобрать
отсчитать|Сосчитать, начиная откуда–нибудь
отсылка|Место в тексте, отсылающее за справкой к другой части текста
отсыпать|Отделить, насыпав или высыпав
отсырелый|Ставший сырым, отсыревший
отсыреть|Напитаться влагой
отсюда|Из этого или от этого места
отсюда|Из сказанного перед этим, на этом основании
отсякнуть|О кисломолочном продукте: долго простояв, выделить сыворотку, жидкий отстой
отталкивающий|Отвратительный, противный
оттаскать|Оттащить в несколько приемов
оттаскать|Наказать, дергая за волосы, уши
оттащить|Таща, отодвинуть, отстранить
оттаять|Под действием тепла освободиться ото льда, снега, разморозиться
оттаять|Вывести из замороженного состояния, а также освободить (холодильную установку) от снежной шубы
оттенить|Выделить, наложив темную или неяркую краску
оттенить|Обратив особое внимание на что–нибудь, выделить, подчеркнуть
оттенок|Разновидность одного и того же цвета
оттенок|Особенность, разновидность, представляющая собой неявный переход от одного к другому
оттенок|Дополнительное свойство, небольшой налет чего–нибудь
оттепель|Теплая погода (зимой, ранней весной) с таянием снега, льда
оттепель|Время наступления некоторых политических свобод, ослабления жесткого политического режима
оттереть|Удалить (грязь, краску, пятно), счищая, стирая
оттереть|Возвратить чувствительность кому–чему–нибудь растиранием
оттереть|То же, что оттеснить
оттереться|То же, что отчиститься
оттеснить|Тесня, заставить уйти, отодвинуться
оттечь|Стечь, утечь в сторону, в другое место
оттиск|То же, что отпечаток
оттиск|Статья из журнала, сборника в виде отдельной брошюры
оттиснуть|То же, что оттеснить
оттиснуть|Сделать оттиск, отпечаток
оттого|Потому, вследствие чего–нибудь
отток|Убыль, убывание
отток|Место, по которому что–нибудь стекает, оттекает
оттоле|То же, что оттуда
оттолкнуть|Толчком отодвинуть
оттолкнуть|Вызвать своим поведением, поступком неприязнь к себе, нежелание общаться
оттолкнуться|Упершись во что–нибудь, толчком отодвинуться
оттолкнуться|Имея что–нибудь отправным пунктом в рассуждениях, работе, действиях, пойти дальше
оттоманка|Широкий и низкий мягкий диван с валиками и подушками, заменяющими спинку, с валиками по бокам
оттопать|То же, что оттоптать
оттопать|То же, что отшагать
оттоптать|Повредить, утомить длительной ходьбой
оттоптать|Топча, наступая ногой, повредить, испортить
оттопырить|Сделать торчащим, выпятить, выдвинуть вперед
оттопыриться|Стать оттопыренным
отторгнуть|Отделить, отнять насильственным путем
отторгнуть|Не принять, отвергнуть
