отчленить|Отделить от целого
отчлениться|Отделиться от целого
отчудить|Устроить что-нибудь чудное, странное и неожиданное, выкинуть
отчуждаемый|Такой, который может быть изъят у владельца, обладателя какого-нибудь права
отчуждаемость|Свойство быть отчуждаемым
отчуждать|Передавать имущество в пользу другого лица, организации, государства
отчуждать|Делать далеким, чуждым кому-нибудь, отдалять
отчуждение|Прекращение близких отношений между кем-нибудь, внутреннее отдаление
отчужденный|Отдаленный от других, изолированный
отчужденный|Погруженный в себя, безразличный к окружающему
отчужденность|Свойство быть отчужденным
отшагать|Пройти какое-нибудь расстояние пешком
отшагивать|Проходить какое-нибудь расстояние пешком
отшагнуть|Сделать шаг в сторону, назад
отшатнуться|Шатнуться в сторону, отклониться
отшатнуться|Резко изменив отношение к кому-нибудь, прекратить общение
отшатываться|Шататься в сторону, отклоняться
отшвырнуть|Швырнув, отбросить
отшвыривать|Швырять, отбрасывать
отшельник|Монах, живущий в скиту, отказавшийся от общения с людьми, внешним миром
отшельник|Человек, чуждающийся других, живущий уединенно
отшельница|Женщина, чуждающаяся других, живущая уединенно
отшельнический|Связанный с образом жизни отшельника
отшельничество|Жизнь, образ жизни отшельника
отшиб|В стороне от других, изолированное место
отшибить|Отбить что-нибудь, отделить ударом
отшибить|Ушибить, повредить ушибом
отшивать|Заставлять прекратить общение
отшить|Кончить шить
отшить|Заставить прекратить общение
отшлёпать|Надавать шлепков
отшлёпать|Отшагать (по грязной, мокрой дороге)
отшлепывать|Надавать шлепков
отшлифовать|Обработать поверхность до гладкости
отшпилить|Отколоть часть, отделить
отшпиливать|Откалывать часть, отделять
отшпилиться|Отколоться, отделиться
отшпиливаться|Откалываться, отделяться
отштамповать|Изготовить штампованием
отштукатурить|Покрыть штукатуркой
отшуметь|Кончить шуметь
отшутиться|Ответить на что-нибудь серьезное шуткой или отделаться шутками
отшучиваться|Отделываться шутками
отщелкать|Надавать щелчков, избивать щелчками
отщелкать|Резко, грубо и обидно отчитать
отщелкать|Кончить щелкать
отщелкивать|Надавать щелчков, отчитать, щелкать
отщепенец|Человек, отколовшийся от своей общественной среды
отщепенка|Женщина, отколовшаяся от своей общественной среды
отщепенческий|Свойственный отщепенцу
отщепенство|Откол от своей общественной среды, поведение отщепенца
отщепенчество|Откол от своей общественной среды, поведение отщепенца
отщепить|Отделить щипком, отъединить
отщеплять|Отделять щипком, отъединять
отщепление|Действие по отделению, отъединению
отщепиться|Отделиться слоем, отъединиться, отделиться
отщепляться|Отделяться слоем, отъединяться, отделяться
отщёлкать|Надавать щелчков, избить щелчками
отщёлкать|Резко, грубо и обидно отчитать
отщёлкать|Кончить щелкать
отщёлкивать|Надавать щелчков, отчитать, щелкать
отщипать|Щипком отделить
отщипывать|Щипком отделять
отщипнуть|Однократно щипком отделить
отъ...|Приставка, пишется вместо "от" перед е, ё, я, означает то же, что и "от"
отъединить|Разъединить, отделить, отсоединить
отъединять|Разъединять, отделять, отсоединять
отъединение|Действие по разъединению, отделению, отсоединению
отъезд|Отправление в путь, отсутствие по причине отъезда
отъездить|Провести в езде какое-нибудь время
отъездить|Кончить, перестать ездить куда-нибудь
отъезжать|Уезжать, отправляться куда-нибудь
отъезжий|Связанный с отъездом в отдаленное место
отъесть|Откусить, отгрызть
отъесть|Кончить есть
отъедать|Откусывать, отгрызать
отъесться|Потолстеть, прибавить в весе от обильной еды
отъедаться|Толстеть, прибавлять в весе от обильной еды
отъехать|Поехав, отдалиться на какое-нибудь расстояние, уехать
отъехать|Сдвинуться с места, выйти из нормального положения
отъезжать|Поезжать, отдаляться, уезжать
отъём|Действие по отнятию
отъёмный|Такой, который отнимается, снимается
отъёмыиш|Детеныш животного, отнятый от матки
отъявленный|Известный своими крайне отрицательными качествами, проявляющий их
отыиграть|Игрой вернуть проигранное
отыгрывать|Возвращать проигранное с помощью игры
отыгрыш|Возврат проигранного
отыграться|Выиграть после проигрыша
отыграться|Ловко выйти из затруднительного положения
отыгрываться|Выигрывать после проигрыша, ловко выходить из затруднительного положения
отымённый|Образованный от имени существительного или прилагательного
отыскать|Найти, обнаружить после поисков
отыскивать|Находить, обнаруживать после поисков
отыскание|Действие по поиску, обнаружению
отыскаться|Найтись, обнаружиться после поисков
отыскиваться|Находиться, обнаруживаться после поисков
отэкзаменовать|Кончить экзаменовать
отяго-тительный|То же, что обременительный
отяго-тить|Обременить, сделать тяжелее
отягощать|Обременять, делать тяжелее
отягощение|Действие по обременению, утяжелению
отягчить|Сделать более тяжким, тяжелым
отягчать|Делать более тяжким, тяжелым
отягчение|Действие по увеличению тяжести
отя-желеть|Сделаться более тяжелым
