отыскать|Найти, обнаружить после поисков
отыскаться|Найтись, обнаружиться после поисков
отыскаться|То же, что выискаться (иронично)
отэкзаменовать|Кончить экзаменовать
отяготительный|То же, что обременительный
отяготить|То же, что обременить
отягчить|Сделать более тяжким, тяжелым
отяжелеть|То же, что тяжелеть
отяжелить|Сделать тяжелым, грузным
офеня|В дореволюционной России: торговец, вразнос продающий галантерейные товары, книжки, лубочные картинки
офис|Контора, канцелярия
офицер|Лицо командного и начальствующего состава армии и флота, а также в милиции и полиции, имеющее воинское или специальное звание
офицер|В шахматах: то же, что слон
офицерство|Офицеры
официальный|Исходящий от правительства или администрации, диктуемый их законами, правилами
официальный|Соблюдающий все правила, формальности
официант|В богатом доме: слуга, прислуживающий за столом
официант|В ресторане, кафе, на приемах: работник, подающий кушанья, напитки
официоз|Официозный печатный орган
официозный|Об органах печати: полуофициальный, открыто не связанный с правительством, но на деле проводящий его точку зрения
оформитель|Специалист по художественному, декоративному оформлению чего–нибудь
оформить|Придать чему–нибудь окончательную, установленную или необходимую форму
оформить|Зачислить куда–нибудь с соблюдением всех необходимых формальностей
оформиться|Принять законченную, необходимую форму
оформиться|Поступить, зачислиться, записаться куда–нибудь с соблюдением всех необходимых формальностей
оформление|Внешний вид, форма чего–нибудь
офорт|Гравюра на металлической пластине с рисунком, протравленным кислотой, а также оттиск с такой гравюры
офсет|То же, что офсетная печать
офсетный|Офсетная печать — способ печати, при котором краска на бумагу поступает с резинового цилиндра
офтальмолог|Врач — специалист по офтальмологии
офтальмология|Раздел медицины, занимающийся глазными болезнями, их лечением и профилактикой
ох|Выражает сожаление, печаль, боль и другие чувства
ох|Усиливает слово, к которому примыкает — одно или вместе с местоименными словами «как», «какой»
ох|Оханье, жалобы
охабень|В старину широкий кафтан с большим откидным воротником и прорезями в рукавах
охаживать|То же, что обхаживать
охаживать|Бить, избивать
охальник|Нахал, озорник
охальничать|Вести себя нахально, озорничать
охальный|Нахальный, озорной
охаркаться|То же, что характеризовать
охать|Выражать чувства, восклицая «ох!»
охаять|Обругать, опорочить
охватить|То же, что обхватить
охватить|Зайти с фланга, не отрываясь от своих частей и взаимодействуя с войсками, наступающими с фронта
охватить|Воспринять целиком
охватить|То же, что обуять
охватить|Включить, ввести в круг чего–нибудь
охвостье|Остатки от первичной очистки зерна веянием
охвостье|Чьи–нибудь приспешники
охладеть|Стать равнодушным, утратив прежнюю живость чувства, рвение, интерес
охладить|Сделать холодным, холоднее, остудить
охладить|Сделать спокойнее, равнодушнее
охладиться|Стать холодным, холоднее, остудиться
охладиться|Охладить себя, свое тело
охладиться|То же, что охладеть
охламон|Болван, бездельник
охлопок|Пучок, очесок какого–нибудь волокнистого материала
охлопье|То же, что охлопки
охмурить|Обмануть, провести, одурачить
охолонуться|То же, что охладиться
охолонуться|Успокоиться, прийти в себя
охорашиваться|Оправляясь, прихорашиваясь, придавать себе более нарядный, красивый вид
охота|Поиски, выслеживание зверей, птиц с целью умерщвления или ловли
охота|Совокупность людей и обзаведения, необходимого для таких поисков
охота|Занятие ловлей, содержанием и разведением животных
охота|Желание, стремление
охота|Есть желание, хочется
охотиться|Заниматься охотой
охотиться|Стараться раздобыть, получить что–нибудь
охотка|С удовольствием, с большой охотой
охотник|Человек, который занимается охотой; любитель охотиться; тот, кто охотится
охотник|Тот, кто добровольно берется за выполнение какого–нибудь дела, поручения
охотник|Человек, который склонен к чему–нибудь, любитель чего–нибудь
охотник|Тот, кто хочет приобрести, получить что–нибудь, желающий
