бочонок|Маленькая бочка
бочоночный|Относящийся к маленькой бочке
боязливый|Робкий, легко поддающийся страху
боязливость|Свойство быть робким, легко поддаваться страху
боязно|О чувстве страха, испуга; страшно
боязнь|Беспокойство, страх перед кем–нибудь или чем–нибудь
боярин|В России до начала 18 века: крупный землевладелец, принадлежащий к высшему слою господствующего класса
боярин|В Румынии до 1945 года: родовой или поместный феодал
боярский|Относящийся к боярину
боярыня|Жена боярина
боярышник|Растение семейства розоцветных — колючий кустарник или деревце, разводимые как живая изгородь и как декоративные растения
боярышниковый|Относящийся к боярышнику
боярышница|Дневная бабочка с белыми в черных жилках крыльями, вредитель плодовых культур
боярышня|Незамужняя дочь боярина
бояться|Испытывать страх, боязнь
бояться|Остерегаться, относиться с опаской к чему–нибудь
бояться|Не выдерживать воздействия чего–нибудь опасного
бояться|Неуверенно предполагать что–нибудь нежелательное
побояться|Остеречься, отнестись с опаской к чему–нибудь
бра|Настенный подсвечник, светильник
бравада|Поведение того, кто бравирует, показная удаль
бравировать|Пренебрегать чем–нибудь ради показной храбрости; хвастливо рисоваться чем–нибудь
браво|Возглас, выражающий одобрение, восхищение
бравурный|О музыке, пении: подчеркнуто мажорный и шумный
бравурность|Свойство музыки, пения быть подчеркнуто мажорными и шумными
бравый|Мужественный и молодцеватый
бравость|Свойство быть мужественным и молодцеватым
брага|Слабоалкогольный напиток, род домашнего пива
бражка|Слабоалкогольный напиток, род домашнего пива
бражный|Относящийся к бражке
брада|То же, что борода
брадобрей|То же, что парикмахер
бражник|Пьяница, гуляка
бражничать|Пьянствовать, кутить, гулять
бразда|То же, что борозда
бразда|То же, что удила
бразильский|Относящийся к бразильцам, к их языку, национальному характеру, образу жизни, культуре, а также к Бразилии, её территории, внутреннему устройству, истории; такой, как у бразильцев, как в Бразилии
бразильский|См. бразильцы
бразильцы|Латиноамериканский народ, составляющий основное население Бразилии
бразильянка|Женщина — представительница народа Бразилии
брак|Семейные супружеские отношения между мужчиной и женщиной
брак|Сопровождаемое обрядом бракосочетания христианское таинство вступления в супружество
брачный|Относящийся к браку
брак|Не соответствующие стандартам, недоброкачественные, с изъяном предметы производства, а также сам изъян в изделии
бракераж|Проверка предметов производства с целью установления наличия или отсутствия брака, браковка
бракёр|То же, что браковщик
браковать|Признавать негодным из-за изъяна, брака в чём–либо
браковать|Признавать плохим, отвергать
забраковать|Признать негодным из-за изъяна, брака в чём–либо
браковка|Признание негодным из-за изъяна, брака в чём–либо
браковочный|Относящийся к браковке
браковщик|Работник, осуществляющий бракераж
браковщица|Женщина — работник, осуществляющий бракераж
бракодел|Недобросовестный работник, допускающий брак
браконьер|Человек, который занимается браконьерством
браконьерский|Относящийся к браконьеру
браконьерствовать|Охотиться или ловить рыбу в запрещённых местах, в запрещённое время или запрещённым способом, а также заниматься недозволенной порубкой леса
браконьерство|Деятельность по браконьерству
бракоразводный|Относящийся к расторжению брака
бракосочетание|Обряд, церемония вступления в брак
брамин|То же, что брахман
браминский|Относящийся к брамину
брандохлыст|Жидкий плохой суп, а также вообще плохая жидкая пища, питьё, бурда
брандохлыст|Пустой, никчёмный человек
брандмайор|Начальник пожарных частей города
брандмайорский|Относящийся к брандмайору
брандмауэр|Стена из несгораемого материала, разделяющая смежные строения или части одного строения в противопожарных целях
брандмауэрный|Относящийся к брандмауэру
брандмейстер|Начальник пожарной команды
брандмейстерский|Относящийся к брандмейстеру
брандспойт|Переносной ручной насос
брандспойт|Наконечник на пожарном рукаве, направляющий водяную струю, ствол
брандспойтный|Относящийся к брандспойту
бранить|Порицать, выражать свое недовольство бранными словами
бранить|Подвергать осуждающей критике
выбранить|Порицать, выражать свое недовольство бранными словами
браниться|Бранить друг друга, ссориться
браниться|Выражать свое недовольство в грубых, резких словах
побраниться|Бранить друг друга, ссориться
выбраниться|Выражать свое недовольство в грубых, резких словах
бранный|Содержащий брань, резко порицающий
браная|Вытканная с узорами
брань|Осуждающие и обидные слова; ругань
браны|Война, битва
бранный|Относящийся к войне, битве
браслет|Украшение в виде охватывающего запястье кольца, цепочки
браслет|Охватывающий запястье металлический держатель для ручных часов
браслетный|Относящийся к браслету
