ошеломительный|Способный ошеломить, потрясающий  
ошеломительность|Свойство быть способным ошеломить, потрясающим  
ошеломить|Крайне удивить, внезапно озадачить  
ошеломлять|Крайне удивлять, внезапно озадачивать  
ошеломление|Состояние крайнего удивления и озадаченности  
ошеломляющий|То же, что ошеломительный  
ошеломляюще|Способом, как ошеломительный  
ошибиться|Сделать ошибку, поступить, оценить кого–нибудь или что–нибудь неправильно  
ошибаться|Сделать ошибку, поступать, оценивать кого–нибудь или что–нибудь неправильно  
ошибка|Неправильность в действиях, мыслях  
ошибочный|Содержащий в себе ошибку, являющийся ошибкой  
ошибочность|Свойство содержать ошибку, быть ошибочным  
ошибаться|То же, что болтаться  
ошмётки|Куски грязи, остатки изорванных вещей, обрывки чего–нибудь  
ощипывать|То же, что щипать в значении снимать перья  
ощупать|Пощупать со всех сторон с целью определить что–нибудь, осмотреть, исследовать  
ощупывать|Пощупывать со всех сторон с целью определить что–нибудь, осматривать, исследовать  
ощупывание|Действие по значению щупать с целью диагностики  
ощупь|При ощупывании, определение чего–нибудь с помощью осязания  
ощупью|С помощью осязания, ощупывая что–нибудь вокруг себя  
ощупью|Без необходимой подготовки, исследования, вслепую  
ощутимый|То же, что ощутительный  
ощутимость|Свойство быть ощутимым, заметным  
ощутительный|Заметный для ощущения, очень чувствительный  
ощутительный|Значительный, заметный  
ощутительность|Свойство быть ощутительным  
ощутить|Распознать путем ощущения  
ощутить|То же, что почувствовать  
ощущать|Распознавать путем ощущения  
ощущаться|Испытываться, чувствоваться  
ощутиться|Стать испытываемым, почувствоваться  
ощущение|Непосредственное чувственное восприятие свойств объективной реальности, возникающее в результате их воздействия на органы чувств и нервные центры  
ощущение|Переживание, чувство  
па|В танце: отдельное движение, танцевальный шаг  
па|Приставка, образующая существительные со значением сходства  
па|Приставка, образующая существительные со значением неполноты или приближения к чему–нибудь  
пава|Самка павлина  
павий|Относящийся к самке павлина  
павиан|Узконосая обезьяна с удлиненной мордой и яркоокрашенными седалищными мозолями  
павианий|Относящийся к павиану  
павильон|Беседка или легкая постройка в саду, парке  
павильон|Легкая крытая постройка  
павильон|Здание, помещение для экспонатов на выставке, для производства киносъемок  
павильонный|Относящийся к павильону  
павлин|Птица семейства фазановых с нарядным оперением надхвостья у самцов  
павлиний|Относящийся к павлину  
паводок|Поднятие уровня воды в реках, водоемах в результате ливней, быстрого таяния снега, льдов  
паводковый|Относящийся к паводку  
пагинация|Нумерация страниц  
пагода|Буддийский или индуистский храм, хранилище религиозных реликвий  
паголенки|Часть чулка, охватывающая голень  
пагуба|Погибель, большой вред  
пагубный|Очень вредный, губительный  
пагубность|Свойство быть пагубным  
падалица|Опавшие с дерева плоды  
падаль|Труп павшего животного  
падальный|Относящийся к падали  
паданец|Опавший плод  
падать|Непроизвольным движением резко опускаться сверху вниз, опускаться, валиться на землю, книзу  
падать|Об атмосферных осадках: идти, выпадать  
падать|О зубах, волосах, шерсти, перьях: выпадать, вылезать  
падать|Опускаться, свисая  
падать|Приходиться, совпадать по времени, месту  
падать|Распространяться, занимая какое–нибудь пространство (обычно о световых явлениях)  
падать|Задевать кого–нибудь или что–нибудь, касаться кого–нибудь или чего–нибудь (о чем–нибудь предосудительном)  
падать|Приходиться, ложиться  
падать|Понижаться, уменьшаться в уровне, размере, силе, напряженности  
падать|Приостанавливаться в развитии, становиться хуже, беднее  
падать|О животных: умирать, дохнуть  
падающий|Слабо светящийся метеор  
падать|Образует слова с приставками с теми же значениями  
пасть|Совершенный вид к падать  
упасть|Совершенный вид к падать  
падание|Действие по значению падать  
падение|Действие по значению падать  
падение|Нравственное разложение, упадок, забвение моральных устоев  
падеж|В грамматике: словоизменительная категория имени, выражаемая флексиями  
падежный|Относящийся к падежу  
падёж|Повальная смертность скота  
падежный|Относящийся к повальной смертности скота  
пади- шах|Титул монарха в некоторых странах Ближнего и Среднего Востока, а также лицо, носящее этот титул  
падишахский|Относящийся к падишаху
