папаха|Высокая меховая шапка
папаша|Папа, отец
папаша|Обращение к пожилому мужчине
папашенька|Папа, отец
папашечка|Папа, отец
папенька|Папа, отец
паперть|Крыльцо, площадка перед входом в церковь
папертный|Относящийся к крыльцу, площадке перед входом в церковь
папильотка|Бумажка или тряпочка, на которую накручивается прядь волос для завивки
папильоточный|Относящийся к бумажке или тряпочке, на которую накручивается прядь волос для завивки
папироса|Гильза с табаком для курения
папироска|Гильза с табаком для курения
папиросный|Относящийся к гильзе с табаком для курения
папирус|Тропическое травянистое растение семейства осоковых
папирус|Материал для письма, изготовленный из этого растения, а также рукопись на этом материале
папирусный|Относящийся к тропическому травянистому растению семейства осоковых или к материалу для письма из этого растения
папка|Род загибающейся с краев обложки, в которую вкладываются бумаги, рисунки
папка|Картонный переплет
папочка|Род загибающейся с краев обложки, в которую вкладываются бумаги, рисунки
папочный|Относящийся к роду загибающейся с краев обложки, в которую вкладываются бумаги, рисунки
папоротник|Споровое травянистое или древовидное растение с крупными, сильно рассеченными листьями
папоротниковый|Относящийся к споровому травянистому или древовидному растению с крупными, сильно рассеченными листьями
папуасский|Относящийся к папуасам, к их языкам, национальному характеру, образу жизни, культуре, а также к Папуа-Новой Гвинее, её территории, внутреннему устройству, истории; такой, как у папуасов, как в Папуа-Новой Гвинее
папуасы|Коренное население Новой Гвинеи и некоторых других островов Меланезии
папуаска|Коренное население Новой Гвинеи и некоторых других островов Меланезии
папье-маше|Легко поддающаяся формовке масса из смеси бумаги или картона, гипса, клея, крахмала, применяемая для изготовления различных предметов путем прессования
пар|Вода в газообразном состоянии
пар|Сильно нагретый влажный воздух
пары|Название некоторых веществ в их газообразном состоянии
паровой|Относящийся к воде в газообразном состоянии, к сильно нагретому влажному воздуху или к веществам в газообразном состоянии
пар|Поле, оставленное на одно лето незасеянным для очищения от сорняков и удобрения почвы
пара|Два однородных предмета, вместе употребляемые и составляющие целое
пара|Две штуки чего–нибудь
пара|Мужской костюм (брюки и пиджак или сюртук, фрак)
пара|Упряжка в две лошади
пара|Два лица, находящиеся, действующие вместе, объединенные чем–нибудь общим
пара|Лицо, входящее в такое объединение или подходящее для него
пара|Небольшое количество чего–нибудь, несколько
пара|То же, что двойка (двойка как оценка)
парочка|Два однородных предмета, вместе употребляемые и составляющие целое
парочка|Две штуки чего–нибудь
парочка|Упряжка в две лошади
парочка|Два лица, находящиеся, действующие вместе, объединенные чем–нибудь общим
парабеллум|Род автоматического пистолета
парабола|В математике: состоящая из одной ветви незамкнутая кривая, образующаяся при пересечении конической поверхности плоскостью
параболический|Относящийся к параболе
парагвайский|Относящийся к парагвайцам, к их языкам (испанскому и индейскому языку гуарани), национальному характеру, образу жизни, культуре, а также к Парагваю, его территории, внутреннему устройству, истории; такой, как у парагвайцев, как в Парагвае
парагвайцы|Латиноамериканский народ, составляющий основное население Парагвая
