паскудный|Мерзкий, гадкий
паскудство|Мерзкое, гадкое поведение
паскудность|Мерзкое, гадкое качество
паслён|Родовое название некоторых трав, кустарников и полукустарников, образующих особое семейство
пасленовый|Относящийся к роду паслёновых или их семейству
пасмо|Часть мотка пряжи
пасма|Часть мотка пряжи
пасмурный|Хмурый и сумрачный, предвещающий дождь
пасмурный|Мрачный, невеселый
пасмурность|Состояние хмурости, сумрачности, мрачности
пасовать|Объявлять отказ от хода в карточной игре
пасовать|Признавая себя бессильным, неспособным, отказываться от дальнейших усилий, сдаваться
спасовать|Признавая себя бессильным, неспособным, отказываться от дальнейших усилий, сдаваться
пасовать|В некоторых спортивных играх: передавать мяч или шайбу, давать пас
паснуть|Передать мяч или шайбу, дать пас в спортивной игре
пасануть|Передать мяч или шайбу, дать пас в спортивной игре
отпасовать|Передать мяч или шайбу, дать пас в спортивной игре
пасовка|Передача мяча или шайбы в спортивной игре
пасочница|Деревянная, в виде пирамиды разъемная форма для изготовления пасхи
пасочный|Относящийся к пасхе (праздничному кушанью)
паспорт|Официальный документ, удостоверяющий личность владельца
паспорт|Регистрационный документ машины, аппарата, предмета хозяйственного оборудования, сооружения
паспортный|Относящийся к паспорту, к паспортной системе, оформлению
паспортист|Должностное лицо, ведающее оформлением, выдачей паспортов
паспортистка|Женщина-должностное лицо, ведающее оформлением, выдачей паспортов
паспортный|Относящийся к паспорту, к паспортной системе, оформлению
паспорт|Официальный документ, удостоверяющий личность владельца
паспорт|Регистрационный документ машины, аппарата, предмета хозяйственного оборудования, сооружения
паспарту|Картонная рамка или подклейка под фотографический снимок, гравюру
пассаж|Большая с двумя противоположными выходами галерея, на которой под стеклянной крышей размещены магазины, служебные помещения
пассажный|Относящийся к пассажу
пассаж|Фрагмент музыкального произведения, обычно виртуозного характера
пассаж|Странный и неожиданный случай
пассажир|Тот, кто совершает поездку в транспортном средстве
пассажирка|Женщина, совершающая поездку в транспортном средстве
пассажирский|Относящийся к пассажирам или предназначенный для их перевозки
пассажиропоток|Количество едущих в определенном направлении пассажиров
пассат|Устойчивый ветер в тропических широтах океанов
пассатный|Относящийся к пассатам
