бранный|см. брань  
браный|Вытканный с узорами  
брань|Осуждающие и обидные слова; ругань  
браны|Война, битва  
браслет|Украшение в виде охватывающего запястье кольца, цепочки  
браслет|Охватывающий запястье металлический держатель для ручных часов  
браслетка|Маленький браслет  
брасс|Стиль спортивного плавания на груди без выноса рук над водой  
брат|Сын тех же родителей или одного из них по отношению к другим их детям  
брат|Фамильярное или дружеское обращение к мужчине  
брат|Человек, близкий другому по духу, по деятельности, вообще кто–нибудь близкий  
брат|Монах, член религиозного братства  
братан|То же, что брат  
брататься|Вступать в тесную дружбу, в братские отношения  
брататься|О солдатах воюющих армий: прекращать военные действия, взаимно выказывая чувства товарищества  
братва|Друзья, товарищи  
брательник|То же, что брат  
братуха|То же, что брат  
братина|В старину: большая чаща для вина, а также для еды  
братишка|Малолетний брат  
братишка|Фамильярное и дружеское обращение к нестарому мужчине  
братия|Монахи одной общины, одного монастыря  
братия|Компания, содружество  
братoубийство|Убийство брата, братьев  
братоубийца|Убийца своего брата  
братский|Свойственный брату, родственный  
братский|Глубоко дружеский, близкий, родственный по духу  
братство|То же, что содружество  
братство|Название некоторых монашеских орденов, религиозных организаций, обществ  
брать|Захватывать рукой или каким–нибудь орудием, зубами, принимать в руки  
брать|Подвергать аресту  
брать|Уносить, увозить, уводить с собой  
брать|Получать, приобретать, нанимать, добывать в свою собственность, в свое пользование, распоряжение  
брать|Принимать с какой–нибудь целью, обязательством, на каких–нибудь условиях  
брать|Овладевать кем–нибудь, захватывать  
брать|Добиваться своей цели, применяя что–нибудь; обладать всеми необходимыми качествами для достижения чего–нибудь  
брать|Преодолевать, одолевать  
брать|Взимать, взыскивать цену, плату  
брать|О чем–нибудь режущем, пилящем, об оружии: действовать  
брать|Отнимать, требовать известного количества, времени, энергии  
брать|Держаться какого–нибудь направления, пути  
брать|Овладевать, охватывать  
брать|В сочетании с некоторыми существительными обозначает производить действие, названное существительным  
браться|Брать друг друга или брать, хватать что–нибудь рукой  
браться|Приниматься за какое–нибудь дело, работу, занятие  
браться|Предпринимать какие–нибудь действия, чтобы воздействовать на кого–нибудь  
браться|Принимать на себя обязательство что–нибудь выполнить  
браться|Появляться, возникать  
браунинг|Автоматический пистолет  
брахман|Член высшей жреческой касты в Индии  
брачный|см. брак  
брачный|У животных: относящийся к периоду размножения, спаривания  
бревенчатый|Сделанный из бревен  
бревно|Очищенный от веток и без верхушки ствол срубленного большого дерева или часть такого ствола  
бревно|О тупом, неотесанном человеке  
бревно|Гимнастический снаряд в виде бруса на стойках  
брег|То же, что берег  
бред|Симптом психического заболевания, расстройство мыслительной деятельности  
бред|Бессвязная речь больного, находящегося в бессознательном состоянии  
бред|Нечто бессмысленное, вздорное, несвязное  
бредень|Небольшой невод, которым ловят рыбу вдвоем, идя бродом  
бредить|Говорить в бреду, а также говорить бессвязно во сне  
бредить|Неотвязно мечтать и говорить об одном и том же  
бредни|Нелепые, странные мысли, речи  
брезгать|Чувствовать брезгливость по отношению к кому–нибудь  
брезговать|Чувствовать брезгливость по отношению к кому–нибудь  
брезгливый|Испытывающий отвращение к нечистоплотности, везде ее подозревающий  
брезгливый|Испытывающий, выражающий неприязнь и отвращение  
брезент|Грубая плотная льняная или хлопчатобумажная водозащитная ткань  
брезентовка|Куртка из брезента  
брезжить|Рассветать; слабо светиться  
брезжиться|То же, что брезжить  
брелок|Подвеска для украшения на цепочке или на браслете  
бремя|Тяжелая ноша  
бремя|Нечто тяжкое, трудное, тяжесть  
бренный|Тленный, преходящий  
бренчать|Тихо позванивать, звякать  
бренчать|Неумело или небрежно играть на музыкальном инструменте  
брести|Идти с трудом или тихо  
бретелька|Полоска ткани, перекидываемая через плечо и поддерживающая верхнюю часть одежды  
бретель|Полоска ткани, перекидываемая через плечо и поддерживающая верхнюю часть одежды  
бретёр|Человек, готовый драться на дуэли по любому поводу; скандалист и забияка  
брехать|То же, что лаять  
брехать|Врать, говорить вздор  
брехня|Вранье, вздор  
брехун|Враль, пустобрех  
брехунья|Враль, пустобрех  
брешь|Пролом в стене, в корпусе корабля, пробоина  
брешь|Недостача, ущерб  
бреющий|Бреющий полет — полет самолета на предельно малой высоте, над самой землей
