пацан|Мальчик, мальчишка  
пацанка|Девочка, девчонка  
пациент|Больной, лечащийся у врача  
пацифизм|Политическое течение и мировоззрение, осуждающее любые войны  
пацифист|Сторонник пацифизма  
паче|Сверх или против ожидания  
паче|Тем более  
паче|Тем более что  
пачка|Несколько однородных предметов, сложенных, упакованных вместе, а также вообще упаковка  
пачка|Часть костюма балерины – короткая и пышная, в несколько слоев, юбочка  
пачкать|Грязнить кого–нибудь или что–нибудь  
пачкать|Позорить кого–нибудь, клеветать на кого–нибудь  
пачкать|Делать грязно, неумело (преимущественно писать, рисовать)  
пачкаться|Грязнить, пачкать себя чем–нибудь  
пачкаться|Участвовать в неблаговидном деле  
пачкаться|Становиться грязным  
пачкотня|Неумело, грязно сделанная работа  
пачкун|Человек, который пачкает, плохо делает что–нибудь  
паша|В старой Турции и некоторых других мусульманских странах: титул высших сановников и генералов, а также лицо, носящее этот титул  
пашня|Вспаханное поле  
паштет|Кушанье в виде пасты из дичи, печенки, рыбы, а также слоеный пирог с такой пастой  
паюсный|Относящийся к черной прессованной соленой икре (осетровой, белужьей и севрюжьей), в отличие от зернистой  
паяльник|Ручной инструмент для паяния  
паяльщик|Рабочий, специалист по паянию  
паясничать|Кривляться, вести себя шутом  
паясничество|То же, что шутовство  
паять|Обрабатывать что–нибудь расплавленным металлом, сплавом с целью скрепления, починки  
паяц|Клоун, первоначально комический персонаж старинного итальянского народного театра  
паяц|Человек, который паясничает  
певец|Человек, который умеет, любит петь, а также вообще тот, кто поет  
певец|Артист–вокалист  
певец|Человек, который воспевает кого–нибудь или что–нибудь  
певучий|Мелодичный, похожий на песню, пение  
певчий|О птицах: поющий  
певчий|Певец хора, обычно церковного  
пегий|О масти животных, об оперении птиц: пятнистый, пестрый  
пед...|Первая часть сложных слов со значением педагогический  
педагог|Специалист по педагогике  
педагог|Специалист, занимающийся преподавательской и воспитательной работой  
педагогика|Наука о воспитании и обучении  
педагогика|Воспитательные приемы, воздействие  
педагогичный|Соответствующий требованиям педагогики  
педаль|Ножной рычаг в машинах, музыкальных инструментах  
педаль|Электрическое контактное устройство для управления железнодорожными сигналами  
педант|Человек, излишне строгий в выполнении всех формальных требований  
педантизм|Педантичное поведение, образ действий педанта  
педантичный|Строгий в выполнении всех требований, чрезвычайно точный и аккуратный  
педераст|Человек, который страдает педерастией  
педерастия|Половое извращение: мужской гомосексуализм  
педиатр|Врач – специалист по педиатрии  
педиатрия|Раздел медицины, занимающийся особенностями детского организма, детскими болезнями, их лечением и предупреждением  
педикюр|Уход за ногтями на ногах и срезывание мозолей  
педикюрша|Специалистка по педикюру  
пейджер|Индивидуальный приемник с дисплеем для установления односторонней связи с абонентом через компьютерную систему  
пейзаж|Общий вид какой–нибудь местности  
пейзаж|Рисунок, картина, изображающая виды природы, а также описание природы в литературном произведении  
пейзажист|Художник, рисующий пейзажи  
пекарный|Относящийся к выпечке хлеба  
пекарня|Предприятие по выпечке хлебных изделий  
пекарь|Специалист по выпечке хлеба  
пеклеванный|О муке: мелко размолотый и просеянный  
пеклеванный|Выпеченный из такой муки  
пекло|Ад, адский огонь  
пекло|Сильный зной, жар  
пелена|Сплошной покров, то, что закрывает, заволакивает со всех сторон
