перезванивать|Производить перезвон  
перезвоне|Звон нескольких бубенцов, колокольчиков  
перезвоне|Колокольный звон в один колокол за другим поочередно, начиная с самого большого  
перезвонить|Позвонить снова, повторить звонок  
перезвонить|Позвонить по телефону многим или из многих мест  
перездорововаться|Поздороваться со многими  
перезнакомить|Познакомить многих между собой  
перезнакомиться|Познакомиться друг с другом или со многими  
перезрелый|Слишком зрелый, перезревший  
перезрелый|Выйти из возраста, годного для какого–нибудь состояния, устареть для какого–нибудь состояния, положения  
перезреть|Став слишком зрелым, начать портиться  
перезреть|Выйти из возраста, годного для какого–нибудь состояния, устареть для какого–нибудь состояния, положения  
переиграть|Сыграть заново  
переиграть|Решить по–иному, заново, изменить  
переиграть|Сыграть многое  
переиграть|Сыграть роль ненатурально, переходя меру  
переизбрать|Избрать заново  
переизбрать|Освободить от выборной должности, избрав другого  
переиздание|Переизданная книга  
переиздать|Издать снова  
переименовать|Наименовать по–другому  
переимчивый|Склонный перенимать, быстро усваивать  
переиначить|Изменить, сделать иным  
перейти|Идя, переместиться с одной стороны чего–нибудь на другую  
перейти|Пройти из одного места в другое  
перейти|Достаться кому–нибудь от кого–нибудь, сообщиться, передаться  
перейти|Переменить работу, состояние, место пребывания  
перейти|Приступить к чему–нибудь другому, начать действовать по–иному  
перейти|То же, что превратиться  
перекалечить|Искалечить многих, многое  
перекалить|Слишком накалить, испортить накаливанием  
перекалить|Сделать слишком горячим  
перекат|Гул, гром с раскатами  
перекат|Мелководный участок в русле равнинной реки  
перекатать|Перекатить в несколько приемов  
перекатать|Покатать многих, многое  
перекати-поле|Травянистое растение степей и пустынь, имеющее вид шаровидного кустика, при созревании семян отрывающееся от корня и переносимое ветром на большие расстояния  
перекати-поле|О человеке, не имеющем домашнего очага, постоянно меняющем место своего жительства  
перекатить|Катя, переместить куда–нибудь  
перекатиться|Катясь, переместиться куда–нибудь  
перекатный|Перекидываемый или перекинутый через что–нибудь  
перекачать|Накачивая, переместить  
переквалифицировать|Дать кому–нибудь новую квалификацию, профессию  
переквалифицироваться|Получить новую квалификацию, профессию  
перекидной|Перекидываемый или перекинутый через что–нибудь  
перекинуть|То же, что перебросить  
перекинуться|То же, что переброситься  
перекинуться|То же, что переметнуться  
перекинуться|Немного поиграть  
перекись|Соединение элемента с атомами кислорода, связанными между собой  
перекладина|Поперечный брус  
перекладина|Гимнастический снаряд — круглый стальной брус, горизонтально укрепленный на стойках, турник  
перекладной|Относящийся к таким перевозкам по почте, при которых лошади или лошади и экипаж менялись на каждой станции  
перекладывать|Перелистывая, перебирать (листы книги, тетради, рукописи)  
переклеить|Наклеить или оклеить заново  
переклеить|Склеить все, многое  
перекликаться|Крича, давать знать о себе друг другу  
перекликаться|Быть сходным, сближаться по каким–нибудь признакам  
перекличка|Проверка присутствующих вызовом по фамилиям, именам  
перекличка|Обмен сообщениями между несколькими участниками по радио, телевидению  
переключатель|Прибор для переключения чего–нибудь  
переключить|Изменить направление и силу какой–нибудь энергии, движения  
переключить|Изменив, направить к чему–нибудь другому, новому; перевести на новые формы работы  
переключиться|Направиться на что–нибудь другое, новое; перейти на новые формы работы  
перековать|Подковать заново или многих  
перековать|Переделать ковкой  
перековать|Коренным образом изменить, перевоспитать  
переколоть|Расколоть много чего–нибудь  
переколоть|Приколоть иначе  
переколоть|Покрыть уколами  
переколоть|Заколоть многих  
перекопать|То же, что перерыть  
перекопать|Вскопать заново  
перекормить|Накормить слишком сытно, причинив вред  
перекоры|Взаимные укоры, упреки, споры  
перекоряться|Споря, укорять, упрекать друг друга
