перепугаться|Сильно испугаться  
перепутать|То же, что путать  
перепутывать|То же, что путать  
перепутываться|То же, что путаться  
перепутье|Место, где скрещиваются и расходятся дороги  
переработать|Превратить во что–нибудь в процессе работы, обработки  
переработать|Переделать, сделать по–новому, иначе  
переработать|Проработать дольше положенного  
переработать|То же, что переработаться  
переработаться|Превратиться во что–нибудь в процессе обработки, усвоения  
переработаться|Переутомиться, устать от работы  
переработчик|Специалист, занимающийся промышленной переработкой сырья  
перераспределить|Распределить заново  
перерасти|Стать ростом выше кого–нибудь, чего–нибудь  
перерасти|Стать выше кого–нибудь, чего–нибудь в умственном, моральном отношении, в умении  
перерасти|Развившись, стать чем–нибудь иным, более сильным  
перерасти|Оказаться по возрасту старше, чем требуется для чего–нибудь  
перерасход|Перерасходованная сумма  
перерасходовать|Израсходовать сверх меры, плана  
перерасчёт|Расчет, произведенный заново  
перервать|Разорвав, разделить надвое  
перервать|Разорвать все, многое  
перерегистрировать|Зарегистрировать заново  
перерегистрироваться|Зарегистрироваться заново  
перерезать|Разрезав, разделить надвое  
перерезать|Зарезать многих  
перерезать|Преградить путь, дорогу  
перерешить|Решить по–другому  
перержаветь|Проржавев в каком–нибудь месте, переломиться  
перерисовать|Рисуя, сделать копию чего–нибудь; нарисовать заново  
переродить|Сделать совсем иным, обновить, преобразить  
переродиться|Стать совсем иным, обновиться, преобразиться  
переродиться|Резко измениться к худшему, утратить свой прежний нравственный облик  
переродиться|Утратить прежние ценные свойства, выродиться  
перерождение|Утрата прежнего мировоззрения, социального облика под воздействием чуждой среды, идеологии  
переросток|Подросток, переросший установленный для чего–нибудь возраст  
перерубить|Рубя, разделить надвое  
перерубить|Изрубить многое, многих; нарубить много чего–нибудь  
переругаться|То же, что перессориться  
переругиваться|То же, что перебраниваться  
перерыв|Промежуток, на время которого прекращается какая–нибудь деятельность  
перерыть|Взрыть, разрыть поперек  
перерыть|Вскопать целиком, всюду  
перерыть|В поисках чего–нибудь пересмотреть, перебрать все где–нибудь  
перерядить|Нарядить в другое платье  
пересадить|Заставить пересесть, посадить на другое место, предложить обменяться местами  
пересадить|Выкопав растение, посадить в другом месте  
пересадить|Вырезав часть ткани, орган, приживить на другом месте или в другом организме  
пересадить|Надеть на другое древко, ручку  
пересадить|Помочь кому–нибудь перелезть, перебраться через что–нибудь  
пересадка|Переход с одного транспортного средства на другое для продолжения поездки  
пересдать|Сдать, передать заново, в пользование другим  
пересдать|Сдать, раздать снова, вторично  
пересдать|Выдержать экзамен, сдавая повторно  
переселенец|Человек, переселившийся или переселяемый с постоянного места жительства в новые, обычно необжитые места  
переселенец|Человек, временно переселяемый куда–нибудь из своего жилья  
переселить|Поселить в другом месте, на новое местожительство  
переселиться|Поселиться в другом месте, на новое местожительство  
пересечь|Перейти через что–нибудь, поперек чего–нибудь  
пересечь|То же, что преградить  
пересечь|Пройти по поверхности чего–нибудь от одного края к другому  
пересечь|Высечь всех, многих  
пересекаться|То же, что скреститься  
пересечение|Место, где пересекается что–нибудь  
пересечённый|Неровный, с холмами и оврагами  
пересидеть|Просидеть дольше кого–нибудь  
пересидеть|Пробыть, просидеть где–нибудь дольше, чем следует  
пересилить|Побороть, одолеть  
пересказ|Изложение содержания чего–нибудь  
пересказать|Рассказать, изложить своими словами что–нибудь  
пересказать|Рассказать последовательно, подробно о чем–нибудь, о многом  
перескочить|Сделав скачок, оказаться по другую сторону чего–нибудь  
перескочить|Сделав скачок, переместиться на другое место  
перескочить|Перейти от одного предмета речи к другому, не соблюдая последовательности, порядка
