пирамидальный|Имеющий форму пирамиды, конусообразный  
пирамидальность|Свойство быть пирамидальным  
пират|Морской разбойник, а также вообще разбойник, грабитель  
пиратка|Женщина-пират  
пиратский|Относящийся к пирату  
пиратский|Разбойный, грабительский  
пиратство|Действие, поведение пиратов  
пиро|Первая часть сложных слов со значением относящийся к высоким температурам, к действию высоких температур  
пировать|Участвовать в пире, пиршестве  
пирог|Печёное изделие из раскатанного теста с начинкой  
пирожок|Маленький закрытый пирог удлинённой формы  
пирожок|Мужская шапка без полей с продольно вдавленным верхом  
пирожный|Относящийся к пирожку  
пироговый|Относящийся к пирогу  
пирога|Узкая длинная лодка у индейцев, у народов Океании  
пирожковая|Закусочная с продажей пирожков  
пирожник|Пекарь, пекущий пироги, также торговец пирогами, печёными мучными изделиями  
пирожница|Женщина-пекарь, пекущая пироги  
пирожное|Кондитерское изделие небольшого размера из сладкого сдобного теста, обычно с начинкой, с кремом  
пирожковый|Относящийся к пирожку  
пиротехник|Специалист по пиротехнике  
пиротехника|Отрасль техники, связанная с изготовлением горючих осветительных, зажигательных механических смесей  
пиротехнический|Относящийся к пиротехнике  
пиррова победа|Победа, стоящая таких жертв, которые делают её равносильной поражению  
пирс|Портовое причальное сооружение для швартовки судов с двух сторон  
пируэт|В танце: полный круговой поворот всем телом на носке одной ноги  
пируэтный|Относящийся к пируэту  
пирушка|Весёлое собрание с угощением  
пиршество|Роскошный пир, обильное угощение  
пиршественный|Относящийся к пиршеству  
писака|Плохой, но много пишущий писатель  
писака|О том, кто пишет неумело или небрежно, грязно  
писание|То, что написано, письмо, сочинение  
писание|Священное Писание  
писанина|Излишнее и многословное писание бумаг, а также сами такие бумаги  
писаный|Написанный, рукописный  
писарский|Относящийся к писарю  
писарь|Должностное лицо, занимающееся перепиской и составлением канцелярских бумаг  
писатель|Человек, который занимается литературным трудом, пишет художественные литературные произведения  
писательница|Женщина-писатель  
писательский|Относящийся к писателю  
писать|Изображать на чём–нибудь графические знаки, их сочетания  
писать|Составлять какой–нибудь текст, а также сочинять художественное, научное, публицистическое или музыкальное произведение  
писать|Сообщать или выражать что–нибудь письменно  
писать|Обращаться к кому–нибудь письменно; посылать письма  
писать|Создавать произведение живописи  
написать|Изобразить или создать что–нибудь письменно  
писаться|Изображаться на письме, письменно  
писаться|О желании, настроенности писать  
писаться|Числиться в каком–нибудь звании, сословии, называть себя как–нибудь, подписываясь  
написаться|Изобразиться или создано быть письменно  
писец|В старину: переписчик рукописей, рукописных книг  
писец|Переписчик, писарь  
писец|Мастер-иконописец  
писцовый|Относящийся к писцу  
песцовые книги|В старину: книги, содержащие переписи населения и угодий  
писк|Очень тонкий звук, крик  
пискливый|Очень тонкий, с писком; издающий писк  
писклявый|Очень тонкий, с писком; издающий писк  
пискливость|Свойство быть пискливым  
писклявость|Свойство быть писклявым  
пискля|То же, что пискун  
пискотня|Продолжительный многоголосый писк  
пискун|Тот, кто постоянно пищит  
пискунья|Женщина, которая постоянно пищит  
писсуар|Раковина в уборной для стока мочи  
пистолет|Короткоствольное ручное оружие для стрельбы на коротких расстояниях  
пистолетный|Относящийся к пистолету  
пистоль|То же, что пистолет  
пистольный|Относящийся к пистолю  
пистоль|Старинная испанская золотая монета; в 18–19 веках — также золотая монета в Германии, Италии и Франции  
пистон|Небольшой колпачок со взрывчатым составом для воспламенения заряда в патроне, капсюль  
пистон|Бумажный кружочек с небольшим количеством взрывчатого вещества для игрушечных пистолетов, ружей  
пистон|Клапан в духовом музыкальном инструменте  
пистонный|Относящийся к пистону  
писулька|Небольшое письмо, записка  
писцовый|Относящийся к писцу  
писчебумажный|Относящийся к писчей бумаге и другим принадлежностям для писания  
писчий|Предназначенный для писания  
письмена|Письменные знаки, буквы, преимущественно древние  
письменность|Совокупность языковых и графических средств письменного общения  
письменность|Совокупность письменных памятников  
письменный|Относящийся к писанию, письму, служащий для писания  
письмо|Написанный текст, посылаемый для сообщения чего–нибудь кому–нибудь  
письмо|Умение писать  
письмо|Система графических знаков для передачи, запечатления речи  
письмо|Манера художественного изображения  
письмецо|Уменьшительное от письмо  
письмишко|Уничительное от письмо  
письмовник|В старину: сборник образцов для составления писем, а также книга – собрание коротких рассказов, анекдотов, элементарных сведений общеобразовательного характера  
письмоводитель|Чиновник, занимающийся ведением канцелярских дел, делопроизводством  
письмоводительский|Относящийся к письмоводителю  
пихать|То же, что мочиться  
пописать|Мочиться
