побыть|Быть некоторое время
повадиться|Приобрести привычку делать что–нибудь нежелательное
повадка|Наклонность, привычка (о людях – чаще плохая)
повадно|Чтобы не было повадно – то же, что чтоб неповадно было; наказать кого–нибудь, чтоб другим не было повадно
повал|см. валить
повалить|Начать валить; повалить снег; на улицу повалил народ
повалиться|см. валиться
повальный|Охватывающий всех, многих, массово распространяющийся
поваляться|Провести где–нибудь некоторое время валяясь
повар|Специалист по приготовлению пищи
повариха|Женщина, которая работает поваром
поварской|Относящийся к повару или искусству приготовления пищи
поваренный|Относящийся к приготовлению и употреблению пищи
поварёнок|Подросток – помощник повара
поварёшка|То же, что половник
поведать|Сообщить что–нибудь, рассказать о ком–нибудь или о чём–нибудь
поведение|Образ жизни и действий; поведение школьников; человека; животных; машины, автомата (ход их работы, функционирование)
поведенческий|Относящийся к поведению
повезти|Начать везти, отправиться куда–нибудь, везя кого–или что–нибудь
повелевать|Иметь власть над кем–или чем–нибудь; приказывать, указывать
повелеть|Дать приказ, указание
поведение|То же, что приказ
повелитель|Человек, который повелевает кем–или чем–нибудь; владыка
повелительница|Женщина, которая является повелителем
повелительный|Выражающий повеление; повелительный жест; повелительный тон
повелительное наклонение|В грамматике: форма глагола, выражающая волеизъявление, приказание, просьбу
повенчать|см. венчать
повенчаться|см. венчаться
повергнуть|Повалить, опрокинуть; привести в какое–нибудь тяжелое состояние
повергать|Опрокидывать, приводить в тяжелое состояние
поверенный|Лицо, официально уполномоченное действовать от чьего–нибудь имени; тот, кому доверено что–нибудь (например, тайна, секрет)
поверенная|Женщина, которой доверено что–нибудь
поверить|Поверить (доверие); то же, что проверить (устар.); сообщить из особого доверия
поверять|Сообщать доверительно; проверять
поверка|Проверка точности; перекличка с целью проверить наличный состав людей
поверочный|Относящийся к проверке, поверке
повернуться|Вращательным движением или ворочаясь, изменить положение; принять иное направление в развитии
поворачивать|Изменять положение вращением; изменять направление
поверх|Сверху кого–или чего–нибудь, на поверхность чего–нибудь
поверхностный|Находящийся, происходящий на поверхности, у поверхности; не входящий в существо, глубину чего–нибудь, несерьезный
поверхностность|Свойство быть поверхностным, неглубоким, несерьёзным
поверхность|Общая часть геометрических тел; наружная сторона чего–нибудь
поверху|В верхней части, сверху
поверье|Идущее из старины и живущее в народе убеждение, вера в примету
повеса|Молодой человек, проводящий время в легкомысленных затеях, в безделье
повесничать|Вести себя повесой, быть повесой
повествование|Связный рассказ о каких–нибудь событиях, о чём–нибудь совершившемся
повествовательный|Являющийся повествованием, излагающий что–нибудь, описывающий какие–нибудь события; повествовательное предложение – в грамматике: содержащее в себе сообщение, противостоящее вопросу
повествовательность|Свойство быть повествовательным
повествовать|Излагать что–нибудь, вести рассказ о чём–нибудь
повести|Начать вести; плавно двинуть, шевельнуть
повестись|Войти в обыкновение, стать привычным; начать водиться с кем–нибудь
повестка|Письменное официальное извещение с вызовом, приглашением куда–нибудь; перечень вопросов, подлежащих обсуждению на собрании, заседании; повестка дня – повестка данного собрания, заседания
повесть|Литературное повествовательное произведение с сюжетом менее сложным, чем в романе; то же, что повествование (устар.)
поветриe|Эпидемическая болезнь, эпидемия; явление, получившее широкое распространение
поветь|Помещение под навесом на крестьянском дворе
повеять|Начать веять, дуть
