подболтать|Прибавить, забалтывая смесь
подбалтывать|Прибавлять, забалтывая смесь
подболтка|То, что подболтано к чему–нибудь
подбор|То, что подобрано, собрание чего–нибудь
подбор|Как на подбор – о ком–нибудь или чем–нибудь одинакового вида, качества, обычно хорошего
подборка|Несколько заметок, статей на одну тему, подобранных под общий заголовок
подбородок|Округлость, закрывающая на лице переднюю часть нижней челюсти
подбородочный|Относящийся к подбородку
подборщик|Работник, который производит подбор, подборку чего–нибудь
подборщик|Механизм для подбора валков
подборщица|Работница, которая производит подбор, подборку чего–нибудь
подбочениться|Выпрямиться, подперев бока руками
подбочениваться|Выпрямляться, подперев бока руками
подбрить|Побрить с боков, по краям
подбривать|Брить с боков, по краям
подбросить|Бросить вверх или под что–нибудь
подбросить|Бросив, добавить
подбросить|Дать, предоставить дополнительно
подбросить|То же, что подложить
подбросить|Подвезти, довезти
подбрасывать|Бросать вверх или под что–нибудь
подбрасывать|Бросая, добавлять
подбрасывать|Давать, предоставлять дополнительно
подбрасывать|То же, что подлаживать
подбрасывать|Подвозить, довозить
подбрасывание|Действие по значению бросать вверх или под что–нибудь, добавлять, предоставлять дополнительно, подложить
подброска|Действие по значению бросать вверх или под что–нибудь, добавлять, предоставлять дополнительно, подложить
подвал|Помещение в здании, расположенное ниже уровня земли
подвал|Статья во всю нижнюю часть газетного листа
подвальный|Относящийся к подвалу
подвалить|Прибавить, валя, сваливая
подвалить|Валя или валясь, прибавиться в добавление к тому, что есть
подвалить|Неожиданно появиться, возникнуть (обычно о чем–нибудь хорошем)
подвалить|О судах: подплыть, пристать
подваливать|Прибавлять, валя, сваливая
подваливать|Валя или валясь, прибавляться в добавление к тому, что есть
подваливать|Неожиданно появляться, возникать
подваливать|О судах: подплывать, приставать
подвалка|Действие по значению прибавить, валя, сваливая (специальное)
подварить|Сварить или заварить в дополнение к сваренному, заваренному
подварить|Еще раз подвергнуть варке
подваривать|Варить или заваривать в дополнение к сваренному, заваренному
подваривать|Еще раз подвергать варке
подвахтенный|Такой, который должен сменить стоящих на вахте
подведомственный|Находящийся в ведении, в управлении кого–нибудь, подчиненный кому–нибудь
подведомственность|Состояние подчинения кому–нибудь, нахождения в ведении, управлении
подвезти|Везя, приблизить
подвезти|Взяв с собой по пути, довезти куда–нибудь
подвезти|Привезя, доставить куда–нибудь
подвозить|Возя, приближать
подвозить|Беря с собой по пути, довозить куда–нибудь
подвозить|Привозя, доставлять куда–нибудь
подвоз|Действие по значению везти, привозить, доставлять
подвозка|Действие по значению везти, привозить, доставлять
подвозной|Относящийся к действию привозить, доставлять
подвенечный|Надеваемый во время венчания, предназначенный для венчания
подвергнуть|Сделать предметом какого–нибудь действия; поставить в какое–нибудь положение (обычно плохое, тяжелое)
подвергать|Делать предметом какого–нибудь действия; ставить в какое–нибудь положение (обычно плохое, тяжелое)
подвергнуться|Стать предметом какого–нибудь действия; оказаться в каком–нибудь положении (обычно плохом, тяжелом)
подвергаться|Становиться предметом какого–нибудь действия; оказываться в каком–нибудь положении (обычно плохом, тяжелом)
подверженный|Предрасположенный к чему–нибудь (обычно плохому)
подверженность|Склонность, предрасположенность к чему–нибудь (обычно плохому)
подвернуть|Завернуть, загнуть снизу или под низ
подвернуть|То же, что подвинтить
подвертывать|Заворачивать, загибать снизу или под низ
подвернуть ногу|Оступившись, повредить, растянуть
подвернуться|Завернуться, загнуться снизу или под низ
подвернуться|Попасться случайно
подвертываться|Заворачиваться, загибаться снизу или под низ
подвесить|Повесить над чем–нибудь, прицепить к чему–нибудь в висячем положении
подвешивать|Вешать над чем–нибудь, прицеплять к чему–нибудь в висячем положении
подвешивание|Действие по значению повесить над чем–нибудь, прицепить к чему–нибудь
подвеска|Висящее украшение
подвеска|Действие по значению повесить над чем–нибудь, прицепить к чему–нибудь
подвес|Действие по значению повесить над чем–нибудь, прицепить к чему–нибудь (специальное)
подвесочный|Относящийся к действию повесить над чем–нибудь, прицепить к чему–нибудь (специальное)
подвесной|Укрепленный в висячем положении, подвешенный
подвесной|Устроенный для передвижения по подвешенному канату, рельсу
подвесок|То же, что подвеска (висящее украшение)
подвести|Ведя, приблизить, доставить
подвести|Положить, устроить под чем–нибудь
подвести|Найти нужные доводы для обоснования чего–либо
подвести|Включить в число чего–либо, признать соответствующим чему–нибудь
подвести|Сделать общий вывод из чего–либо
подвести|Причинить своими действиями неприятность кому–либо
подвести|Обманув чьи–нибудь ожидания, надежды, поставить в трудное положение
подвести|Покрасить косметическими средствами
подвести|О состоянии, внешнем виде: стать худым, впалым
подводить|Ведя, приближать, доставлять
подводить|Положить, устраивать под чем–нибудь
подводить|Находить нужные доводы для обоснования чего–либо
подводить|Включать в число чего–либо, признавать соответствующим чему–нибудь
подводить|Делать общий вывод из чего–либо
подводить|Причинять своими действиями неприятность кому–либо
подводить|Обманывать чьи–либо ожидания, надежды, ставить в трудное положение
подводить|Красить косметическими средствами
подведение|Действие по значению подвести, подводить
подвод|Действие по значению подвести, подводить (специальное)
подводка|Действие по значению подвести, подводить
подводной|Относящийся к действию подвести; находящийся или действующий под водой
подветренный|Обращенный в ту сторону, откуда не дует ветер, укрытый от ветра
подвертка|То же, что портянка
подверточный|Относящийся к подвертке
подвздошный|Относящийся к области живота, расположенный между нижними ребрами и костями таза
подвиг|Героический, самоотверженный поступок
подвигать|Привести чем–нибудь в движение на некоторое время
подвигать|Двинуть несколько раз
подвигаться|Двигаться несколько раз, приводить в движение на некоторое время
подвигнуть|Побудить кого–либо на что–либо (обычно благородное, возвышенное)
подвид|В систематике: подразделение внутри одного вида
подвидовой|Относящийся к подвидам
подвижка|Слегка двинуться, переместиться (см. подвинуться)
подвижник|Монах, аскет, давший обет самоотречения во имя служения Богу
подвижник|Человек, героически принявший на себя тяжелый труд или лишения ради достижения высокой цели
подвижница|Женщина, проявляющая подвижничество
подвижнический|Относящийся к подвижничеству
подвижничество|Образ жизни, действия подвижника
подвижной|Такой, который можно двигать
подвижной|То же, что передвижной
подвижный|Связанный с оперативным передвижением, с быстрой передислокацией
подвижный|Живой, легкий, быстрый в движениях
подвижность|Свойство быть подвижным, склонность к быстрому движению
подвизаться|Действовать, работать в той или иной области
подвинтить|Завинтить, привинтить потуже, а также привинтить снизу
подвинчивать|Завинчивать, привинчивать потуже, а также привинчивать снизу
подвинуть|Слегка двинуть, переместить
подвинуть|То же, что продвинуть
подвигаться|Слегка двигаться, перемещаться
подвинуться|Слегка двинуться, переместиться
подвинуться|То же, что продвинуться
подвижка|Слегка двинуться, переместиться (специальное)
подвить|Слегка завить
подвивать|Слегка завивать
подвивка|Действие по значению подвить, слегка завить
подвластный|Находящийся под чьей–либо властью, зависящий от кого–либо
подвластность|Состояние подчиненности, зависимости от чего–либо
подвода|Грузовая конная повозка
подводный|Находящийся, осуществляющийся под поверхностью воды
подводный|О судах, флоте: способный плавать, действовать под водой
подводник|Моряк, служащий в подводном флоте
подводник|Специалист по подводным, водолазным работам
