подвода|Грузовая конная повозка  
подводник|Моряк, служащий в подводном флоте  
подводник|Специалист по подводным, водолазным работам  
подводный|Находящийся, осуществляющийся под поверхностью воды  
подводный|О судах, флоте: способный плавать, действовать под водой  
подвой|Растение, которому прививается привой  
подворный|Относящийся к распределению по крестьянским дворам, к их учету  
подворотничок|Узкая полоска белой ткани, пришиваемая под стоячий воротник форменной одежды  
подворотня|Широкая щель между воротами и землей  
подворотня|Доска, закрывающая эту щель  
подворотня|Проем в стене дома, в здании для проезда, прохода  
подворье|Постоялый двор  
подворье|Гостиница, преимущественно для духовных лиц, принадлежащая архиерею или монастырю  
подворье|Двор и огород, хозяйство при сельском доме  
подвох|Поступок, имеющий целью подвести кого–нибудь  
подвыпить|Выпив немного хмельного, слегка опьянеть  
подвязать|Привязать, обвязать снизу или вокруг  
подвязаться|Подвязать на себе что–нибудь  
подвязка|Резинка, тесьма для подвязывания чулок  
подгадать|Сделать что–нибудь вовремя, кстати; явиться вовремя, к сроку  
подгадить|Повредить кому–нибудь, напортить чем–нибудь  
подгибной|Такой, который подгибается, подогнутый  
подглазье|Впадина на лице под глазом  
подглядеть|То же, что подсмотреть  
подгнить|Загнить снизу или слегка  
подговорить|Склонить тайно, подстрекнуть к какому–нибудь поступку  
подголовник|Устройство, приподнимающее изголовье постели  
подголовник|Опора для головы на медицинских, парикмахерских и других специальных креслах  
подголовье|То же, что подголовник  
подголосок|В музыке, пении: мелодия, голос, вторящие основной мелодии, голосу  
подголосок|Человек, который угодливо повторяет чьи–нибудь слова, мнения  
подгорелый|Подгоревший снизу, с боков  
подгореть|Перепекшись или пережарившись, приобрести горелый вид, вкус, запах  
подгородный|Находящийся у самого города  
подготовить|Сделать что–нибудь предварительно для устройства, организации чего–нибудь  
подготовить|Обучить, дать необходимые знания для чего–нибудь  
подготовить|Предварительным сообщением расположить к восприятию чего–нибудь  
подготовиться|То же, что приготовиться  
подготовка|Запас знаний, полученный кем–нибудь  
подгрести|Гребя, собрать в кучу  
подгрести|Гребя, приблизить к чему–нибудь, а также поместить подо что–нибудь  
подгрести|Гребя, приблизиться к чему–нибудь  
подгруздок|Съедобный пластинчатый гриб, похожий на груздь  
подгруздь|Съедобный пластинчатый гриб, вид груздя  
подгруппа|Подразделение внутри группы  
подгузник|Кусок ткани, подстилаемый грудному ребенку под нижнюю часть тела  
подгулять|Выйти неудачным, не удаться  
подгулять|Выпив хмельного, немного опьянеть  
поддавки|О игре в шашки, в которой выигрывает тот, кому удалось отдать противнику все свои шашки  
поддакивать|Слушать чужую речь, выражая согласие, одобрение, часто произнося «да»  
подданный|Человек, состоящий в подданстве какого–нибудь государства  
подданство|Принадлежность человека к какому–нибудь государству  
поддать|Подбросить вверх ударом  
поддать|Усилить, увеличить  
поддать|В некоторых играх: подставить противнику  
поддать|Ударить кого–нибудь  
поддать|Выпить спиртного  
поддаться|Не сдержав напора, сдвинуться, отодвинуться  
поддаться|Уступить под чьим–нибудь давлением  
поддаться|Дать себя поймать, схватить, не оказав сопротивления  
поддаться|В некоторых играх: своей игрой помочь противнику  
подделать|Изготовить фальшивую вещь, имитацию  
подделаться|Сделать что–нибудь в подражание кому–чему–нибудь  
подделаться|Войти в доверие угодливостью
